report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,17,0.855161659857806,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,12,0.8417145212491354,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,15,0.8559747656186422,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,15,0.8189369360605876,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,14,0.8783920194421496,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,14,0.8261300793715886,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,13,0.8322296830324026,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,14,0.8194420039653778,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,16,0.8439496904611588,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,18,0.849713169866138,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,14,0.8383188460554395,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,18,0.8455730246173011,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,15,0.8342565099398295,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,17,0.7967349921955782,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,9,0.8495342069201999,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,20,0.8405935674905777,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,19,0.8428980739493119,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,18,0.8346356087260776,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,18,0.8409861856036716,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,12,0.8282767683267593,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,15,0.8189856966336568,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,18,0.8580511510372162,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,15,0.8350171685218811,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,14,0.803063941853387,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,12,0.8570736944675446,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,17,0.7973648625261643,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,15,0.8483299334843953,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,15,0.8309436996777853,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,8,0.8393760100007057,47,0.8293850396541839
