report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,15,0.8458678841590881,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,14,0.8525069611413139,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,9,0.8636987408002218,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,14,0.8212761623518807,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,14,0.8743946935449328,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,16,0.8455021269619465,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,14,0.8381047930036273,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,12,0.8174979786078135,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,15,0.8411780397097269,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,17,0.8533956548746895,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,17,0.8478758510421304,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,17,0.8210270615185008,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,18,0.8352083199554019,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,18,0.8289126488897536,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,13,0.8454353075761062,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,15,0.8216193278630575,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,15,0.8479190031687419,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,15,0.8543066501617431,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,17,0.8733057555030374,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,11,0.8323360193859447,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,13,0.8300520410904517,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,17,0.8446082998724544,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,15,0.8451934854189554,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,15,0.8097242474555969,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,14,0.8538866298539298,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,13,0.7937820966427143,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,12,0.8569799214601517,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,16,0.8383515104651451,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,14,0.8255493257726941,47,0.8293850396541839
