,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-ExampleInstrumentedTest-001,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007
TC-AUTHENTICATION-001,0.8231412,0.8140149,0.8353944,0.81003416,0.8259851,0.7683766,0.76977396,0.77583814,0.77099395,0.78277445,0.77103215,0.79828614,0.7823715,0.78611386,0.7720761,0.8719009,0.84744275,0.83601487,0.8460605,0.8233901,0.836469,0.849952,0.848998,0.769683,0.7318973,0.76717454,0.8242656,0.81439114,0.8367555,0.80986655,0.8264867,0.8100887,0.8077939,0.80735016,0.8046193,0.8059794,0.8072045,0.8082301,0.8051563,0.80915666,0.80701965,0.735531,0.74536264,0.7173642,0.7218322,0.73013204,0.7117456,0.7293682,0.75416183,0.73901206,0.76269335,0.7558801,0.7445917,0.7331836,0.75473195,0.7613763,0.7726669,0.76760685,0.7811972,0.76830286,0.7935077,0.77954006,0.78336465,0.77101177,0.86861026,0.8423643,0.8292222,0.8393178,0.8174534,0.8307206,0.84521854,0.8461344,0.76654166,0.7278352,0.7640103,0.8207108,0.81011903,0.8345578,0.8037703,0.8237463,0.8054575,0.8012653,0.8008156,0.79872125,0.7996899,0.80061936,0.80155444,0.7992267,0.80264527,0.80093205,0.7301176,0.74380374,0.7135642,0.7172798,0.72588235,0.70750886,0.7221122,0.7514622,0.7335002,0.7594223,0.7491461,0.7414621,0.7296361,0.75036204,0.76639,0.767521,0.77504814,0.7706573,0.7837674,0.77002144,0.7982482,0.78189814,0.7855169,0.77277786,0.87213326,0.8482219,0.8368305,0.8463499,0.82421666,0.836548,0.849419,0.84877896,0.7692468,0.7307022,0.7661947,0.824534,0.8148579,0.83653235,0.8102076,0.8252952,0.8105738,0.8083912,0.80830693,0.80546284,0.8067227,0.8078299,0.8090012,0.80609435,0.809791,0.807813,0.73481035,0.74621916,0.71926475,0.7214053,0.7300267,0.71046495,0.7287595,0.7536956,0.73995495,0.76276547,0.75583035,0.74500304,0.7326674,0.7541301,0.7681798,0.7751593,0.7708184,0.7830188,0.7704595,0.798666,0.7826674,0.7863527,0.7728507,0.75161856,0.7362008,0.7609195,0.7537302,0.74372625,0.73184204,0.7522628,0.7765015,0.7706947,0.7840338,0.77215314,0.7988629,0.7844879,0.7873446,0.7740081,0.82511973,0.81509143,0.8373979,0.8085978,0.82491416,0.75534606,0.74028087,0.7599281,0.75501144,0.74559444,0.7329967,0.7544713
TC-AUTHENTICATION-002,0.8007761,0.79290795,0.8180799,0.7871524,0.8055517,0.7485664,0.7593358,0.76386917,0.75785184,0.76866865,0.75410116,0.7833151,0.76938087,0.7721525,0.7564916,0.86243856,0.88325953,0.83121395,0.8408315,0.8582504,0.86839783,0.8457954,0.84403145,0.7547333,0.7378467,0.7544496,0.80182624,0.79359484,0.81917334,0.78721654,0.80606353,0.7702755,0.77412766,0.77208436,0.7701448,0.77255213,0.7763264,0.7733903,0.7712212,0.7740407,0.77277005,0.7192371,0.724059,0.70323384,0.7135073,0.7149941,0.705806,0.70747274,0.7333069,0.71957576,0.73755383,0.7355812,0.72453916,0.720773,0.73505104,0.7423125,0.76084435,0.7539977,0.76693135,0.75154287,0.7789629,0.766424,0.7695377,0.75534236,0.8590714,0.87779534,0.82423913,0.8337398,0.85139304,0.8613982,0.84039044,0.84069395,0.7513952,0.7340446,0.7511924,0.7981926,0.78936285,0.8166183,0.78163195,0.8038151,0.7664913,0.76784945,0.76609725,0.7645791,0.7664451,0.76956695,0.7670857,0.76549876,0.7680392,0.76700985,0.714084,0.72267,0.6995737,0.7091415,0.7103816,0.7012948,0.7007275,0.7308132,0.71407545,0.7349759,0.7295946,0.7213576,0.7177726,0.7311827,0.75647116,0.7478372,0.763602,0.75782835,0.76976794,0.7533934,0.7835626,0.76905763,0.7721492,0.75725174,0.8630906,0.8845873,0.83221674,0.84152,0.8590188,0.86872995,0.84550524,0.84387314,0.75444406,0.7367397,0.7536194,0.80199975,0.79396695,0.8190248,0.78784657,0.80495733,0.7706999,0.77447504,0.7728412,0.77075684,0.77296436,0.77651507,0.7739057,0.7718632,0.77443004,0.773335,0.7187516,0.72507054,0.70524555,0.71350145,0.71485466,0.7045858,0.7072706,0.7328053,0.72031665,0.73791933,0.73573595,0.7248441,0.72001827,0.7347499,0.7584217,0.7634699,0.75785524,0.76918525,0.7535019,0.7836367,0.7698377,0.77252716,0.7572416,0.7308822,0.71677005,0.7356288,0.73339874,0.72341007,0.7191338,0.732507,0.764167,0.7573414,0.7696458,0.75469863,0.783219,0.7711062,0.772984,0.7578406,0.8016206,0.7931426,0.8190266,0.7850689,0.8037431,0.73386526,0.72020197,0.7340689,0.73376215,0.72461516,0.7195799,0.7339812
TC-AUTHENTICATION-003,0.81864583,0.816758,0.82340133,0.8125286,0.8141949,0.7673405,0.7748352,0.7743962,0.7723178,0.78699833,0.77376205,0.8011058,0.7818466,0.7882204,0.77579695,0.83998287,0.82047844,0.82451504,0.82125646,0.8093522,0.81094277,0.8318699,0.8281586,0.7598431,0.7318241,0.7627318,0.81892186,0.81612027,0.82390016,0.8115774,0.8140205,0.8574508,0.8550646,0.8564708,0.8521272,0.8545029,0.8547276,0.8572964,0.85388154,0.8553195,0.8550983,0.74611247,0.75248915,0.7285201,0.7333331,0.7370303,0.72133875,0.7380814,0.75936854,0.739807,0.76891404,0.75269485,0.7486613,0.73393524,0.7580829,0.76228803,0.7730273,0.77057123,0.7866107,0.7721709,0.7981272,0.7808648,0.78687614,0.77580845,0.8396912,0.81836617,0.8214599,0.8182547,0.80703217,0.8089629,0.83010614,0.8276888,0.76021457,0.7310368,0.76213926,0.81732225,0.8132962,0.82346404,0.8084948,0.81196463,0.85336417,0.85006964,0.85112107,0.8477672,0.8496962,0.84972477,0.85190797,0.84930444,0.8506144,0.85045147,0.74263275,0.75340366,0.7264533,0.72996354,0.7341004,0.7182101,0.7329236,0.7592518,0.73697364,0.76710784,0.74852914,0.74824846,0.7327007,0.75574875,0.7747269,0.7664263,0.7745038,0.77278805,0.7882076,0.77328664,0.8017328,0.78228754,0.7883749,0.77716607,0.8405256,0.82143,0.82587695,0.82229555,0.8105881,0.8116911,0.8317684,0.82823205,0.76010936,0.73122555,0.76252055,0.81983507,0.8173693,0.8239672,0.8125013,0.81321865,0.85838395,0.8563682,0.85796875,0.8535571,0.85581756,0.85595465,0.85856926,0.855347,0.85675156,0.85642874,0.745842,0.75429773,0.7308762,0.7333655,0.73722184,0.72031474,0.73783636,0.7595625,0.7414562,0.76912403,0.75313485,0.7496865,0.7338499,0.7580596,0.77414,0.77431613,0.7726964,0.78761435,0.7737438,0.8020419,0.78260136,0.789011,0.7770456,0.757419,0.7377945,0.7676818,0.751172,0.748473,0.7330212,0.7562638,0.7742653,0.77136266,0.787883,0.77431005,0.8009342,0.7832822,0.78896725,0.77719486,0.81913966,0.8152709,0.82423925,0.8095359,0.8112657,0.76036656,0.7407242,0.76520663,0.75078154,0.7492442,0.7327297,0.7572994
TC-AUTHENTICATION-004,0.76347816,0.7623292,0.76115113,0.76106066,0.752367,0.72457165,0.738436,0.74180317,0.7363515,0.7529403,0.7382313,0.7583458,0.74591434,0.7526448,0.7376901,0.80788326,0.83148265,0.8158575,0.79780805,0.8522918,0.8327126,0.81350565,0.81050783,0.7323418,0.7131495,0.7296716,0.763603,0.761866,0.7613978,0.76086277,0.7524004,0.7900481,0.79539835,0.79524153,0.79650545,0.79589033,0.7964014,0.7982281,0.7952441,0.7941861,0.79569554,0.707765,0.7004485,0.6867573,0.69991755,0.6938228,0.682508,0.69177735,0.7221541,0.70891076,0.7258595,0.7177904,0.7116699,0.725947,0.7220398,0.72109675,0.7412921,0.73523164,0.7530924,0.7370717,0.7568692,0.7449401,0.7520254,0.7381315,0.8078476,0.83118033,0.8132875,0.79533917,0.84917885,0.8304422,0.81194687,0.8096051,0.73389983,0.7153356,0.7302949,0.76327145,0.76059043,0.76184356,0.75853795,0.75152516,0.78808767,0.79273957,0.792547,0.79367083,0.793302,0.79366523,0.79518,0.7928522,0.79230434,0.793372,0.7057606,0.70306176,0.6859381,0.6979062,0.6921652,0.68084836,0.6890286,0.72361994,0.7078301,0.72523093,0.7157973,0.7129977,0.7263886,0.72191083,0.74090093,0.72378397,0.742398,0.7372099,0.7540369,0.73798597,0.75926447,0.74612063,0.75312597,0.73879755,0.8087076,0.83331144,0.81687045,0.7989757,0.85266536,0.8334979,0.81338525,0.81111133,0.7326441,0.71216565,0.7293496,0.7644935,0.76315993,0.761741,0.76140594,0.7518805,0.79069775,0.79662067,0.7967119,0.797549,0.79696876,0.7973879,0.7992958,0.7964883,0.79552054,0.7968556,0.7078601,0.70179695,0.6888091,0.70004463,0.6939746,0.68177325,0.69177234,0.72230434,0.71053386,0.72635925,0.71763575,0.7123296,0.7256704,0.7221249,0.7384134,0.74176514,0.73681927,0.7535369,0.73807687,0.75917315,0.74650526,0.7530559,0.73866105,0.7200732,0.7064558,0.7242793,0.71598965,0.7107533,0.7240815,0.71973467,0.74204504,0.7360494,0.7540871,0.73885244,0.75825644,0.7471593,0.7534257,0.73895156,0.7641118,0.76167643,0.76194465,0.759186,0.74966,0.7234708,0.71017337,0.72266054,0.7163614,0.71242696,0.7248319,0.7216576
TC-AUTHENTICATION-005,0.8140243,0.8204942,0.81043684,0.8141064,0.8029982,0.7764294,0.7899176,0.76711833,0.76419437,0.77996504,0.7621521,0.7900671,0.77271175,0.78067625,0.76673317,0.83780456,0.8247839,0.84776765,0.83243287,0.8316287,0.8201077,0.8447838,0.8399795,0.768175,0.73836064,0.7674433,0.81465477,0.82037675,0.8113335,0.8141376,0.8033975,0.84421235,0.8444616,0.8430923,0.8405403,0.8452941,0.8438409,0.844573,0.842889,0.84279394,0.8433316,0.73429006,0.73895526,0.7093335,0.71286684,0.7259628,0.7105256,0.71926355,0.75398946,0.73824704,0.7569637,0.7431725,0.7494978,0.72636914,0.7483663,0.77025163,0.76549983,0.7613615,0.7793927,0.7604069,0.78729934,0.77137643,0.7792716,0.7660887,0.83711874,0.82176316,0.8433871,0.82820565,0.8279305,0.81705177,0.84184885,0.83938193,0.767586,0.7367923,0.7670483,0.8130708,0.8170248,0.81080806,0.81010985,0.8004888,0.83958435,0.839079,0.8379163,0.83598745,0.8398038,0.8385296,0.839236,0.8379296,0.83819807,0.83859724,0.7307339,0.739372,0.707252,0.70899993,0.7222908,0.7069117,0.71335065,0.7539118,0.73520976,0.75398904,0.7387021,0.7484218,0.7242961,0.7459244,0.7882847,0.77562106,0.7671726,0.7646665,0.7810157,0.76164323,0.79081446,0.77340776,0.7809963,0.7684924,0.83820957,0.82630587,0.8493441,0.833852,0.83299387,0.82123893,0.8449313,0.84030044,0.7683699,0.73785543,0.7675644,0.815513,0.82158196,0.8115814,0.8149876,0.8024513,0.84502125,0.84554315,0.8446051,0.8418244,0.84630543,0.8449081,0.84578717,0.84419274,0.8441379,0.844565,0.73421663,0.74071133,0.7120317,0.7129018,0.72609496,0.7097376,0.71937424,0.75416076,0.7400354,0.75762844,0.7439296,0.75044775,0.72632027,0.74864393,0.78909767,0.76642597,0.76415116,0.78026205,0.76182324,0.7906927,0.7730618,0.7810471,0.76790607,0.7508203,0.73491395,0.7544898,0.74047315,0.74783754,0.72438747,0.745433,0.7669576,0.76368225,0.7808493,0.7625487,0.79007363,0.7740609,0.78130543,0.7681916,0.814924,0.81963617,0.81147665,0.8120742,0.80055374,0.7548844,0.7392241,0.75412774,0.74181557,0.75000495,0.72561723,0.7477881
TC-EMISSIONS-001,0.7878526,0.7842282,0.7780179,0.7757773,0.7655268,0.74622405,0.7555194,0.7531724,0.79039764,0.7629924,0.7765547,0.7656145,0.7573117,0.758806,0.77286816,0.7657097,0.7520792,0.75506306,0.7500354,0.74408877,0.74512345,0.76106435,0.75472975,0.7286345,0.705933,0.739643,0.78782105,0.78379905,0.77855253,0.7755888,0.76544535,0.76936436,0.7680551,0.7691356,0.7683661,0.76727664,0.76996595,0.7690178,0.76689124,0.7705933,0.76860845,0.76242197,0.7694056,0.75989735,0.7737814,0.77901053,0.7709871,0.7967621,0.75554097,0.7441226,0.76127326,0.75924414,0.75438076,0.7457751,0.76536524,0.7492637,0.75613225,0.7914798,0.7652838,0.77764845,0.7673037,0.76037973,0.7612298,0.7755977,0.767596,0.7546926,0.7583537,0.752908,0.7471035,0.7477797,0.7638328,0.756783,0.7353041,0.7117795,0.74281585,0.78893185,0.7836846,0.78051007,0.77658975,0.7662634,0.7693925,0.76825285,0.7691479,0.7687572,0.76773494,0.7699181,0.7692678,0.7675413,0.7707733,0.76902837,0.76174414,0.77083933,0.760553,0.7726034,0.7787826,0.7705228,0.7959239,0.7576871,0.7457955,0.76294214,0.75944626,0.75671554,0.74595344,0.7665744,0.76425433,0.7455568,0.7540427,0.79160804,0.7641387,0.77655435,0.7667437,0.75836265,0.75976455,0.7742583,0.7659347,0.75401783,0.7571645,0.75159025,0.7462942,0.7465451,0.76171166,0.7547609,0.72895527,0.7049577,0.73926103,0.7885139,0.7849229,0.77846336,0.7766695,0.7651702,0.770265,0.7685587,0.76976055,0.76875055,0.76765174,0.77028024,0.7694031,0.7674343,0.7709884,0.76878726,0.7626834,0.7717082,0.76242936,0.77418816,0.7798691,0.77069736,0.7976645,0.75602126,0.7459373,0.7619046,0.75949603,0.75515276,0.7455018,0.7655344,0.7546735,0.753577,0.791396,0.76346064,0.77732754,0.7665865,0.75834227,0.75951505,0.7741157,0.7556593,0.74429226,0.76154715,0.7590691,0.755116,0.74565506,0.76462305,0.7533238,0.7913956,0.7639599,0.7771752,0.7656579,0.7586682,0.75971824,0.77394533,0.7885573,0.783237,0.77932006,0.7741424,0.763258,0.75694436,0.7458386,0.75900733,0.75883317,0.7556589,0.74557364,0.76582676
TC-EMISSIONS-002,0.743031,0.74119115,0.74542785,0.73379487,0.7337725,0.74652255,0.74272925,0.7458794,0.7783772,0.75724053,0.7635226,0.7447693,0.7520703,0.7549753,0.7606236,0.73898786,0.76065755,0.7376009,0.7330067,0.7624525,0.75944483,0.73734665,0.7301916,0.7371514,0.7307537,0.7381421,0.74377024,0.7416938,0.7465454,0.7347638,0.73459965,0.72549844,0.731976,0.73165154,0.73170894,0.730951,0.73312145,0.73109907,0.7302304,0.7326045,0.73192656,0.7546046,0.7654309,0.76465106,0.78470397,0.77828336,0.77108085,0.7791353,0.73338854,0.729892,0.7324296,0.7298542,0.72610295,0.7237032,0.7382683,0.7486142,0.7477898,0.7788557,0.7585201,0.7639116,0.74612296,0.7543356,0.7566552,0.76238096,0.7404142,0.7624012,0.74063605,0.73513556,0.7634662,0.7599369,0.739543,0.7322444,0.7425759,0.7365658,0.74185467,0.74532664,0.74177027,0.74818623,0.7354448,0.7353568,0.7259224,0.7332178,0.7330333,0.7332483,0.7324475,0.7343031,0.73265743,0.7319702,0.7341738,0.73343205,0.75432295,0.7674575,0.76480424,0.78438497,0.7777437,0.7712188,0.7789968,0.7360235,0.73153716,0.73424935,0.7307877,0.72842306,0.72417665,0.7399452,0.7511265,0.7461277,0.7467674,0.7795439,0.75855243,0.7633851,0.7455429,0.75305307,0.75577605,0.7616367,0.7391697,0.76189464,0.7393557,0.7342569,0.7639433,0.76047593,0.7374328,0.7298961,0.7375654,0.72950315,0.737732,0.743814,0.7421536,0.7461212,0.7351799,0.73386383,0.7259817,0.73193276,0.7318763,0.7315721,0.7307166,0.7329255,0.73099005,0.7301946,0.73243606,0.7315416,0.75469625,0.7669427,0.7666441,0.7848309,0.7786475,0.77059996,0.7797393,0.73336864,0.7311545,0.7328181,0.72986794,0.72658813,0.7231914,0.7383423,0.74292535,0.74616563,0.7790979,0.75779045,0.7641997,0.74530375,0.7529303,0.75556207,0.7617199,0.73225343,0.72838485,0.73139143,0.72857666,0.7257531,0.7223376,0.7365086,0.7461205,0.77930754,0.75812894,0.76462114,0.7450453,0.7533059,0.7557783,0.7619146,0.74401516,0.7417213,0.74696314,0.733111,0.7324222,0.7344223,0.7313548,0.7304702,0.7293333,0.7273409,0.7232476,0.7384868
TC-EMISSIONS-003,0.77686864,0.769468,0.7991728,0.7550766,0.7775284,0.7280212,0.7489308,0.7337939,0.76354307,0.74293923,0.7426567,0.75586116,0.7420559,0.7416024,0.7461964,0.7804708,0.78692806,0.76793575,0.77134573,0.76126385,0.76807606,0.7827562,0.7727293,0.7213217,0.7192623,0.7291901,0.7776476,0.7697029,0.8003225,0.75529724,0.7776046,0.7614207,0.7557278,0.7566987,0.755262,0.7545585,0.75719994,0.7567259,0.7538029,0.7577511,0.7558847,0.70778686,0.71477455,0.6970434,0.7091534,0.72086835,0.72464097,0.7258067,0.7294668,0.71772647,0.74044025,0.73170775,0.725596,0.7120609,0.7359406,0.72729206,0.7349414,0.762889,0.74386275,0.7428366,0.7552227,0.74289024,0.742596,0.7473031,0.77992547,0.78613186,0.7675604,0.77081776,0.7610506,0.76784325,0.7822704,0.7721617,0.7233741,0.7204701,0.72821695,0.7761829,0.7685038,0.79907036,0.7538122,0.77755547,0.75930095,0.752829,0.75365776,0.75266314,0.75210345,0.754166,0.7538532,0.75159067,0.7547677,0.7533091,0.705649,0.7147118,0.69633734,0.70751977,0.71926093,0.7224406,0.7224374,0.7293203,0.7163965,0.73944443,0.7298314,0.7264263,0.7111697,0.7347698,0.75140834,0.7273053,0.7340986,0.76424134,0.74434865,0.7426249,0.75681615,0.74307835,0.7423572,0.7475207,0.7809818,0.78791314,0.7694081,0.7721555,0.76274896,0.76877826,0.7830162,0.7723162,0.72091,0.7183589,0.7283564,0.7780433,0.77049303,0.7999983,0.75608295,0.7769169,0.76208216,0.75591314,0.7570121,0.7555663,0.75492024,0.7575458,0.75687325,0.7542411,0.7579488,0.7559809,0.7076101,0.71610785,0.6992296,0.70924103,0.72129333,0.72412515,0.72591937,0.729485,0.7189357,0.74095833,0.73177034,0.7262131,0.7117965,0.73581105,0.7478513,0.73372847,0.76420784,0.743405,0.74276006,0.7566068,0.7428339,0.7421467,0.7472061,0.72968996,0.7181192,0.7410886,0.73213536,0.727056,0.71268415,0.73568726,0.7346619,0.7650707,0.74457204,0.7438877,0.7566149,0.74411863,0.7433803,0.74798816,0.7794256,0.77034783,0.8014816,0.7544008,0.77652436,0.73072827,0.7189809,0.73886466,0.73122,0.7269259,0.71210206,0.7360868
TC-SYSTEM-001,0.8188431,0.8145889,0.8304497,0.8040514,0.8156141,0.7804025,0.7775909,0.7893553,0.8138683,0.7965498,0.80347145,0.8012475,0.7979634,0.7971419,0.806013,0.83348083,0.81941193,0.81519747,0.8137157,0.80170727,0.8055936,0.8254255,0.82049286,0.76491594,0.7432551,0.77989125,0.8194215,0.8147789,0.8315028,0.8045862,0.8160089,0.7891019,0.78548324,0.7853797,0.78369266,0.784012,0.7854874,0.78578115,0.7836766,0.78637505,0.7852626,0.77054304,0.7856226,0.7659706,0.77796483,0.78046703,0.7676618,0.78645575,0.7700973,0.75183827,0.7722995,0.7672683,0.7653254,0.7479414,0.7697438,0.78373605,0.79164666,0.8149345,0.7988666,0.80329204,0.8020547,0.79995704,0.7992432,0.80791855,0.83568215,0.8222265,0.81803507,0.81629956,0.8043438,0.808331,0.8282989,0.8230233,0.7717462,0.74902546,0.78294647,0.8217647,0.8163476,0.83459765,0.80616325,0.8181306,0.79026026,0.7873977,0.7872293,0.7860563,0.78622186,0.78731585,0.7876888,0.78604746,0.78857714,0.78759015,0.77116317,0.78752244,0.7665913,0.7774984,0.78069544,0.7678447,0.7852684,0.7742007,0.75522065,0.7760223,0.7689483,0.7699723,0.75046384,0.7733717,0.7868137,0.77975786,0.7897742,0.8149858,0.79772985,0.80313635,0.802179,0.79910016,0.7978504,0.8072988,0.83414876,0.8208704,0.8171308,0.8150207,0.80365455,0.8068131,0.82568085,0.82043666,0.76550305,0.7426325,0.77989095,0.82065433,0.8162967,0.8319202,0.80583054,0.8157899,0.78967446,0.7856568,0.785838,0.7838772,0.78409946,0.7854907,0.78583413,0.7838818,0.78642356,0.78522265,0.7705357,0.7877506,0.768836,0.7783074,0.7812363,0.76723874,0.7869867,0.77059734,0.75388163,0.7731812,0.76780736,0.7664182,0.7480472,0.7698276,0.77648544,0.7898313,0.8147239,0.79704535,0.8036761,0.801882,0.79890513,0.7980441,0.8069181,0.76896185,0.7505911,0.7716031,0.76600957,0.7652389,0.74705577,0.7681572,0.78928936,0.81434417,0.7973688,0.8038517,0.8010268,0.79922336,0.79805017,0.8069333,0.8200597,0.8140387,0.83208287,0.8021947,0.8136464,0.77132297,0.753188,0.76957446,0.7660978,0.76622367,0.7472862,0.76956296
TC-SYSTEM-002,0.7731332,0.77581406,0.7952839,0.75920266,0.7797948,0.7500392,0.76311857,0.75766706,0.7857739,0.77041113,0.76950866,0.761982,0.76657224,0.76404095,0.7744129,0.77500093,0.7824817,0.77329534,0.76762336,0.76736045,0.76685375,0.78164876,0.7736684,0.7424917,0.7475771,0.74673223,0.77399004,0.7763884,0.7962853,0.76017123,0.7802392,0.75198543,0.7510974,0.7506399,0.74965274,0.74948514,0.7522945,0.75080776,0.74878263,0.75260025,0.7506399,0.74585056,0.7527574,0.75330496,0.76263976,0.7591032,0.755318,0.7604646,0.75900364,0.7567698,0.75970364,0.76144326,0.7607381,0.74011046,0.7629043,0.7507076,0.760103,0.78624535,0.772311,0.7702296,0.76310647,0.7688633,0.7654937,0.7765468,0.77512866,0.7823339,0.77535385,0.76905847,0.76939124,0.76875496,0.7826723,0.7739503,0.7458827,0.7495774,0.7475086,0.7730846,0.7759602,0.7952212,0.7595682,0.7801175,0.751492,0.74933434,0.7488699,0.74823344,0.747898,0.75024617,0.7490165,0.7474339,0.75083804,0.74905705,0.74487007,0.7540966,0.7534208,0.7615156,0.7583685,0.754584,0.7582383,0.759807,0.7570792,0.76091987,0.76189166,0.76250774,0.74098736,0.763592,0.76860356,0.74976474,0.7587643,0.7871804,0.77190876,0.7695626,0.7630528,0.76785576,0.7650225,0.7755537,0.77581453,0.7834191,0.7753146,0.7690965,0.76927096,0.76813984,0.78228086,0.7736604,0.7431883,0.7471743,0.74668235,0.77511275,0.77765167,0.79677665,0.7615262,0.7801081,0.75299263,0.7518183,0.75165117,0.7502965,0.7500348,0.75279796,0.7513891,0.74947953,0.75318575,0.7509358,0.7461901,0.7550565,0.75619376,0.76339877,0.7599423,0.7551893,0.7612176,0.7598202,0.75854814,0.7607031,0.7619631,0.7620121,0.74013305,0.763293,0.7631531,0.7581932,0.7865121,0.7708679,0.76958066,0.76278895,0.76748085,0.76486355,0.7754724,0.758893,0.7566566,0.75953496,0.76083964,0.761081,0.7397153,0.76187444,0.7574027,0.78601575,0.77122694,0.76946414,0.7615987,0.7676071,0.7650434,0.7751659,0.7739337,0.7749204,0.7964982,0.7577113,0.7783059,0.7598722,0.75798625,0.7574363,0.760097,0.76157176,0.73940325,0.76288414
