,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-ExampleInstrumentedTest-001,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007
TC-AUTHENTICATION-001,0.8059823,0.7984959,0.79860854,0.7888126,0.78552246,0.7871298,0.7682475,0.79550695,0.78287363,0.79641116,0.7786349,0.80584896,0.80657685,0.80374056,0.78441167,0.84790444,0.8274212,0.81987834,0.82277906,0.81393754,0.81874406,0.8342943,0.83414805,0.7681891,0.7349775,0.7709334,0.8090147,0.8009845,0.8014793,0.79153335,0.78778505,0.82731754,0.82422376,0.82225966,0.82105863,0.8219861,0.82281244,0.8241372,0.82180613,0.8235538,0.8246335,0.75342774,0.7538167,0.7103182,0.7238188,0.7320232,0.7163907,0.72603166,0.741065,0.7151545,0.7448014,0.7295052,0.7242875,0.71024907,0.72759634,0.7815,0.7901408,0.777395,0.7929322,0.77459323,0.7997939,0.80112356,0.7991271,0.78225875,0.8429292,0.8185152,0.81215715,0.8148132,0.806154,0.8110926,0.8275125,0.82970417,0.7650461,0.73157716,0.7681031,0.8048234,0.7958803,0.7999543,0.78523195,0.78340423,0.81977046,0.81733257,0.81562376,0.8147614,0.8155015,0.8160665,0.817264,0.81558704,0.8171132,0.81808543,0.74783814,0.75136423,0.70661324,0.71737146,0.72689676,0.7107303,0.7179552,0.73901415,0.7099562,0.7410259,0.72300804,0.72233754,0.70613104,0.72382,0.7635132,0.7857209,0.7932956,0.7812097,0.79582334,0.776999,0.8040811,0.80440843,0.8020465,0.78418064,0.8472171,0.8257893,0.81845456,0.82096004,0.8126491,0.816753,0.8323096,0.8331558,0.76694787,0.73308855,0.7700331,0.80785114,0.80012274,0.80015284,0.79013586,0.7855141,0.8263478,0.82394624,0.82234,0.82073146,0.8216777,0.8223724,0.8237392,0.82153857,0.82315576,0.8242394,0.7522873,0.75411844,0.71206987,0.7227715,0.73114955,0.71464163,0.72477746,0.73896325,0.71462774,0.74401176,0.7281124,0.72336817,0.70856905,0.72579944,0.7636741,0.79255694,0.78049326,0.7946975,0.77634853,0.8034521,0.80435085,0.8012193,0.78304446,0.7364764,0.7105386,0.7412927,0.7254591,0.7217763,0.7070068,0.7235188,0.79502916,0.7813611,0.79623914,0.7791895,0.8053132,0.80673724,0.8028766,0.7853125,0.80792403,0.80032074,0.80081314,0.7882245,0.7844939,0.74012977,0.7149704,0.74084216,0.7272312,0.7238552,0.70853007,0.72572684
TC-AUTHENTICATION-002,0.8214184,0.8173277,0.8416976,0.8089805,0.82840693,0.7819934,0.77005386,0.81215715,0.8010356,0.8134989,0.7956044,0.82814234,0.81913435,0.8185994,0.8032172,0.8729949,0.8551549,0.8423038,0.8456553,0.8349316,0.84047747,0.8573519,0.8571689,0.7628392,0.7360773,0.770597,0.82320136,0.8188175,0.8434713,0.8103346,0.82967997,0.8201301,0.818817,0.8176782,0.81582123,0.8172446,0.81763935,0.8190323,0.817066,0.8190961,0.8180438,0.7486617,0.7591244,0.729984,0.7440339,0.74918854,0.733897,0.7435226,0.74853265,0.7335086,0.7564736,0.74717873,0.7440208,0.7264341,0.746061,0.77699167,0.8081502,0.7961276,0.81066835,0.79226625,0.82288325,0.81508696,0.8148934,0.8019702,0.8690682,0.8478075,0.8355566,0.83870083,0.82811254,0.83386004,0.85092413,0.85327256,0.7612811,0.7332516,0.76775956,0.8199011,0.8145041,0.8416414,0.8049947,0.82626915,0.8147025,0.81241304,0.8113603,0.80992633,0.811002,0.8112397,0.8124192,0.8110374,0.8128473,0.812145,0.7435216,0.7572475,0.7265086,0.7379815,0.74446106,0.72846615,0.73649263,0.74680346,0.7281816,0.7537552,0.74126047,0.7415711,0.7233098,0.74227667,0.76744676,0.7809946,0.8111577,0.8001549,0.8138138,0.7948803,0.827528,0.8177817,0.8179657,0.8037528,0.8730445,0.8547015,0.8418691,0.8448491,0.8346609,0.839514,0.85622895,0.8563951,0.76235247,0.7346493,0.76963556,0.8230661,0.81874037,0.8429754,0.8098105,0.8281684,0.81980157,0.8186076,0.8177292,0.8156226,0.8169463,0.81722057,0.8187215,0.8168543,0.81874764,0.81785965,0.747823,0.7600935,0.73196614,0.74353653,0.7487634,0.73245895,0.7427856,0.74722093,0.733466,0.75592035,0.74647135,0.7437663,0.72530746,0.7450995,0.76728076,0.81102765,0.8001057,0.8131627,0.79476243,0.8275726,0.8185363,0.8178524,0.80335975,0.7451613,0.7298766,0.7536973,0.7440366,0.7421714,0.72394437,0.74277747,0.8120096,0.80000305,0.81381464,0.7964183,0.8277905,0.8197527,0.81830406,0.80439126,0.822741,0.8182921,0.84336007,0.8074891,0.82710683,0.7483659,0.7335875,0.75270736,0.7450674,0.7438497,0.72486866,0.74466884
TC-AUTHENTICATION-003,0.7992309,0.79082537,0.81658745,0.78757024,0.80431724,0.7771857,0.77426356,0.76935273,0.7603376,0.77749,0.7602551,0.78607106,0.77399814,0.7802654,0.760544,0.8749456,0.89406246,0.85092306,0.8564751,0.88470554,0.8895066,0.8613526,0.8602495,0.77225184,0.7521242,0.76990855,0.80148333,0.79281765,0.8190702,0.78937453,0.8061175,0.7951442,0.79897004,0.80124235,0.79562247,0.79887724,0.7985493,0.7993684,0.79823405,0.7993203,0.798761,0.73665667,0.73888004,0.72441566,0.72840405,0.7312195,0.7155403,0.72593355,0.7399327,0.72296476,0.7521774,0.73977226,0.73307955,0.7233426,0.7393352,0.76904523,0.765158,0.7555501,0.77500856,0.75689423,0.78076977,0.77002794,0.776745,0.758699,0.8703529,0.88644063,0.84108746,0.8467469,0.87519586,0.88017523,0.85368997,0.8556342,0.7674218,0.7471185,0.76541734,0.7970687,0.7876985,0.8152884,0.7821289,0.80212927,0.78939253,0.7911819,0.7928398,0.78836715,0.7909222,0.79064447,0.79136187,0.7905218,0.79167205,0.79127175,0.730157,0.73689723,0.7194683,0.72244966,0.72506624,0.70961446,0.7178215,0.7369832,0.7161585,0.7480304,0.7323785,0.728896,0.71985376,0.73440605,0.76856357,0.77621263,0.76799226,0.7592336,0.7775147,0.7587187,0.78509676,0.7724398,0.7789559,0.760373,0.8748405,0.8933792,0.85006094,0.8554729,0.8834313,0.88810605,0.8597102,0.85945225,0.77151734,0.7504582,0.76840794,0.80103576,0.792536,0.8177717,0.78873867,0.8040517,0.79488444,0.79883975,0.8011468,0.79565763,0.79867023,0.79831237,0.79927087,0.79819477,0.79910713,0.7987547,0.7358072,0.7392492,0.72533,0.7277146,0.7303962,0.7139773,0.72486246,0.73856413,0.72274876,0.75098854,0.73896456,0.73250115,0.7221121,0.73820645,0.7721071,0.7679204,0.7593591,0.7771721,0.7590211,0.78574353,0.77325857,0.77974087,0.76062995,0.7366632,0.7192206,0.74950254,0.7365836,0.7311429,0.7208832,0.736032,0.76898795,0.7591952,0.77792805,0.7604959,0.7855307,0.7747352,0.7802622,0.761513,0.80102587,0.79198587,0.81857264,0.7864244,0.8031801,0.7398953,0.72268325,0.7483045,0.7376573,0.7327694,0.72184956,0.7378765
TC-AUTHENTICATION-004,0.7949972,0.79020876,0.80914736,0.78045064,0.7925077,0.7632651,0.7667854,0.7922113,0.7821585,0.79302305,0.7771522,0.80960405,0.7993859,0.79932475,0.7801438,0.84138083,0.84544885,0.8484013,0.8442775,0.834342,0.832685,0.85777,0.8497634,0.74838376,0.7462654,0.75745773,0.79691684,0.79172075,0.81099474,0.78208005,0.7938708,0.8214495,0.820059,0.8194591,0.8208722,0.8193395,0.8196897,0.8214677,0.8185643,0.82031286,0.8206979,0.7398844,0.7456022,0.72279894,0.7368895,0.7421057,0.74177104,0.72716194,0.74201673,0.72984076,0.74923337,0.7387626,0.72931576,0.7152967,0.73828477,0.7555064,0.78778154,0.776584,0.7897607,0.77369833,0.80413306,0.7947382,0.79512733,0.7782241,0.83677804,0.83687735,0.8390814,0.8344883,0.82538825,0.8239493,0.8493782,0.84474903,0.74468833,0.7419328,0.75290763,0.7919455,0.7860098,0.80720764,0.77550495,0.78905773,0.8139703,0.8108887,0.81036127,0.8115541,0.8103907,0.8104909,0.8119451,0.8098694,0.8113386,0.8118131,0.7334112,0.7437484,0.7183162,0.72988033,0.73614424,0.73491216,0.7191543,0.73872775,0.7228606,0.7444118,0.730991,0.72558045,0.710798,0.7326414,0.76170725,0.76220685,0.79122514,0.7813039,0.7932272,0.7762079,0.80895734,0.7981385,0.7984808,0.78049034,0.84122574,0.8448875,0.84775853,0.84337974,0.8334949,0.8315159,0.8564324,0.8490603,0.7479368,0.7450153,0.756457,0.79656184,0.79170984,0.8101242,0.78111136,0.791903,0.82156956,0.8202765,0.8199464,0.8209734,0.8195654,0.81980956,0.82159483,0.81888497,0.8205217,0.8209404,0.7393788,0.7468779,0.7249472,0.7364241,0.74181366,0.7407606,0.7266016,0.7411226,0.73008263,0.74912846,0.73792064,0.7293669,0.71440715,0.7378746,0.7642091,0.7909267,0.7811267,0.79258275,0.77588046,0.80878776,0.7985431,0.79830694,0.77988195,0.7396604,0.72737545,0.7472789,0.7366871,0.72855604,0.7137214,0.7358826,0.7917796,0.78061,0.7932155,0.7773998,0.80873865,0.79970485,0.7987584,0.7809478,0.79606277,0.79024005,0.8102803,0.7787817,0.7906656,0.7413683,0.7295017,0.7447762,0.73592806,0.7286871,0.71304613,0.7362946
TC-JOURNEY-001,0.77887964,0.7787208,0.77720606,0.7724781,0.7663033,0.7640301,0.7585978,0.83286154,0.8119448,0.8334733,0.80244124,0.8052671,0.8474006,0.84004176,0.8209666,0.7748859,0.7534813,0.75589955,0.7519163,0.74975514,0.74983096,0.7629164,0.7632786,0.7566284,0.73710674,0.791118,0.7806298,0.78025174,0.7793955,0.7741003,0.768011,0.7601958,0.755592,0.7545633,0.7528507,0.7529892,0.7546631,0.7558598,0.7524161,0.75693184,0.75629663,0.7673468,0.793746,0.7646862,0.7787438,0.7717074,0.75649214,0.764948,0.7482043,0.72501194,0.7531536,0.74396396,0.74398255,0.72240996,0.74093544,0.76478535,0.8294968,0.8090765,0.83191025,0.7988385,0.8020287,0.84399104,0.8382281,0.8195393,0.7738794,0.7506236,0.7558666,0.7507628,0.74884754,0.74844825,0.7627334,0.76272154,0.7605314,0.7391256,0.79173183,0.78152245,0.77928805,0.7816129,0.77343154,0.7668952,0.7572952,0.7547353,0.75383705,0.75271887,0.7526379,0.75402296,0.75503284,0.75230676,0.756307,0.7557145,0.7663237,0.7935276,0.7631077,0.7755414,0.7699715,0.75414455,0.76105404,0.75136495,0.72666645,0.7530811,0.74158394,0.74599063,0.720571,0.7424463,0.76382333,0.76358575,0.83243316,0.81216097,0.8346206,0.8014357,0.80478185,0.846672,0.84051216,0.8217285,0.7750226,0.75399363,0.7569388,0.75238335,0.75067776,0.7499838,0.76279974,0.7629957,0.7570176,0.73664623,0.79086506,0.78031707,0.7806297,0.77849877,0.77427113,0.76667905,0.7600553,0.7550411,0.7544563,0.7523199,0.75244486,0.75404274,0.75530916,0.752055,0.7563131,0.75547165,0.7671665,0.7950195,0.7667155,0.7786392,0.77158713,0.7557323,0.76498246,0.74740684,0.7258496,0.7534239,0.74386024,0.7437388,0.72193706,0.7400706,0.7567596,0.8331797,0.81226754,0.83420414,0.80235624,0.8049671,0.8482393,0.8407229,0.82159376,0.74543643,0.72246134,0.751145,0.7414391,0.74233496,0.72048295,0.7383818,0.83416003,0.81336284,0.83481824,0.8047427,0.8064352,0.8495376,0.8412687,0.8234262,0.78106964,0.7817426,0.7798936,0.7728766,0.76632917,0.74892884,0.72716284,0.75179905,0.74443877,0.745287,0.7227953,0.74116766
TC-JOURNEY-002,0.8006924,0.8028235,0.79152405,0.78744906,0.7753335,0.77611035,0.7722294,0.8171628,0.83072,0.8211766,0.81531775,0.7963811,0.8239412,0.8204665,0.82267064,0.7795084,0.76149344,0.76395583,0.75784224,0.75508255,0.7549968,0.7720064,0.7675613,0.76144695,0.74111146,0.78859067,0.8014108,0.80383426,0.792902,0.78892386,0.7765711,0.7611577,0.76241636,0.7617933,0.7603172,0.760335,0.76233715,0.761518,0.75957626,0.7640568,0.76136225,0.78428435,0.8051681,0.79103893,0.8050769,0.80359936,0.78986615,0.8092965,0.76533115,0.75296277,0.7622321,0.7657882,0.7672056,0.7412236,0.76332706,0.7822594,0.81855714,0.8311522,0.8224994,0.8145301,0.7974157,0.825418,0.8223076,0.8242188,0.78186387,0.76380515,0.7695317,0.7622047,0.75923866,0.75858057,0.77612907,0.770222,0.77070373,0.74822176,0.7931998,0.8050054,0.80538684,0.7972876,0.79271096,0.77813894,0.7624685,0.7655549,0.76502496,0.7640722,0.7639336,0.7655921,0.7649701,0.7634031,0.7673719,0.7652473,0.786301,0.80715686,0.7923447,0.8049018,0.80410886,0.7904346,0.8094954,0.77108943,0.758459,0.76650214,0.7686799,0.7724674,0.7437737,0.7684248,0.7837683,0.77561694,0.81778073,0.83171624,0.822363,0.814916,0.79672575,0.82422566,0.82136345,0.8235502,0.7796831,0.76196533,0.76528525,0.75849736,0.7562574,0.7553048,0.7720046,0.7671398,0.7621636,0.7403713,0.7882903,0.8017634,0.80415857,0.7923138,0.78927386,0.775571,0.7610427,0.7616648,0.7614245,0.7595181,0.7594528,0.7613642,0.7606802,0.7588358,0.76308906,0.7603318,0.7842016,0.80647695,0.793244,0.80494696,0.80370283,0.78901,0.8097193,0.7651416,0.7539914,0.76236105,0.7657,0.76715875,0.7405342,0.7627085,0.7708251,0.81752574,0.83113056,0.821334,0.8159119,0.7965152,0.8245914,0.8207304,0.82346284,0.7632383,0.75077796,0.7606866,0.7634117,0.7655257,0.7391955,0.76081896,0.8162792,0.8303363,0.82117236,0.8154816,0.79535025,0.82403135,0.82022566,0.8230505,0.8004569,0.8020915,0.79244393,0.7854285,0.77338284,0.7651643,0.75385445,0.7588809,0.7640056,0.7670503,0.73947245,0.7623681
TC-JOURNEY-003,0.73413306,0.75610846,0.7459843,0.7415095,0.7318466,0.72647345,0.73715454,0.77765346,0.7638093,0.77907526,0.7569505,0.7591117,0.7875646,0.7848308,0.78011805,0.74342906,0.72718817,0.7378386,0.73660994,0.7163907,0.7220518,0.74583286,0.7390846,0.714374,0.7090072,0.75753933,0.73609835,0.75798404,0.74854755,0.74307764,0.7336354,0.72243685,0.72165966,0.7224536,0.71927184,0.7198774,0.7215532,0.72389853,0.718739,0.7223727,0.7230025,0.7170583,0.74711365,0.7405201,0.74248487,0.731071,0.7274049,0.7249697,0.7069349,0.703793,0.7181014,0.7079589,0.7233521,0.6953259,0.7153008,0.72399116,0.77455485,0.76048416,0.77794653,0.7537797,0.75572354,0.7843749,0.78299344,0.77820563,0.7425042,0.72226554,0.73579675,0.733649,0.7138673,0.7190243,0.7429296,0.73774886,0.71706957,0.7089441,0.7559559,0.73561215,0.7559055,0.74851847,0.74056536,0.73176426,0.71900094,0.7190611,0.71968526,0.71736354,0.7175644,0.71908945,0.720889,0.71682036,0.7201241,0.720343,0.71450466,0.7452376,0.7372242,0.73861414,0.7280141,0.7238363,0.7190911,0.70858383,0.7037054,0.71629035,0.7044867,0.7230553,0.6930044,0.71428776,0.7396633,0.72619456,0.7772949,0.76400673,0.7801873,0.756362,0.75888103,0.7871796,0.7848425,0.7809767,0.74340373,0.72768664,0.73902243,0.73727155,0.717399,0.7222385,0.74586564,0.7386915,0.7144549,0.70838225,0.75670767,0.73544693,0.7582042,0.7472569,0.7433906,0.7320734,0.7223563,0.7212391,0.7224502,0.71896243,0.7195155,0.72126585,0.7234553,0.7186214,0.72207594,0.72228366,0.7166796,0.74804205,0.74223244,0.7425203,0.7309998,0.72677255,0.7246356,0.70613885,0.70429486,0.717671,0.70771027,0.7232361,0.6948893,0.71431905,0.73670715,0.7778529,0.76395285,0.7797891,0.7569815,0.75894845,0.78826797,0.7855978,0.7809888,0.7049279,0.70207375,0.71653736,0.7062399,0.72234845,0.6943096,0.71358645,0.7784566,0.7645755,0.7802442,0.7589671,0.7599756,0.78952634,0.78586835,0.7823194,0.7360555,0.7586884,0.7486687,0.7423133,0.7322805,0.7070967,0.70528126,0.7163385,0.7076593,0.723901,0.69542295,0.7147567
TC-JOURNEY-004,0.7658616,0.78569824,0.7671003,0.7713573,0.7514529,0.75194985,0.7606361,0.8016851,0.7879071,0.7992927,0.7813622,0.7864781,0.8064072,0.8019236,0.80148447,0.75868183,0.74297327,0.75241995,0.7496271,0.7311512,0.73374635,0.760594,0.7485068,0.73682904,0.72571206,0.7782332,0.7678315,0.78755087,0.76958185,0.77300155,0.75324523,0.75263864,0.7492633,0.74808896,0.75014603,0.7470083,0.7488757,0.7514393,0.74615324,0.74991786,0.7507077,0.7514686,0.779837,0.7637242,0.77782106,0.765969,0.76132184,0.760821,0.74660933,0.737557,0.7556512,0.7513549,0.76166487,0.73386675,0.75635654,0.74965,0.7990742,0.78475165,0.79838705,0.7782571,0.7828926,0.80392855,0.8002817,0.8001899,0.75823903,0.7384716,0.75074124,0.7464621,0.7291106,0.73110586,0.7578399,0.7475125,0.73999655,0.7256251,0.77711445,0.767521,0.78536606,0.7701451,0.77131706,0.75140154,0.749245,0.745874,0.7448941,0.74682397,0.7439612,0.7455592,0.747666,0.7435255,0.7470409,0.7473054,0.74872816,0.77775407,0.7603046,0.7733249,0.762488,0.7573416,0.7545918,0.7474184,0.7362225,0.7531235,0.74669087,0.7603573,0.73079175,0.75434697,0.76299214,0.7512588,0.80132055,0.78810084,0.80036956,0.78046983,0.78610694,0.8062032,0.8018551,0.8026022,0.75843906,0.74340546,0.7538053,0.7502199,0.73204917,0.7338553,0.76038456,0.74777085,0.7370565,0.72524047,0.77752554,0.7671964,0.78783584,0.7684696,0.77317786,0.7515258,0.75276965,0.74874353,0.74819505,0.7495432,0.7465537,0.74839157,0.7509032,0.7459415,0.7494912,0.74988997,0.75096333,0.7808255,0.765604,0.77759314,0.76583815,0.76053804,0.7605287,0.7458367,0.7381518,0.7556553,0.7504761,0.76167285,0.73339534,0.7554766,0.7596074,0.8015685,0.7875652,0.79969835,0.7813024,0.786208,0.8069172,0.8022999,0.8021971,0.74534136,0.73678464,0.75475633,0.750392,0.7614876,0.73340416,0.755137,0.8018509,0.78810054,0.80025595,0.7829015,0.7865714,0.8079057,0.8028089,0.8032065,0.767572,0.78740376,0.7692626,0.7718562,0.75128925,0.7466085,0.73856014,0.7537101,0.7506313,0.76208204,0.7336054,0.7556871
TC-STATISTICS-001,0.76604056,0.7771871,0.7573133,0.76205105,0.74471176,0.75569916,0.7751883,0.79618144,0.79927886,0.786492,0.7799479,0.78133714,0.7927804,0.78900695,0.7975899,0.74358153,0.72916275,0.73384064,0.72839046,0.71293616,0.7160919,0.74307233,0.72882974,0.7445595,0.7212506,0.76707804,0.7668677,0.7776139,0.7589276,0.7619755,0.7453649,0.74218607,0.7336623,0.73294455,0.73047626,0.7312699,0.73336124,0.73708516,0.7313181,0.73788905,0.73427635,0.75436544,0.76915056,0.75104094,0.749873,0.7525644,0.7391204,0.76897746,0.80686235,0.7892882,0.81340694,0.79311883,0.80633533,0.7962245,0.82351464,0.7538446,0.79606444,0.79796505,0.78695416,0.7799016,0.780337,0.7928859,0.78922343,0.7987491,0.74366415,0.72699267,0.73459375,0.72836673,0.71319014,0.71583986,0.7428223,0.7287059,0.74673104,0.72076994,0.7656251,0.76726055,0.77670234,0.7593051,0.76268065,0.74316585,0.7405967,0.73171145,0.7311331,0.72949266,0.72976756,0.73144484,0.7347089,0.73006314,0.7356815,0.73248017,0.75193465,0.76790446,0.7495851,0.7469864,0.75010866,0.7364962,0.764508,0.8050133,0.784902,0.8085906,0.78872,0.80510724,0.7928107,0.8195745,0.77661866,0.7544829,0.79644585,0.8001222,0.7885132,0.78014576,0.7820367,0.793713,0.78971744,0.7997576,0.7433604,0.7303786,0.7360406,0.72983956,0.7146819,0.71710813,0.74342364,0.7280216,0.744833,0.7208271,0.7669268,0.7671631,0.77869403,0.7584804,0.76334774,0.7443857,0.7431691,0.73363143,0.73354447,0.73072267,0.73135316,0.73349154,0.7370509,0.73163486,0.73793894,0.73405164,0.75452715,0.77073014,0.75334585,0.7504658,0.7532363,0.7388469,0.76928914,0.80751836,0.79103965,0.8142022,0.79333127,0.807142,0.7965239,0.8235081,0.77391183,0.7959926,0.7994002,0.78699505,0.7797991,0.78148323,0.79326236,0.7896216,0.79857063,0.80954325,0.79245424,0.8159573,0.79569894,0.80988926,0.7987976,0.82507634,0.7963839,0.7999685,0.78787196,0.78105175,0.7816622,0.79459965,0.79069656,0.79955435,0.76778805,0.7783511,0.75945175,0.76188177,0.7440655,0.80778337,0.7906704,0.81281024,0.7932409,0.80775976,0.79690516,0.82396066
TC-STATISTICS-002,0.76742756,0.78047186,0.76265144,0.7571984,0.74697745,0.743999,0.7882769,0.79354775,0.79200435,0.78425586,0.7780837,0.78821516,0.7909133,0.790447,0.79297626,0.74687153,0.75090575,0.7492519,0.7406808,0.7310526,0.7310959,0.7533192,0.7360718,0.74362665,0.74521625,0.76094854,0.76880825,0.78147197,0.7646748,0.7573546,0.74754417,0.74796283,0.74252,0.74052477,0.7384084,0.73847556,0.74092597,0.7444476,0.7382211,0.7441689,0.7430694,0.7324616,0.7508557,0.7428261,0.7265565,0.7330479,0.7229165,0.73795503,0.80017495,0.7871844,0.8079146,0.78843224,0.79936403,0.7917554,0.8207102,0.7377895,0.7915235,0.7882735,0.7830053,0.7769949,0.78497344,0.78896403,0.7890805,0.79242396,0.7453412,0.7445915,0.7455036,0.7358182,0.72682726,0.72628695,0.7488754,0.7339643,0.74186516,0.7404362,0.7581312,0.76675385,0.7778185,0.76241946,0.7546177,0.74430436,0.743981,0.7367972,0.735209,0.7337503,0.73346686,0.7354262,0.73846984,0.7335553,0.738611,0.7374659,0.727571,0.7486662,0.7396117,0.7217066,0.7284991,0.71864504,0.73079014,0.7953875,0.7783687,0.8002363,0.77987134,0.79449683,0.785946,0.812742,0.78409636,0.742628,0.79401875,0.79241747,0.7865423,0.7784856,0.78929865,0.7921539,0.79142547,0.79550314,0.7469543,0.75121856,0.7509496,0.7417179,0.73213905,0.7316198,0.7534301,0.7353928,0.7437854,0.7448755,0.76062,0.7686419,0.7818315,0.7640007,0.758468,0.74645436,0.74925864,0.7428072,0.7416569,0.7390877,0.7390797,0.74149954,0.7448863,0.7390611,0.7447149,0.74328405,0.7324502,0.7526972,0.7456634,0.72687316,0.7338301,0.72251797,0.73791087,0.80057585,0.78855824,0.80910003,0.78902173,0.8004834,0.79244065,0.8211137,0.78782237,0.7930377,0.79171115,0.78490365,0.77785605,0.78847814,0.79146963,0.79114664,0.7940738,0.80264974,0.7900993,0.8101741,0.79110795,0.80327123,0.7944344,0.82226104,0.7936642,0.79219675,0.78564155,0.77945566,0.78872705,0.7928997,0.7921526,0.79504895,0.7691597,0.78130996,0.7646209,0.75705016,0.745947,0.800556,0.7877461,0.8065185,0.7879267,0.8002295,0.79200006,0.82034385
