,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-ExampleUnitTest-1,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1
TC-LOCATION-SELECTION-001,0.806862,0.77888453,0.808105,0.8392955,0.8263997,0.825791,0.8274465,0.8261037,0.82797635,0.77607137,0.7664162,0.763266,0.7990031,0.754529,0.7646738,0.7792194,0.78007627,0.76794714,0.78635836,0.78919995,0.7731633,0.760778,0.7872657,0.7844933,0.7914541,0.784293,0.74949807,0.75606674,0.7532261,0.7615598,0.7500087,0.7458593,0.7749969,0.7539938,0.7724068,0.76161516,0.7636242,0.75166076,0.7381103,0.7592788,0.73503673,0.7442461,0.7739249,0.7904872,0.7794736,0.81432474,0.7838136,0.8161787,0.84581006,0.8300432,0.82963395,0.8309165,0.8299053,0.83159447,0.80471665,0.76325035,0.7718173,0.7863584,0.7874124,0.77510697,0.792799,0.791938,0.77989995,0.76210946,0.8006567,0.7926804,0.7989551,0.79707503,0.76008683,0.76392496,0.76335216,0.7684369,0.75461525,0.7497388,0.7856687,0.76455075,0.7792558,0.76651245,0.7668439,0.75602734,0.74904996,0.7643979,0.7456044,0.74853075,0.7830362,0.7762355,0.7760218,0.7663957,0.806871,0.77847207,0.80810845,0.83947706,0.8256731,0.8252582,0.826999,0.82569516,0.8274522,0.79802275,0.75326526,0.76393,0.7787175,0.7796111,0.76737887,0.7874212,0.78868353,0.7730298,0.7602183,0.7870875,0.7836728,0.79188955,0.78342974,0.74834955,0.7555205,0.7531132,0.7610273,0.748554,0.74453056,0.7751925,0.7532284,0.77146274,0.76097476,0.7626424,0.75116444,0.73610055,0.7586732,0.7347796,0.7436055,0.77466476,0.7610798
TC-LOCATION-SELECTION-002,0.80076915,0.77357554,0.82490605,0.852992,0.8500298,0.8488605,0.85077184,0.84861076,0.8510246,0.7699612,0.76807827,0.7450983,0.7827536,0.7546675,0.76638496,0.7716949,0.7709549,0.758787,0.78034574,0.7826187,0.76773095,0.75647026,0.7775342,0.7782833,0.78276336,0.7711203,0.7491361,0.7607997,0.7528368,0.7566095,0.7360468,0.7310457,0.7644402,0.74919903,0.7679992,0.7446617,0.7531257,0.738017,0.72498584,0.7576768,0.7255013,0.7308527,0.7618814,0.77466667,0.7719407,0.7994707,0.7714949,0.82636476,0.85197234,0.84744596,0.8465216,0.847934,0.84624815,0.84839654,0.782197,0.75536025,0.7660874,0.7697369,0.7686401,0.7570741,0.78029644,0.7785341,0.7664707,0.7512461,0.78257155,0.77967745,0.783428,0.7750465,0.7522893,0.76122856,0.754897,0.75604576,0.7346938,0.7294498,0.7668972,0.7525844,0.7673998,0.74180216,0.74723905,0.7343094,0.73036885,0.7566986,0.7306194,0.7309383,0.76405895,0.7498322,0.77001774,0.7682379,0.80080473,0.7733291,0.8253928,0.85334855,0.8494409,0.8485211,0.85044765,0.8483631,0.850636,0.78228766,0.75354415,0.76571906,0.77129185,0.7706393,0.7581334,0.7815145,0.78216314,0.76735264,0.75593483,0.77722347,0.77735084,0.78300935,0.7703528,0.74802846,0.7601338,0.7525716,0.7564869,0.7348863,0.7297786,0.7644446,0.74854,0.76672995,0.7435344,0.75172496,0.7371428,0.7226702,0.75711346,0.72478414,0.72988456,0.7625664,0.7424802
TC-LOCATION-SELECTION-003,0.7779525,0.789351,0.80712557,0.80746317,0.8214456,0.82100487,0.8215242,0.8197121,0.8211341,0.766653,0.7634501,0.7601301,0.7789291,0.7284632,0.72675645,0.76349163,0.7695088,0.7779497,0.7543812,0.7503557,0.7416435,0.7373239,0.7630776,0.7439501,0.74823797,0.75605035,0.72139823,0.72512484,0.7245358,0.7265658,0.71992266,0.7169194,0.75317895,0.7234937,0.7337119,0.72951186,0.73315185,0.72318685,0.7216561,0.73725307,0.7405027,0.7286394,0.7515284,0.76693356,0.7651231,0.7725627,0.7835913,0.8053616,0.8037706,0.8178437,0.8175819,0.81785643,0.8163301,0.8176923,0.77671915,0.72683847,0.72438914,0.75911736,0.76401114,0.7732822,0.75139624,0.74444395,0.7391238,0.7313348,0.7645559,0.74510944,0.7492405,0.75822365,0.7247275,0.72391355,0.72460324,0.7256904,0.7182771,0.7143714,0.75313944,0.7259991,0.7319015,0.7255215,0.72487235,0.7163226,0.72525626,0.7345854,0.74414515,0.72914743,0.7509173,0.76112086,0.76678014,0.7641081,0.778291,0.7895344,0.8076935,0.8082215,0.8209791,0.8207314,0.82129264,0.81950647,0.82086396,0.77865374,0.7277545,0.7262895,0.7637195,0.76950514,0.77792805,0.7555667,0.7503686,0.74200684,0.73718494,0.7631685,0.7432406,0.74864656,0.7557412,0.7204776,0.7246006,0.72430384,0.7268199,0.7191191,0.7155216,0.75334865,0.7227162,0.7321975,0.7284921,0.731895,0.72219795,0.71957946,0.736729,0.73966503,0.72778344,0.7521275,0.75849926
TC-MAP-DISPLAY-001,0.80176455,0.77044815,0.7767949,0.8121615,0.8011338,0.8007266,0.80199116,0.8017961,0.80308276,0.76722914,0.7580652,0.75537664,0.8057276,0.7377702,0.7558615,0.76998264,0.77016985,0.7633766,0.77684927,0.8008239,0.76121193,0.77022505,0.8032695,0.80020124,0.7991072,0.8048318,0.72834706,0.74141085,0.74171996,0.7509217,0.7257961,0.7220247,0.76678646,0.74978197,0.7797159,0.7545517,0.7486413,0.73985606,0.74585867,0.76752055,0.73870254,0.75128704,0.7771536,0.7773127,0.76593125,0.8058671,0.77353156,0.78275836,0.8167201,0.8037436,0.8033447,0.80435705,0.80427957,0.80539346,0.8102133,0.7446788,0.7602557,0.77603614,0.77617073,0.7684266,0.7803908,0.8020296,0.76510745,0.7698485,0.8122206,0.8046256,0.80283177,0.8141655,0.73776805,0.74698246,0.74908525,0.75584716,0.7292776,0.7256556,0.7753774,0.7572087,0.784265,0.75677437,0.74976337,0.7409515,0.7533495,0.77058417,0.7472681,0.75394666,0.7818209,0.7678928,0.76679665,0.75783014,0.8010912,0.7698672,0.77641654,0.81205857,0.8004017,0.80012536,0.8014557,0.801335,0.80242205,0.80502784,0.73651135,0.7551821,0.7692871,0.7698131,0.76290005,0.77779573,0.8003854,0.76085174,0.7699799,0.8031374,0.8001467,0.7999242,0.80449045,0.7267271,0.74042004,0.7415221,0.7501781,0.72453755,0.7213918,0.7678111,0.7496536,0.779517,0.7541574,0.7477536,0.7393801,0.7445246,0.7669591,0.73880863,0.75141066,0.77799094,0.75337064
TC-MAP-DISPLAY-002,0.7602162,0.72169447,0.7287174,0.7865524,0.7649974,0.76444,0.7652552,0.76427066,0.7655708,0.7413235,0.7291038,0.7575121,0.7840017,0.72820634,0.7532649,0.7651899,0.7636798,0.7480179,0.73653084,0.79085827,0.75131345,0.7745105,0.7945847,0.79086417,0.7935989,0.8048643,0.72071415,0.7318952,0.7159339,0.72531086,0.7081013,0.705577,0.7491919,0.7384119,0.7711266,0.74327654,0.7472782,0.7405873,0.7364355,0.79960364,0.7439716,0.7411132,0.795395,0.7394017,0.7264394,0.75636446,0.7191352,0.72817326,0.7827302,0.7603632,0.7598571,0.7604944,0.75961703,0.7607352,0.7826011,0.72655666,0.74964064,0.7612318,0.7599871,0.7441678,0.73469496,0.7849557,0.74790937,0.76907325,0.7930324,0.78822327,0.78999776,0.8031436,0.7238225,0.7296616,0.71667296,0.72434175,0.7061591,0.70323026,0.74967116,0.73976827,0.76796687,0.73743725,0.7377795,0.7306082,0.73870534,0.794711,0.7462739,0.7403317,0.7903594,0.7601121,0.7410863,0.72946656,0.7598901,0.72187656,0.7289278,0.7867575,0.76452243,0.76410115,0.76494426,0.7641156,0.7652003,0.7842338,0.7279281,0.7535013,0.76544046,0.76399565,0.7481053,0.7379463,0.7912731,0.7519916,0.775388,0.79519343,0.79178834,0.7950628,0.80524546,0.720599,0.7318384,0.7164953,0.7259568,0.7074424,0.705424,0.75116575,0.7393268,0.77159876,0.74374664,0.7472315,0.74084353,0.736369,0.8005335,0.7447108,0.7420281,0.797565,0.75772786
TC-MAP-DISPLAY-003,0.77564716,0.78260326,0.76547664,0.7864054,0.79232025,0.7920188,0.7928244,0.7908808,0.7929587,0.7606206,0.759102,0.7735197,0.79296005,0.72484756,0.747736,0.7850319,0.7900057,0.8285895,0.7576691,0.803834,0.7536205,0.7807748,0.81711274,0.80313003,0.79176116,0.8191178,0.72966135,0.73637664,0.7282944,0.73317474,0.70919,0.70698214,0.7569653,0.7406609,0.7732041,0.73794425,0.74014413,0.7309311,0.743934,0.7939577,0.7728304,0.7804497,0.78726536,0.7570299,0.7562358,0.7700087,0.7760317,0.76353884,0.7825472,0.78756356,0.7873111,0.7880205,0.78621376,0.7881136,0.7903013,0.7223072,0.7431106,0.77921164,0.7837904,0.81840277,0.7535525,0.79698795,0.74961275,0.77417123,0.81419426,0.80128556,0.7893586,0.81718063,0.73161733,0.7331819,0.72848797,0.73145366,0.7060976,0.7035998,0.75653434,0.7416566,0.770398,0.73202574,0.7307248,0.72131634,0.7461536,0.7897471,0.77503383,0.7777224,0.7833173,0.7755892,0.76078635,0.7599152,0.77558994,0.7828845,0.7657263,0.78694856,0.7919683,0.79175305,0.7926294,0.79076684,0.7926522,0.79293156,0.72453964,0.7477708,0.7857273,0.7904857,0.8292252,0.759002,0.8042339,0.7542263,0.7817163,0.8179866,0.8046781,0.7933383,0.81926537,0.7296558,0.7360818,0.7283929,0.7336021,0.70822287,0.70653343,0.7585614,0.7412548,0.77287984,0.7381746,0.73963606,0.73058945,0.74400353,0.7945548,0.7733412,0.7811775,0.7888925,0.7737139
TC-SUGGESTIONS-001,0.7741784,0.7541009,0.7488135,0.7711343,0.74896187,0.74828386,0.7492422,0.7483118,0.7506912,0.74550086,0.7276606,0.74950963,0.76998544,0.74857414,0.75164956,0.74784416,0.74876785,0.74259424,0.7651687,0.7516176,0.7631517,0.79729056,0.73821247,0.7465106,0.76704013,0.7485851,0.71459734,0.7716955,0.7782815,0.7823094,0.80046666,0.80029285,0.7865716,0.7622354,0.76601857,0.75920683,0.7487273,0.7466559,0.71305114,0.7443471,0.7178279,0.739771,0.7585304,0.76264155,0.7431579,0.78700924,0.7646301,0.7606215,0.78208774,0.7593036,0.75887364,0.7596883,0.7590377,0.761,0.7820146,0.7633761,0.76345026,0.7646543,0.7637826,0.75863916,0.7736643,0.75945777,0.77416265,0.7999723,0.75818,0.75931925,0.7768643,0.768719,0.7335376,0.78208053,0.79020274,0.79269785,0.80308104,0.8022763,0.8003463,0.7745089,0.77491,0.7684288,0.75850505,0.75529885,0.7279129,0.7567688,0.7328035,0.74782324,0.7717546,0.7671231,0.74549717,0.7278504,0.77405524,0.75366616,0.74826133,0.771217,0.74818957,0.7477082,0.74877894,0.74790734,0.75008476,0.769549,0.74741346,0.75090367,0.74720246,0.74797636,0.7418103,0.7664598,0.75136054,0.76339346,0.79759425,0.7383055,0.74605125,0.7674116,0.74801284,0.71299374,0.7711076,0.7780681,0.78123546,0.80082417,0.80030346,0.78806734,0.7629491,0.7664726,0.7595341,0.7485082,0.74666566,0.7119067,0.74410766,0.718068,0.7402356,0.75954694,0.7485594
TC-SUGGESTIONS-002,0.7569097,0.76623386,0.73496574,0.74645215,0.74192446,0.741562,0.742051,0.7406848,0.74367994,0.7353833,0.730359,0.7456993,0.7502805,0.72561646,0.7277703,0.75084114,0.7495761,0.7556116,0.75030375,0.7272996,0.7774529,0.7857497,0.7131645,0.719713,0.7745363,0.7239176,0.7016767,0.77360845,0.77473736,0.77775073,0.8323678,0.83221316,0.7996633,0.7678984,0.7698406,0.7822927,0.77332455,0.76986045,0.7115603,0.72840357,0.7196132,0.7210548,0.7459338,0.755582,0.7489053,0.7705715,0.7769701,0.7465588,0.7574842,0.7529477,0.7528693,0.75317013,0.7522427,0.7548014,0.7617881,0.7399412,0.7407683,0.7659341,0.7635174,0.7701969,0.75995547,0.73634773,0.78786075,0.788797,0.7345549,0.7348974,0.7862307,0.74629676,0.7203255,0.7824846,0.7851608,0.78707606,0.8362353,0.8354988,0.813548,0.78051406,0.77986336,0.79193956,0.7835186,0.7800498,0.7273691,0.7402499,0.7368504,0.7327113,0.7592768,0.7660357,0.73532075,0.7310722,0.75678515,0.7659724,0.7347431,0.7466817,0.7410261,0.74086726,0.7414486,0.7401961,0.7430191,0.7501087,0.7244209,0.727148,0.75041246,0.74886894,0.75505483,0.75142515,0.7269275,0.77765685,0.78607506,0.71304893,0.7193145,0.7751476,0.72273606,0.70054936,0.7731992,0.7746968,0.77696043,0.8335978,0.83304787,0.8013409,0.7687471,0.77056944,0.7828876,0.77367216,0.7703485,0.7104826,0.7278664,0.7195864,0.7215083,0.7468622,0.74489003
TC-SUGGESTIONS-003,0.76585656,0.7360243,0.7507056,0.7878491,0.77542144,0.7735603,0.77545935,0.77284425,0.77557635,0.7573298,0.7434368,0.772779,0.79474914,0.75958645,0.758914,0.7710029,0.76785636,0.7545027,0.76847696,0.8022659,0.8339549,0.76535344,0.80211574,0.805084,0.85253954,0.7993658,0.7232962,0.72643447,0.72242343,0.7327198,0.8062421,0.80201554,0.8341883,0.8037691,0.8165602,0.82575154,0.8213273,0.8107216,0.73594344,0.76754516,0.7317886,0.7383612,0.7709894,0.75992405,0.74502516,0.76537937,0.7348651,0.751877,0.7869036,0.77226126,0.77080405,0.7721929,0.76999676,0.77254486,0.79370487,0.7565699,0.7561096,0.7678113,0.7643367,0.7516063,0.7667916,0.7958766,0.8288558,0.7590371,0.80424285,0.8031901,0.84966034,0.801787,0.7266843,0.7266752,0.7248725,0.73216885,0.80122447,0.79594135,0.83268523,0.80262613,0.81190366,0.81943727,0.8122415,0.80237037,0.73896044,0.76481986,0.73377013,0.7365803,0.7698889,0.7757955,0.7569979,0.74373573,0.76531833,0.73564947,0.750131,0.7874767,0.7744003,0.7728479,0.77463967,0.77220935,0.77470374,0.79427224,0.7587654,0.7576367,0.7702842,0.76724523,0.7536227,0.76937115,0.8022738,0.8344896,0.7648965,0.8015942,0.8050576,0.8528576,0.7991122,0.7214754,0.7254793,0.72178566,0.7320076,0.8053262,0.8014059,0.8346691,0.8036556,0.8162478,0.8253665,0.8209101,0.8105092,0.7349045,0.76702774,0.73157716,0.7387494,0.7720876,0.7715643
TC-API-INTEGRATION-001,0.84811795,0.82464665,0.8096111,0.8523182,0.83725166,0.83622515,0.8379191,0.83815527,0.8386606,0.7647026,0.7596258,0.7295807,0.7784084,0.73179126,0.7381092,0.79629785,0.7877139,0.77340543,0.7885008,0.7794338,0.757772,0.7913547,0.7679307,0.77330506,0.78469723,0.7669639,0.73351324,0.7730225,0.7711663,0.77554697,0.7629585,0.75678664,0.76022965,0.7439639,0.7662489,0.7468039,0.75605476,0.7468678,0.733476,0.7477071,0.7274308,0.7250111,0.7643168,0.78412914,0.77755594,0.8560308,0.83072674,0.8192285,0.8602073,0.84483397,0.84416044,0.8454399,0.84594715,0.8462943,0.7891104,0.7457714,0.74999505,0.8079962,0.8006553,0.785134,0.7967431,0.78668207,0.7686629,0.7945155,0.78660303,0.78503805,0.7947649,0.7855761,0.7495579,0.7830601,0.78356403,0.7853497,0.7687726,0.76257575,0.77416086,0.7559996,0.77653563,0.7550498,0.76257575,0.75384736,0.746049,0.7573653,0.74168646,0.7337596,0.7790401,0.74924326,0.76469016,0.76000357,0.8481724,0.824735,0.8096206,0.8526623,0.8371382,0.8362445,0.83807474,0.8382784,0.8386625,0.7780951,0.7311175,0.7373772,0.7961143,0.7873683,0.7731494,0.78979754,0.7790872,0.7577786,0.7914419,0.76802194,0.77265066,0.7849668,0.7663428,0.73238206,0.77280474,0.77131736,0.7748179,0.76179785,0.75532186,0.7606632,0.7436635,0.76587594,0.74606854,0.7549615,0.74619085,0.7316256,0.7470337,0.7275214,0.7244717,0.7647542,0.7268824
