,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-ExampleInstrumentedTest-001,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007
TC-ACCESS-001,0.7962495,0.7750014,0.777055,0.77482855,0.7734194,0.78279793,0.78686404,0.7683052,0.76719755,0.7737377,0.7643736,0.77849734,0.77656907,0.7793312,0.7715167,0.81990355,0.79679805,0.7871963,0.79296744,0.77191746,0.78177154,0.80088437,0.79298353,0.7736999,0.74922186,0.78786457,0.80019236,0.77803123,0.7810385,0.7773624,0.77614045,0.82783896,0.8151015,0.81314015,0.81116104,0.81055796,0.8123374,0.81490874,0.8111452,0.8149385,0.81630874,0.74247986,0.7554987,0.71350247,0.71571296,0.7382112,0.7178952,0.72490317,0.73586214,0.7162677,0.75409967,0.747582,0.7270453,0.7156284,0.7391554,0.7704787,0.76152337,0.7595453,0.769565,0.7592377,0.7708516,0.7701858,0.77392673,0.76706207,0.8127677,0.78393275,0.77430135,0.7797836,0.76037,0.77017033,0.7909913,0.7858148,0.7650622,0.73937446,0.7808994,0.7923185,0.7712571,0.7757973,0.7662203,0.76970947,0.8178563,0.8029034,0.8012427,0.79980856,0.7989961,0.8005035,0.8028136,0.7998748,0.8031577,0.8041488,0.73271924,0.749534,0.7065773,0.70684195,0.7307561,0.70971453,0.7126994,0.7300022,0.70747983,0.7463652,0.73614335,0.72110623,0.7078359,0.7307285,0.77634245,0.7807237,0.765728,0.7651534,0.77358955,0.76230246,0.77653056,0.7749937,0.777218,0.771714,0.818389,0.7945702,0.78574854,0.79070795,0.77035373,0.77939904,0.79848444,0.79145515,0.77138656,0.7470497,0.7858294,0.7981526,0.7768746,0.7787522,0.7757811,0.7729309,0.8275354,0.8148688,0.81360143,0.8112585,0.8106665,0.8123027,0.8148923,0.81136274,0.8148867,0.81605893,0.74084055,0.7552646,0.71496296,0.7141839,0.7373045,0.7159445,0.7230136,0.7335913,0.7158572,0.75356245,0.7463777,0.72638434,0.71422124,0.7372979,0.78333753,0.7652774,0.76492894,0.77241045,0.76206017,0.7766591,0.77494097,0.7777852,0.7706273,0.73148036,0.71203965,0.7510472,0.7441448,0.7251471,0.71307564,0.73538226,0.76777947,0.76613545,0.7741445,0.76524365,0.7784517,0.7779131,0.7794596,0.7727337,0.80003077,0.7781943,0.7807712,0.7747423,0.7734461,0.73559517,0.7163471,0.75103086,0.7463559,0.7273929,0.714862,0.7380756
TC-ACCESS-002,0.7890293,0.7712938,0.7819149,0.7620541,0.7712013,0.795916,0.78985786,0.794289,0.79591537,0.8008317,0.7934137,0.80514187,0.8000803,0.8057917,0.8047518,0.7964692,0.7759206,0.7703649,0.7714733,0.7530607,0.7594407,0.7798632,0.77063864,0.78960407,0.77241397,0.80595356,0.7932715,0.7750437,0.7864409,0.7653581,0.7742118,0.7901902,0.78013694,0.77745306,0.77433187,0.7737969,0.7763519,0.7783451,0.77503484,0.7783758,0.77998793,0.737823,0.7612458,0.7332363,0.7299261,0.7457689,0.7289845,0.7307326,0.7400296,0.7351052,0.76083493,0.7523195,0.73414636,0.7278284,0.74971807,0.78439415,0.7876036,0.78772956,0.7964346,0.7878686,0.79743433,0.79298383,0.80023193,0.7990183,0.7892622,0.7617868,0.75674313,0.75731134,0.7409049,0.7470764,0.76957715,0.763256,0.78094065,0.7613737,0.7986666,0.78563696,0.76794624,0.78059053,0.75434643,0.76794004,0.78036875,0.76763546,0.76537997,0.76303756,0.7621479,0.7643494,0.7661819,0.7635324,0.76667666,0.76771915,0.72836614,0.7539761,0.72554225,0.7211257,0.73814183,0.72064996,0.7175472,0.73419106,0.7250944,0.7522094,0.7403946,0.72730476,0.7185988,0.74065244,0.7797477,0.79422635,0.7915153,0.7937113,0.80062175,0.7914151,0.8032563,0.79832065,0.8035419,0.80509293,0.7946729,0.77294743,0.76854324,0.76889145,0.75107825,0.756809,0.7774539,0.7686672,0.7875427,0.77045894,0.8036485,0.7908706,0.7730826,0.78376234,0.7634609,0.7706865,0.78973806,0.7789478,0.77717996,0.77372193,0.7730965,0.7755175,0.77760726,0.7744879,0.77752614,0.778894,0.7361532,0.76084995,0.73466295,0.7284133,0.7448942,0.7269858,0.7286541,0.73776394,0.7340971,0.7601489,0.75101,0.7332335,0.726355,0.74768406,0.78654766,0.7920349,0.7941163,0.8003525,0.79161066,0.8039291,0.7987282,0.8052154,0.804157,0.7359823,0.7310169,0.75757134,0.74890274,0.73238856,0.7251767,0.7460637,0.79478514,0.7959873,0.80192304,0.79547495,0.80618083,0.8020623,0.80678654,0.8067384,0.7930186,0.77530664,0.7861211,0.7626363,0.77174354,0.7397083,0.73507965,0.75795233,0.75122046,0.7344452,0.72731096,0.74856204
TC-HOME-001,0.79100037,0.77931434,0.78410965,0.7879225,0.79173875,0.7932078,0.7718098,0.80508125,0.79836285,0.8040043,0.80056965,0.8009147,0.81693137,0.8076345,0.8053393,0.7834848,0.75507927,0.75532484,0.7515723,0.7394075,0.73917514,0.76596236,0.7573313,0.7919229,0.77122533,0.8277298,0.79446965,0.7825842,0.7880041,0.79072905,0.79486847,0.79416925,0.7856577,0.78389513,0.7818133,0.78197753,0.78343916,0.78524,0.78263843,0.7857102,0.7863555,0.7726881,0.79778165,0.765645,0.76599723,0.76734555,0.75385356,0.75606525,0.7541814,0.7326659,0.7731017,0.75235814,0.7378999,0.72366774,0.7444234,0.78587455,0.799544,0.7921793,0.8004215,0.7948777,0.7948864,0.8112678,0.8033761,0.80022705,0.7790147,0.7454678,0.7463417,0.7417251,0.7315134,0.7308793,0.7589576,0.7527547,0.78733873,0.7651055,0.82203543,0.7901423,0.77767557,0.7843326,0.78357,0.7901136,0.7871971,0.777396,0.7758199,0.7743569,0.7741641,0.7754657,0.77700937,0.7749418,0.7778301,0.77833414,0.76602906,0.7931684,0.7591859,0.75930524,0.76123893,0.7475331,0.7457925,0.75156873,0.7278246,0.7678181,0.74412084,0.7344595,0.7183811,0.7404105,0.766873,0.79191506,0.8027055,0.7964653,0.80361474,0.7981889,0.7989966,0.81504077,0.8052057,0.8044913,0.7826375,0.75335073,0.75445294,0.75002545,0.7380989,0.7372792,0.7637487,0.7562276,0.791355,0.77018195,0.8267181,0.79339695,0.7822625,0.78643364,0.7895688,0.79227066,0.7940204,0.78513294,0.7840901,0.78165895,0.78176105,0.78300136,0.7850203,0.7825366,0.78533286,0.7859451,0.77171195,0.7981343,0.76707375,0.76509255,0.7666515,0.7522733,0.7548629,0.7526279,0.73245394,0.7728492,0.7512872,0.7372283,0.7224992,0.74289066,0.76824415,0.8043555,0.7974369,0.80380714,0.799188,0.80013657,0.8166724,0.8073915,0.8049836,0.75001985,0.7282728,0.76963824,0.74838126,0.73535377,0.7205307,0.7405814,0.8061569,0.79891664,0.8049401,0.8024365,0.80200076,0.81901324,0.80839455,0.807283,0.7953267,0.7840036,0.78825176,0.7890823,0.79281616,0.7552264,0.7338848,0.7707448,0.75253797,0.7390303,0.72444075,0.7445081
TC-HOME-002,0.7614413,0.78333116,0.7552183,0.78943205,0.764749,0.76496965,0.7678253,0.789425,0.7848558,0.7934563,0.7837907,0.7862762,0.79477704,0.7962826,0.80185217,0.7632805,0.74068594,0.74650395,0.7485656,0.72566503,0.73267025,0.7550398,0.74494135,0.76581615,0.7478432,0.8015281,0.7651082,0.7867373,0.75918484,0.79230905,0.76792824,0.79436845,0.78953344,0.78631103,0.78564477,0.78553385,0.7871048,0.79005975,0.7865385,0.7891195,0.7904198,0.733412,0.7538569,0.7238413,0.73720384,0.7308841,0.72232103,0.73187935,0.73828584,0.73388743,0.7672046,0.73858285,0.7497986,0.7286793,0.74932975,0.7559879,0.78422195,0.7781518,0.7901399,0.77991706,0.781001,0.78909546,0.79186726,0.7962295,0.7581146,0.7281924,0.7360326,0.7371328,0.715516,0.7220938,0.74575835,0.7393116,0.75970995,0.73937464,0.794413,0.7592563,0.7800572,0.75410366,0.78303826,0.76194936,0.7869201,0.778972,0.7762644,0.77587,0.7753886,0.7768539,0.77934444,0.77652216,0.7790126,0.77979374,0.7259134,0.7483014,0.71717834,0.7298554,0.7234762,0.7151377,0.7195828,0.7345208,0.72620755,0.7595179,0.7293081,0.74401915,0.72265565,0.7423998,0.75966287,0.7637975,0.7869699,0.7828406,0.79282844,0.78166354,0.78433186,0.7925776,0.79377466,0.80122215,0.76240313,0.73875713,0.7459726,0.74726,0.72473484,0.73103166,0.7533648,0.7436489,0.7646955,0.74649477,0.80013716,0.763164,0.78565776,0.75707346,0.791157,0.7649483,0.794364,0.78901684,0.78666365,0.78548,0.78530085,0.7867681,0.78980947,0.78649354,0.7889114,0.78989816,0.7322499,0.7541239,0.725475,0.73624146,0.729972,0.7206273,0.7302471,0.7364261,0.73321486,0.76675755,0.7372861,0.7491198,0.7274459,0.7477303,0.7657571,0.7885052,0.7839901,0.7934358,0.7821276,0.78543603,0.7938664,0.7964026,0.8015938,0.7350066,0.7307359,0.76457626,0.73597515,0.7479875,0.72678375,0.74650866,0.79187953,0.7869412,0.79535526,0.78707457,0.78897834,0.7980337,0.7983506,0.8051174,0.767219,0.79022294,0.7605766,0.7922882,0.76695573,0.73964983,0.73613346,0.7660726,0.74072105,0.7521267,0.7312841,0.7505126
TC-TRIP-001,0.792739,0.7860002,0.78405493,0.7666964,0.76785797,0.79735565,0.79970175,0.77811563,0.7955765,0.7853361,0.7942048,0.77693015,0.78885776,0.78716516,0.7924155,0.7697296,0.74229664,0.7552631,0.7491656,0.72732246,0.72979325,0.7598434,0.75320816,0.77655214,0.75804734,0.79998046,0.7951086,0.78837174,0.7870942,0.76881206,0.76981246,0.76405495,0.7577821,0.7576047,0.7555403,0.75446856,0.75781167,0.7581851,0.7539742,0.75869846,0.75852305,0.7811568,0.7998197,0.7906749,0.79091763,0.7941817,0.7837223,0.80536354,0.77237177,0.76529324,0.7717753,0.7737328,0.7671443,0.7497128,0.7723243,0.7964943,0.7779504,0.7950204,0.785898,0.7925156,0.7760525,0.7892982,0.7875184,0.79244685,0.76965165,0.7404113,0.7553027,0.74810356,0.72750247,0.7293155,0.7606706,0.75368524,0.77999306,0.7592704,0.8005866,0.7955879,0.7873934,0.7880947,0.7679542,0.76926535,0.76172394,0.75645256,0.756313,0.7548872,0.75372267,0.7565816,0.7569167,0.75356317,0.7577671,0.75732577,0.77876616,0.7983801,0.7881444,0.78831905,0.7923329,0.78166616,0.8002885,0.7742928,0.7659881,0.77197325,0.77206457,0.76847565,0.7482308,0.77317923,0.8041142,0.79664934,0.7776742,0.79575205,0.7863115,0.79311424,0.7769928,0.7894511,0.7868304,0.79350543,0.76915157,0.74255717,0.75629914,0.74940896,0.7283536,0.7299166,0.75940734,0.75260985,0.77632076,0.75714695,0.79905576,0.79463303,0.78798616,0.7860368,0.7687515,0.76812375,0.76428115,0.75725424,0.7576482,0.75518745,0.75410295,0.757389,0.75778866,0.7538701,0.7583164,0.75767684,0.7807401,0.8003284,0.79216397,0.7904717,0.7942991,0.78279185,0.80519676,0.77201384,0.76611245,0.772086,0.773672,0.7669607,0.7492116,0.7713125,0.79773754,0.7772906,0.794989,0.78499836,0.7940467,0.77668476,0.78914505,0.78701913,0.7927846,0.7700069,0.7628454,0.7700601,0.77157736,0.76596105,0.7479905,0.7700671,0.7772316,0.79494715,0.7856115,0.7946683,0.7764561,0.7898015,0.7875402,0.79302394,0.7940173,0.7868506,0.78637516,0.7658344,0.76706505,0.772114,0.76553863,0.7684579,0.77206886,0.7668389,0.7482703,0.7711836
TC-TRIP-002,0.77841556,0.7722816,0.76967067,0.7496325,0.7505856,0.78933114,0.79759496,0.7729608,0.8022232,0.7805226,0.7945496,0.7693281,0.7822152,0.7805105,0.7907463,0.75467443,0.7372279,0.7419009,0.7374414,0.72752243,0.7299038,0.7467784,0.7386633,0.7721213,0.7501642,0.7840758,0.78092957,0.7749288,0.7730811,0.7518269,0.752701,0.75497174,0.75016433,0.74895567,0.74706507,0.745826,0.75013864,0.7489616,0.7456371,0.74988925,0.7494414,0.76703984,0.78485334,0.77400875,0.77401185,0.7833301,0.7748466,0.80655736,0.76173925,0.7553265,0.7636209,0.7663543,0.75897425,0.7484873,0.76746595,0.78973174,0.77393246,0.80204195,0.78176266,0.79429317,0.76962036,0.78375244,0.78165555,0.7916678,0.7549254,0.7360257,0.74279255,0.7373897,0.7282529,0.7300512,0.7484255,0.7395246,0.77632856,0.75205785,0.7851643,0.7816784,0.7743118,0.7742093,0.75186145,0.75276244,0.75323784,0.7486947,0.747769,0.74650156,0.7451949,0.748824,0.7479612,0.74526274,0.7491478,0.74839807,0.76510763,0.7831799,0.7722969,0.7724043,0.7822198,0.7732638,0.8020172,0.763989,0.7557887,0.76372004,0.7652217,0.76068753,0.74741185,0.7681075,0.8028207,0.78860486,0.77283597,0.802708,0.78199875,0.7941294,0.769886,0.7833482,0.78064466,0.7924622,0.7540226,0.73792076,0.7432338,0.73794675,0.7287681,0.73028684,0.7465898,0.7378748,0.77165264,0.7488724,0.78276783,0.7804096,0.7740269,0.77180314,0.7520592,0.7509843,0.75525045,0.7493828,0.7488522,0.746622,0.74532765,0.74957585,0.7484353,0.7453705,0.7493702,0.7484212,0.7667849,0.7849236,0.77544034,0.7737088,0.78379107,0.77401304,0.8065951,0.76124537,0.7557738,0.76378465,0.7661269,0.75871646,0.74773383,0.7662181,0.7958329,0.7721584,0.8018806,0.7804177,0.79481614,0.7695858,0.78277093,0.78067136,0.7914015,0.7596246,0.7531645,0.7621616,0.76453674,0.7580876,0.7469218,0.76534855,0.7728323,0.80291635,0.781599,0.7959254,0.7699399,0.7840208,0.781939,0.7921847,0.7811607,0.7743542,0.773118,0.75001746,0.75059164,0.76248217,0.75620866,0.7618747,0.76584697,0.75969356,0.74824756,0.7673485
TC-STATISTICS-001,0.7671739,0.7754619,0.7535289,0.77989346,0.76143724,0.75274736,0.7762699,0.772084,0.7717688,0.7641602,0.76344436,0.7687378,0.76480544,0.7680297,0.77366465,0.7522276,0.7393034,0.7418364,0.7384065,0.71986425,0.72366464,0.7492428,0.7332648,0.7442338,0.7222267,0.77699584,0.7688976,0.77670026,0.7559204,0.780074,0.76265615,0.77123123,0.7618224,0.7609968,0.75937265,0.7596566,0.7609529,0.76554036,0.7595763,0.7651608,0.7634574,0.741423,0.75548136,0.73941475,0.7332777,0.7413608,0.72630155,0.75547725,0.7972716,0.7873057,0.8160982,0.7990829,0.8040018,0.7887642,0.8236684,0.7441926,0.7692267,0.7671505,0.76241124,0.7613286,0.7651702,0.7617656,0.76581055,0.7711834,0.7499001,0.7324911,0.73553723,0.73154265,0.714144,0.71753263,0.7437551,0.7305985,0.7405404,0.71561503,0.77157754,0.76533955,0.7722149,0.75232327,0.7747114,0.7580641,0.7661844,0.7542219,0.75348943,0.7524123,0.7522677,0.75339633,0.75736815,0.75259745,0.75736797,0.7557023,0.7349659,0.75216955,0.73494875,0.72740203,0.73511565,0.7206958,0.74680376,0.79132146,0.77735007,0.8076842,0.7889012,0.79721224,0.7817355,0.8146343,0.769094,0.75132006,0.77158725,0.7714711,0.7655517,0.7628589,0.7689989,0.7649332,0.76771975,0.77517754,0.7519351,0.73957264,0.7431563,0.7389854,0.7206153,0.72381943,0.74874926,0.73262787,0.74408865,0.72172046,0.7765706,0.7687752,0.77755845,0.75497353,0.7807045,0.76110315,0.7725637,0.7622371,0.76208323,0.7601365,0.7602953,0.76158905,0.76610744,0.7605117,0.76583016,0.7638511,0.7414179,0.7568984,0.7416372,0.73357,0.74173224,0.7257243,0.7553041,0.79751956,0.7886121,0.8169044,0.79911566,0.8047644,0.78901374,0.82382274,0.7749979,0.7715742,0.7715278,0.7643868,0.7625904,0.768786,0.7647497,0.7685224,0.77422506,0.8002432,0.79058325,0.81907195,0.80214006,0.80777895,0.7919363,0.8255235,0.7736612,0.77328306,0.76624167,0.7659348,0.7705922,0.7679285,0.77055424,0.7766675,0.7709229,0.7791916,0.757138,0.780955,0.76188684,0.7989041,0.7891193,0.8156319,0.800825,0.8062185,0.79077554,0.82492626
TC-STATISTICS-002,0.76341546,0.79057336,0.75199485,0.790318,0.7560476,0.7522553,0.77338487,0.7629442,0.7589996,0.7684139,0.7563541,0.7601824,0.7676615,0.77015984,0.77261335,0.75366503,0.735317,0.7446824,0.74456084,0.7173546,0.7242825,0.75129104,0.7370571,0.7464559,0.7309114,0.77425456,0.76636803,0.79328036,0.7553431,0.79206073,0.75840163,0.78856605,0.784173,0.7814598,0.781008,0.7804262,0.78230625,0.7867012,0.7813037,0.7850563,0.7854191,0.7305911,0.7528652,0.72532725,0.73917735,0.7309531,0.7245885,0.7411824,0.77887565,0.77352726,0.79993284,0.7776708,0.79398257,0.7736645,0.7980806,0.7427857,0.75909436,0.75399864,0.7663413,0.75368494,0.75559866,0.76373017,0.7670001,0.76920646,0.7500439,0.7251903,0.7364233,0.73534584,0.7094003,0.71594703,0.7438197,0.7329019,0.7418283,0.7234124,0.76813567,0.76136947,0.7872027,0.75106466,0.78427875,0.75306594,0.7822971,0.7744742,0.77224934,0.7720969,0.7712327,0.772922,0.7766038,0.7723405,0.7756989,0.7756261,0.7231454,0.74797416,0.71908116,0.73201823,0.72393787,0.7175899,0.7299308,0.7731525,0.7636471,0.7907162,0.76693094,0.7866056,0.7663838,0.788821,0.7660885,0.75095993,0.76161784,0.7580627,0.7689496,0.75502646,0.75933397,0.7669878,0.76890075,0.77326316,0.75298524,0.7344129,0.74508536,0.74413675,0.71719825,0.723444,0.75019544,0.73596764,0.74552053,0.72977626,0.77285415,0.7648207,0.7926247,0.75349426,0.79181224,0.7558939,0.7891023,0.7840742,0.78219736,0.7812342,0.7806348,0.7824564,0.7867888,0.78173006,0.785287,0.78527236,0.7296169,0.7533112,0.72694993,0.7385073,0.73036957,0.7232187,0.73987144,0.777834,0.7735035,0.79994255,0.7767483,0.7939488,0.7730432,0.7970411,0.7722357,0.7617127,0.7581332,0.7683961,0.7552908,0.75987977,0.7673448,0.7703406,0.77298677,0.77910066,0.7745082,0.80063593,0.77860224,0.79550767,0.77506715,0.7982329,0.76396817,0.76024073,0.7700659,0.75859606,0.7617021,0.7703884,0.77196723,0.7751885,0.7679022,0.7954133,0.7561105,0.7921982,0.7570791,0.7797749,0.7747871,0.7987841,0.7790626,0.7956045,0.7756744,0.7986579
TC-PROFILE-001,0.86384207,0.85279274,0.82060385,0.8626269,0.82626003,0.750822,0.7508596,0.77044564,0.7682716,0.7704239,0.7668656,0.79142964,0.76661146,0.7684486,0.7688856,0.78454435,0.7630822,0.77164453,0.7609765,0.7490292,0.74459076,0.7765355,0.7646022,0.7423929,0.7211888,0.77774125,0.86267245,0.8510061,0.81987935,0.8609044,0.82518935,0.7941781,0.79024357,0.7883413,0.7875712,0.78773224,0.78902435,0.7904874,0.7882837,0.79135907,0.7913592,0.7280586,0.7395752,0.7104532,0.7243781,0.7300717,0.71370155,0.7263341,0.7326387,0.72042954,0.7596387,0.74676365,0.7292296,0.7254159,0.7529304,0.7453693,0.7674093,0.76444155,0.7683064,0.76374805,0.78683573,0.76308465,0.7658855,0.76657426,0.78240097,0.7577054,0.7650015,0.7536124,0.74331915,0.73860955,0.7712405,0.76171935,0.7408093,0.7171002,0.77459705,0.857056,0.84508467,0.8163037,0.85341173,0.82032263,0.7898208,0.7833773,0.78177524,0.7813924,0.7813312,0.7823465,0.7838084,0.78205526,0.7847807,0.78473186,0.7233811,0.73774606,0.70707935,0.7195676,0.72500515,0.70936805,0.71958506,0.7317222,0.7161853,0.7572435,0.7415155,0.7275318,0.7234977,0.7499813,0.7471725,0.74951905,0.7691376,0.767268,0.77064395,0.76514494,0.79057544,0.76539516,0.7671274,0.76902056,0.7844,0.7628711,0.77199155,0.76082313,0.7488221,0.74397326,0.77548504,0.76408875,0.7416102,0.720017,0.777078,0.8626848,0.8515694,0.81933904,0.8613573,0.8240806,0.7944567,0.7900808,0.7888371,0.78775316,0.7879288,0.7890718,0.7907162,0.78859824,0.79141843,0.79138833,0.7276075,0.7406407,0.7127034,0.72422385,0.73022896,0.71277463,0.7261591,0.73200464,0.72137344,0.76013416,0.7466644,0.72960556,0.7250443,0.7527447,0.74836886,0.7696189,0.76770914,0.7701869,0.7656332,0.79120374,0.7661321,0.76823735,0.76897097,0.7303709,0.717757,0.7580586,0.7447381,0.728357,0.72403014,0.7504804,0.77188957,0.7690947,0.77179044,0.7689966,0.79279035,0.7689049,0.76989996,0.77146244,0.86423004,0.8523382,0.8208984,0.8601426,0.8228897,0.7346376,0.7227929,0.757394,0.747761,0.7317843,0.7269882,0.754249
TC-LOGOUT-001,0.8089137,0.7970231,0.902246,0.8069339,0.9070898,0.7393809,0.7460828,0.75831056,0.7528558,0.76188666,0.7450205,0.7651279,0.7612205,0.7626781,0.748152,0.81137884,0.7915088,0.79377395,0.7909774,0.76531816,0.7675124,0.80535877,0.79496306,0.7517855,0.73905516,0.76954585,0.8090545,0.79658127,0.9020078,0.8071071,0.90632105,0.78335917,0.77623785,0.77395064,0.7729464,0.7727862,0.7742859,0.77591014,0.7728574,0.7762521,0.7772529,0.7075634,0.7176452,0.71108824,0.7219579,0.70967287,0.71067953,0.69983363,0.72078073,0.738993,0.7363001,0.71642625,0.70756996,0.694326,0.7206158,0.7327553,0.75546765,0.748833,0.7595613,0.74212474,0.7608258,0.7582456,0.7597072,0.74672484,0.8069271,0.7833519,0.7867329,0.7833568,0.75882816,0.76103425,0.79905695,0.7912677,0.74803025,0.7339803,0.76442826,0.8020512,0.79053843,0.89406073,0.7991514,0.9012864,0.7761575,0.76808786,0.76609284,0.76543415,0.76509494,0.76636624,0.7678384,0.76554394,0.76845855,0.769115,0.70118433,0.7138976,0.7062105,0.71521497,0.704229,0.70466685,0.69115734,0.71740717,0.73281807,0.7316481,0.7100102,0.7050275,0.69031775,0.71573496,0.74159616,0.73807824,0.75721776,0.75222796,0.76228046,0.7435511,0.7645434,0.76027495,0.7618847,0.74845046,0.81145906,0.79109126,0.7942941,0.79086185,0.76567703,0.76713645,0.8045633,0.79431635,0.75156844,0.73834985,0.768672,0.8089942,0.79720765,0.90241843,0.8074918,0.9060031,0.78352606,0.77643913,0.77464026,0.7732778,0.77313787,0.77448285,0.77626646,0.7733731,0.77657795,0.77730906,0.7067571,0.71877015,0.71337426,0.7218877,0.70982295,0.70975184,0.699362,0.7200573,0.7398234,0.7365063,0.7160367,0.70788324,0.6937825,0.71993923,0.74383175,0.75751835,0.7522124,0.7615252,0.7436335,0.7647196,0.76064336,0.76233804,0.7482603,0.7187992,0.73671705,0.7346105,0.714775,0.7074316,0.6934686,0.71870995,0.7589904,0.75319964,0.76293063,0.74641734,0.7658032,0.7629262,0.76381373,0.7500917,0.80959445,0.7969959,0.90288496,0.80514973,0.9049893,0.7218138,0.74009204,0.733542,0.71602917,0.7090569,0.69427943,0.72082067
