,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-ExampleUnitTest-1,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1
TC-PuntinaMappa-001,0.7835748,0.76005447,0.7391211,0.76622057,0.7575641,0.7559879,0.75670385,0.75689703,0.75891596,0.7837846,0.78028023,0.80410576,0.8147186,0.7369156,0.7466809,0.79627526,0.7923811,0.78110105,0.7606901,0.7912507,0.7968923,0.7562107,0.7914395,0.78235185,0.7997304,0.77889043,0.7166187,0.733187,0.73153234,0.74039704,0.7795314,0.77736896,0.80820054,0.7758611,0.7969283,0.8192239,0.80720794,0.79704916,0.7573407,0.77595395,0.75822973,0.7500246,0.7995821,0.804253,0.7984854,0.79886764,0.7692665,0.74995923,0.7783123,0.76765704,0.7663736,0.7671864,0.7673128,0.7691689,0.82618237,0.7503379,0.75837666,0.8089033,0.8047458,0.7933023,0.77152485,0.7961642,0.80621237,0.762338,0.8097577,0.7947492,0.8097601,0.79885674,0.73305213,0.74397576,0.74532527,0.7519349,0.7866094,0.78374255,0.82370746,0.78792983,0.8080847,0.8268676,0.81222874,0.8030695,0.7715819,0.78737026,0.77230537,0.7603077,0.8137546,0.8189235,0.7831568,0.7800375,0.78267705,0.7587812,0.73791003,0.76608944,0.75644493,0.755192,0.75593036,0.75610924,0.75803375,0.812711,0.7355926,0.7460165,0.79592663,0.7919295,0.7807645,0.7614754,0.7908889,0.79691356,0.7562753,0.79125226,0.7818656,0.8003149,0.77843505,0.7139839,0.7316154,0.7309612,0.73866665,0.77829957,0.7769362,0.80916,0.7755949,0.79686725,0.8193522,0.8068007,0.7968062,0.75606686,0.774803,0.75818276,0.7502365,0.8004356,0.8021166
TC-PuntinaMappa-002,0.7817937,0.75728285,0.7422625,0.7826886,0.7744073,0.7734952,0.7733079,0.775509,0.7757139,0.7822614,0.7826631,0.799847,0.81049013,0.7435435,0.75730175,0.7978009,0.7909783,0.7765277,0.75374496,0.7913238,0.7994671,0.76822925,0.7835701,0.7806692,0.8017619,0.7754669,0.7325881,0.7584664,0.7443916,0.7495123,0.775744,0.77369726,0.8039838,0.7775948,0.79880214,0.8176093,0.8101995,0.7992613,0.7578439,0.80537224,0.7631538,0.7477487,0.8183756,0.79558426,0.7949228,0.7897209,0.7611805,0.7474692,0.7872956,0.7780404,0.77733105,0.7773749,0.77906525,0.77942824,0.8166846,0.7500805,0.76287293,0.80298066,0.7965214,0.7819492,0.7590858,0.7902202,0.80278087,0.76895666,0.7955812,0.7874851,0.80576813,0.78807306,0.7429817,0.7616619,0.7506304,0.75412345,0.7783712,0.7752317,0.8131909,0.7838685,0.80423784,0.81929517,0.8080461,0.7979909,0.76777923,0.81045127,0.7725531,0.75485355,0.8255464,0.80742884,0.7815146,0.7823578,0.7808778,0.75612235,0.74110043,0.78249896,0.77326393,0.7726068,0.77251256,0.77460176,0.77479017,0.80876386,0.7422563,0.75688213,0.7975921,0.7905092,0.7761276,0.75441754,0.7906838,0.7993444,0.76859426,0.7832396,0.7801993,0.80212414,0.7750087,0.7305136,0.757285,0.7440191,0.7482985,0.7744491,0.77314967,0.8050176,0.77732503,0.7984468,0.8174458,0.80967516,0.7988746,0.7565008,0.8047244,0.762972,0.74768865,0.8194452,0.7976037
TC-PuntinaMappa-003,0.77249455,0.7883605,0.7542199,0.75722504,0.7633287,0.76230437,0.7626605,0.7644682,0.7639751,0.7636117,0.7656626,0.7811514,0.79588485,0.720971,0.72982097,0.77768415,0.7778342,0.7863728,0.74691814,0.77245015,0.77403486,0.7450838,0.76201797,0.75537026,0.77513254,0.75624436,0.69750196,0.7230749,0.7195997,0.72183734,0.7545048,0.7528121,0.7789781,0.7481413,0.77087,0.7855732,0.7746619,0.7628879,0.73573714,0.76368773,0.75580835,0.74036795,0.7794417,0.7781359,0.77967787,0.78145945,0.7915484,0.7598041,0.76335025,0.76946217,0.76866996,0.76916444,0.77055585,0.7703851,0.80371547,0.7303095,0.7373721,0.78647125,0.7857924,0.79371494,0.75242865,0.77367103,0.779801,0.74794734,0.7753077,0.7644627,0.7807853,0.7712201,0.71200895,0.73001766,0.72910357,0.7302087,0.7577571,0.755525,0.78974986,0.7566644,0.7784792,0.7898932,0.77607673,0.7645316,0.7476449,0.7719133,0.7669414,0.7476655,0.78907025,0.792138,0.762931,0.7657901,0.77214545,0.78762925,0.75331604,0.75743645,0.7625184,0.7617455,0.76219165,0.76390415,0.7634152,0.79485285,0.7200515,0.7293408,0.77774775,0.77778774,0.7862469,0.74786633,0.77199996,0.77425814,0.74558234,0.76198155,0.7550875,0.7756958,0.75570565,0.6959488,0.7222121,0.7194687,0.7209217,0.7536504,0.75247014,0.77993417,0.74804646,0.77078325,0.7859309,0.7744607,0.7625818,0.73452735,0.76302886,0.7556956,0.7405312,0.7804769,0.77978647
TC-Suggerimento-001,0.7685785,0.74816597,0.7366701,0.7519635,0.7403139,0.73816276,0.7399525,0.7371188,0.74043995,0.7823006,0.77620506,0.8049862,0.8134409,0.744595,0.7491875,0.7841276,0.79158103,0.7763205,0.7590705,0.77528006,0.7705987,0.75690186,0.80245525,0.78555095,0.77998555,0.7829609,0.72385275,0.72045374,0.71836317,0.7314319,0.7448875,0.7420858,0.79143965,0.7623984,0.7689202,0.7857492,0.77316487,0.7640949,0.7661205,0.7849567,0.7589255,0.76941323,0.79313934,0.7962959,0.7884431,0.78092253,0.75516045,0.7465395,0.761843,0.7466818,0.74483484,0.746614,0.7442845,0.747139,0.8197865,0.75252736,0.75460356,0.79182667,0.7974432,0.78238446,0.7661098,0.7751385,0.7748729,0.75651896,0.8131965,0.7930331,0.78661704,0.79726183,0.7342315,0.729095,0.7301033,0.7399925,0.7491751,0.7460798,0.80178183,0.7710317,0.7763152,0.79137444,0.77666944,0.7690211,0.77600825,0.7906499,0.7694454,0.7719043,0.8008592,0.8163981,0.7824801,0.7763273,0.76767015,0.7470861,0.7356219,0.75161415,0.7387613,0.73708934,0.7387481,0.7360001,0.7391742,0.81133974,0.74312764,0.74830616,0.7832401,0.79076785,0.77582794,0.75969875,0.77488357,0.7703499,0.75645834,0.80231255,0.78553694,0.7810347,0.7825518,0.7209412,0.71876436,0.71781844,0.7297762,0.7430267,0.7412791,0.7921173,0.7620514,0.7687991,0.7859756,0.77300876,0.76393026,0.76517355,0.7836462,0.75933295,0.77011484,0.79407984,0.8030175
TC-Suggerimento-002,0.767883,0.7460963,0.73705375,0.76919,0.7570945,0.7561615,0.7566335,0.7561822,0.7577943,0.78008324,0.7798178,0.7987995,0.81079,0.75184166,0.76112115,0.7893172,0.7922005,0.7757994,0.7500179,0.7711152,0.7711176,0.7680841,0.7889005,0.7797228,0.7763134,0.77734166,0.7374773,0.7423667,0.72799796,0.73754054,0.7444538,0.7424817,0.78473437,0.76115996,0.7639029,0.78323996,0.775416,0.76520085,0.7597698,0.8087952,0.76186013,0.7636577,0.80882144,0.78969955,0.7882569,0.77557933,0.7497415,0.74410474,0.77464,0.75953543,0.75873476,0.7594073,0.7589634,0.76042736,0.8135565,0.7552614,0.7630425,0.79246044,0.7939215,0.7776859,0.7539708,0.76706266,0.7718008,0.76424456,0.79655427,0.78423977,0.7797276,0.7873405,0.7438886,0.74644434,0.73510134,0.7413858,0.7456738,0.7432032,0.79175586,0.76646054,0.76823246,0.7855795,0.77497715,0.76561296,0.76753783,0.8105659,0.7693698,0.7637373,0.8121387,0.8055279,0.7804222,0.77975905,0.76691175,0.74501055,0.7361133,0.7688201,0.7556562,0.75508523,0.7555282,0.7550666,0.7566136,0.80881095,0.7503036,0.7605587,0.78866893,0.7914314,0.7751763,0.75056756,0.77046454,0.77073956,0.7679047,0.78882337,0.7794519,0.7772691,0.7768305,0.734992,0.7409819,0.7275611,0.73624444,0.74287957,0.7416437,0.7853836,0.7607774,0.76345783,0.78329015,0.775036,0.76489675,0.758618,0.80788994,0.76211387,0.7640495,0.81003904,0.7963551
TC-Suggerimento-003,0.76015586,0.779804,0.75421417,0.748096,0.751902,0.75030124,0.7510124,0.75054085,0.7514097,0.76737493,0.7702634,0.77907896,0.79551804,0.7296429,0.7367902,0.7702821,0.78124464,0.78634095,0.74413294,0.7550168,0.748933,0.7456602,0.76601934,0.75511914,0.7517829,0.759352,0.70538974,0.71270025,0.7108736,0.7163937,0.72806334,0.7263905,0.7615831,0.7355615,0.7392044,0.7542695,0.7451923,0.7333818,0.73652035,0.76412517,0.7524207,0.7507738,0.7690636,0.78044593,0.78300995,0.77109814,0.784621,0.7629445,0.75659806,0.7583369,0.75706136,0.7579209,0.75747055,0.7583734,0.8016096,0.7378123,0.74179685,0.7788639,0.787104,0.7920707,0.7502008,0.7550484,0.75396216,0.7454367,0.77738774,0.7640379,0.7583515,0.77411973,0.7181333,0.7220973,0.72275126,0.7255665,0.7308507,0.72943914,0.7722083,0.7447741,0.7472464,0.76111174,0.75017166,0.73840225,0.74791384,0.77117354,0.7631289,0.75294816,0.7774426,0.7913726,0.7676659,0.7708111,0.7597844,0.7791173,0.7534503,0.7481041,0.7507105,0.74951446,0.7502005,0.74970907,0.7505479,0.7941836,0.728433,0.73596096,0.7699311,0.7807686,0.78592706,0.7449145,0.75446653,0.7488236,0.74560004,0.76615036,0.7550235,0.7526464,0.7586226,0.70343673,0.7116271,0.71072495,0.71537685,0.7267887,0.7256169,0.761959,0.73540455,0.7388915,0.7548011,0.7451842,0.7330262,0.73539037,0.7631545,0.75263005,0.75120646,0.7701307,0.7774469
TC-Association-001,0.76507413,0.74577314,0.72644705,0.7477759,0.74384254,0.7430184,0.74540436,0.7437331,0.7453257,0.7723669,0.7736461,0.79311466,0.7808543,0.73892564,0.7414769,0.7755467,0.7767424,0.7663294,0.75429165,0.7830238,0.78402483,0.74070746,0.7778282,0.77312994,0.7823403,0.7651182,0.707368,0.7021982,0.7004591,0.71083295,0.7596486,0.757117,0.7825299,0.762888,0.77987957,0.7770284,0.769209,0.7605368,0.7445181,0.7684596,0.7441296,0.7438625,0.78346175,0.7855304,0.78566945,0.77462244,0.7495023,0.7336403,0.7558066,0.7490641,0.7483973,0.7504833,0.74894,0.75052226,0.7893133,0.74600434,0.74669015,0.7818746,0.7821072,0.7712884,0.76015115,0.7823549,0.7881886,0.7413737,0.7888534,0.77949923,0.7873346,0.77706265,0.71904176,0.71009916,0.7105683,0.71744466,0.7615147,0.7576328,0.79162496,0.7689656,0.7847123,0.7804998,0.770527,0.76210237,0.75405616,0.7740228,0.7514445,0.7463587,0.79155594,0.8032426,0.7719571,0.7733245,0.76448536,0.74497736,0.72562546,0.747743,0.74285805,0.7422886,0.74460393,0.74301857,0.7445209,0.7790408,0.73812973,0.74131167,0.77561975,0.7766378,0.76619124,0.7551711,0.78288555,0.78428835,0.7409094,0.77744734,0.77292496,0.78293616,0.7646338,0.7055634,0.7013334,0.7001732,0.70963484,0.75822604,0.75646925,0.7828409,0.76265186,0.7796377,0.77674353,0.7684287,0.7601844,0.7433527,0.7674992,0.744098,0.7440874,0.7843183,0.79131484
TC-Association-002,0.74050665,0.7272733,0.7204637,0.7331573,0.73598075,0.7352568,0.7374991,0.7355137,0.7367353,0.74752,0.75358945,0.7726812,0.74953914,0.7318876,0.72471017,0.7502506,0.7524027,0.7435484,0.7332387,0.7640307,0.7597473,0.7261617,0.7493821,0.75438297,0.7640183,0.7394368,0.68367904,0.69032216,0.6861021,0.6924158,0.746892,0.7454456,0.7512951,0.7439182,0.766292,0.7421106,0.7398852,0.73175716,0.71668625,0.7426107,0.76709855,0.7416517,0.7635093,0.75841784,0.7635579,0.7474984,0.72932255,0.7250698,0.7378149,0.73878795,0.7382956,0.7401893,0.738356,0.739645,0.75745046,0.73748285,0.72848415,0.7555752,0.75633687,0.7475818,0.73661363,0.7621406,0.76286024,0.7253516,0.75788784,0.75923467,0.767166,0.7492551,0.69524276,0.6957079,0.6940841,0.6979883,0.7463815,0.74383235,0.7587094,0.7482629,0.7689456,0.74477345,0.7402047,0.7317772,0.72616243,0.7467979,0.7737101,0.74262697,0.77046925,0.78033143,0.74720895,0.75327045,0.74027675,0.72667,0.719939,0.7333607,0.735119,0.7345896,0.73679996,0.73493946,0.7361014,0.7481362,0.7310525,0.7246256,0.750281,0.7521696,0.7431815,0.73411167,0.7637944,0.7599969,0.72656,0.7489644,0.7538941,0.76451933,0.7387246,0.68227506,0.6897532,0.6860165,0.69159216,0.7463151,0.7450547,0.7515571,0.7437339,0.7658712,0.74146956,0.7388919,0.73131317,0.71538824,0.7417275,0.76693666,0.7416252,0.7644275,0.77119565
TC-POSIZIONE-001,0.8090668,0.77402496,0.7838138,0.81343865,0.78554827,0.78617585,0.7887285,0.7865385,0.7881702,0.7935444,0.77437013,0.8035632,0.8246081,0.7708589,0.7784929,0.814196,0.8120774,0.80297303,0.78737396,0.806946,0.7940988,0.7936766,0.83163834,0.82066715,0.81421167,0.8062132,0.77091134,0.77036434,0.76414055,0.7786073,0.78960615,0.7872148,0.80950844,0.79425013,0.80446804,0.7880715,0.7811011,0.7730815,0.7646831,0.7931007,0.75899905,0.77208436,0.79648876,0.809849,0.7881272,0.82000864,0.7821777,0.79521817,0.8244619,0.79445755,0.79491246,0.7971292,0.79534835,0.7967613,0.8327986,0.78483677,0.7879987,0.8242037,0.82253325,0.8120096,0.7990308,0.81364334,0.80437595,0.79618716,0.84614354,0.8327638,0.826223,0.8237203,0.78460693,0.78227746,0.7795863,0.7890679,0.7951016,0.7929454,0.82398474,0.8074323,0.8150774,0.79804206,0.79091424,0.783219,0.77959895,0.8031071,0.77395517,0.78124523,0.80980533,0.8224257,0.79352874,0.7743345,0.80806386,0.7730966,0.7831208,0.8127694,0.7840089,0.78477407,0.78729504,0.78526634,0.7866682,0.8228148,0.76917005,0.77735233,0.81296366,0.8110876,0.8020247,0.78801644,0.80642945,0.79384536,0.79264694,0.83133584,0.8211094,0.8154941,0.80567765,0.76828027,0.7685041,0.76311094,0.7768587,0.7878009,0.78665185,0.81038487,0.7938956,0.80444044,0.78844905,0.78081113,0.77308583,0.76381797,0.792046,0.7593315,0.7727312,0.7971443,0.8025594
TC-POSIZIONE-002,0.78824294,0.80563587,0.8177006,0.8185625,0.8151897,0.8156293,0.8166263,0.81606424,0.8159301,0.7658378,0.75673175,0.77161276,0.7937346,0.73960024,0.7517045,0.77481973,0.7792337,0.7967892,0.7692466,0.78860426,0.76035696,0.7639017,0.7967046,0.79123986,0.78433144,0.7765939,0.73359036,0.7412996,0.7341955,0.7435535,0.751122,0.7492512,0.7700645,0.7600023,0.7752813,0.74171543,0.7387098,0.7230227,0.7305046,0.7566375,0.74751216,0.7512822,0.75998384,0.78385115,0.77316076,0.80026716,0.8124652,0.8294953,0.8298907,0.825951,0.82637024,0.8271972,0.8268278,0.82672954,0.80332184,0.7552666,0.7625793,0.7875495,0.7913264,0.80672383,0.7810252,0.79736805,0.77302706,0.7688387,0.8133395,0.8049319,0.796792,0.795865,0.7510962,0.7558111,0.7517165,0.7572262,0.75653416,0.7548258,0.78598195,0.7746433,0.7866739,0.75340176,0.74971163,0.73428607,0.7458467,0.7678852,0.76387024,0.76016414,0.7748131,0.7925592,0.7658838,0.7570582,0.78801656,0.80525404,0.8175434,0.8182714,0.8142401,0.81482923,0.8158425,0.81530577,0.81510556,0.79264367,0.7381109,0.75064546,0.7739505,0.7785412,0.7959409,0.77016413,0.7880644,0.7602907,0.7633775,0.7967196,0.7913766,0.7853597,0.7759408,0.73175716,0.74003977,0.7335774,0.7422983,0.74955815,0.7482151,0.77049166,0.75986856,0.77508473,0.74196196,0.7383915,0.7227385,0.7291947,0.75563145,0.74784905,0.7514681,0.76070565,0.77112854
