,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-ExampleInstrumentedTest-001,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007
TC-Accesso-001,0.76931787,0.7458784,0.7433797,0.7348815,0.72720003,0.7975591,0.78714216,0.7951813,0.7908351,0.7979865,0.78590393,0.7827397,0.8095001,0.8029108,0.79235023,0.798175,0.7731945,0.7645562,0.7643869,0.755102,0.7611029,0.77627766,0.7732643,0.7920389,0.76929295,0.7890235,0.774065,0.7502214,0.7483921,0.7390765,0.73084915,0.77240074,0.76323915,0.76261187,0.75986814,0.75811726,0.76201737,0.7624271,0.75975275,0.76487035,0.76412976,0.7493378,0.7618947,0.7239051,0.7207987,0.7464457,0.72343713,0.7302278,0.73051065,0.71368146,0.7395662,0.73833793,0.71889657,0.71017164,0.72584677,0.7869847,0.787694,0.78248256,0.79286945,0.7808372,0.7753702,0.8025247,0.7973705,0.7879215,0.78916156,0.7583078,0.7512529,0.7503871,0.74239296,0.74797183,0.7653749,0.7643794,0.7832079,0.75946593,0.7821362,0.76690406,0.7437618,0.7438097,0.7290688,0.7246881,0.7629999,0.75265354,0.7519962,0.7499027,0.7481179,0.7514289,0.7519585,0.7497533,0.7542429,0.7535629,0.74001324,0.75528103,0.7166844,0.7118624,0.7388542,0.71509635,0.717413,0.7259622,0.7058527,0.73257,0.72813237,0.7135216,0.70259213,0.71896756,0.7771049,0.7959291,0.79211265,0.788206,0.7977003,0.78393716,0.7801209,0.80739665,0.8008198,0.7922176,0.7963711,0.7696201,0.7620994,0.7611317,0.7526419,0.7577239,0.7734893,0.7711979,0.7894598,0.7669008,0.7867037,0.77108073,0.7476671,0.7451434,0.7364642,0.72712415,0.77136093,0.76191676,0.76188165,0.75874054,0.7569807,0.76065284,0.7611789,0.7586702,0.7634324,0.76262516,0.7478264,0.76120603,0.7248157,0.71892095,0.7454057,0.7213425,0.72808534,0.72754085,0.71229726,0.738507,0.73675406,0.7171917,0.70822906,0.7233919,0.78290766,0.7915187,0.787994,0.7963824,0.783751,0.78036654,0.8076581,0.80082375,0.7912509,0.724946,0.70806575,0.73546076,0.7337171,0.71549046,0.70638525,0.72093797,0.7936269,0.7890616,0.79761356,0.7861005,0.7815439,0.8096152,0.80209565,0.79272175,0.77194047,0.74864554,0.74659747,0.7350167,0.72746456,0.7287005,0.71248555,0.73635024,0.736137,0.717909,0.70817316,0.7237208
TC-Accesso-002,0.8029032,0.79485804,0.7832502,0.7802365,0.76657903,0.7722111,0.77620316,0.80062443,0.7995587,0.8019041,0.7901859,0.80755484,0.8147949,0.8069258,0.8001187,0.80659616,0.79273987,0.78523284,0.77986664,0.7814719,0.7825299,0.79488605,0.79253715,0.758584,0.7385152,0.76596886,0.8042867,0.79574233,0.7846086,0.7810359,0.76751226,0.8517302,0.8493451,0.8474302,0.8465381,0.8461207,0.8487209,0.84960496,0.8462022,0.8486737,0.8495635,0.765638,0.77719486,0.74616206,0.7517605,0.7668607,0.75808865,0.7554153,0.7518889,0.73335993,0.7600297,0.7539221,0.7437063,0.7316206,0.75440216,0.7675225,0.79712844,0.7954823,0.79986763,0.7873881,0.8030158,0.8115901,0.8038832,0.79971683,0.8040602,0.78648543,0.78069997,0.7743275,0.77638113,0.7769485,0.79058576,0.7894387,0.7594193,0.73856825,0.7648422,0.8021177,0.7922791,0.78415674,0.7773543,0.76439613,0.84551615,0.843268,0.8418574,0.84125745,0.8409425,0.84292775,0.8436266,0.84118193,0.8431327,0.8440041,0.76121396,0.7757823,0.74316543,0.7466735,0.7633377,0.7535102,0.74919236,0.751775,0.7306689,0.75859785,0.75021476,0.743262,0.7291285,0.75231624,0.77511287,0.7706498,0.7999718,0.7989006,0.80240774,0.7893391,0.80676425,0.81405824,0.8061149,0.8008697,0.80638194,0.7920362,0.7853651,0.7793653,0.78127474,0.7815886,0.7939736,0.79196036,0.75762033,0.73667496,0.7647695,0.8034899,0.79502046,0.78349775,0.7804266,0.76548916,0.8518113,0.8494644,0.8480948,0.8468026,0.84648335,0.8488399,0.8496605,0.84652925,0.8489223,0.8497522,0.7645509,0.7773919,0.7476921,0.7508787,0.7663815,0.7565876,0.7544266,0.75058675,0.7333569,0.76006854,0.75341,0.74344015,0.7308179,0.7536463,0.77398366,0.7989974,0.79843616,0.8013576,0.7891998,0.8065272,0.81425774,0.8059218,0.80012554,0.7493959,0.7311113,0.7588464,0.7522418,0.743418,0.7306185,0.7522878,0.79949915,0.79783183,0.8017783,0.79029197,0.8062546,0.81498504,0.80637485,0.80076826,0.80354846,0.7948315,0.78439164,0.77852774,0.7646384,0.75159496,0.733758,0.75692964,0.75234115,0.74406177,0.73029274,0.7534729
TC-Login-001,0.8262168,0.8095844,0.8384529,0.80239606,0.8261461,0.79651266,0.7963079,0.77481127,0.7725628,0.78153235,0.77102286,0.7872329,0.78353655,0.7865429,0.769006,0.8804673,0.8766929,0.83705765,0.84342664,0.8539727,0.86264193,0.846761,0.8464792,0.79670894,0.76368046,0.78509325,0.82882214,0.8116474,0.8412296,0.8038385,0.8279141,0.823123,0.8187885,0.81718063,0.814984,0.8166309,0.81862134,0.81894314,0.815601,0.82028943,0.8189922,0.7545187,0.7643342,0.7348841,0.73737705,0.7449123,0.7283215,0.7451998,0.7642193,0.75181043,0.7736148,0.76900214,0.7537606,0.75189865,0.76347756,0.7877992,0.7704114,0.767928,0.7792254,0.76814055,0.7818759,0.7801914,0.78320587,0.76673305,0.87510693,0.8684616,0.82724607,0.83308804,0.8442695,0.8527561,0.8397948,0.84191275,0.79055184,0.75743943,0.7802222,0.82291806,0.80624294,0.83678377,0.7952195,0.82386005,0.8162339,0.80983555,0.8084924,0.8067722,0.80795753,0.8095693,0.80995554,0.8073815,0.8113198,0.8101296,0.74709094,0.7603871,0.72971725,0.7313584,0.73926353,0.7226352,0.7358471,0.7601962,0.74477303,0.7696497,0.7614373,0.7496578,0.7474222,0.7580652,0.7900184,0.7953686,0.77287674,0.7713297,0.7819061,0.76955837,0.78618944,0.78256583,0.78509915,0.76938635,0.8800225,0.87620753,0.8367642,0.8425083,0.8535856,0.8616582,0.845302,0.845551,0.7952234,0.7618753,0.7832717,0.827927,0.8108463,0.8401017,0.8032824,0.82575893,0.8229843,0.8184547,0.8173882,0.81501603,0.81654143,0.8184564,0.8188199,0.815699,0.82006335,0.8187204,0.7534045,0.76417273,0.7361779,0.73651326,0.74437773,0.7267113,0.7438741,0.7628327,0.75188124,0.7735583,0.7686341,0.7533956,0.751033,0.7620746,0.7935436,0.7723733,0.7710464,0.7806276,0.76952106,0.7864511,0.78264123,0.78567564,0.76870733,0.7608958,0.7483096,0.7715086,0.7665111,0.75237787,0.7501894,0.76066166,0.77483654,0.77228045,0.78243065,0.772221,0.7878314,0.7853402,0.78753704,0.7707062,0.829288,0.8126035,0.8415261,0.8022349,0.82615525,0.7649448,0.7524863,0.77164125,0.7687725,0.75480914,0.75214577,0.763417
TC-Registration-001,0.81084716,0.8079942,0.783499,0.79471445,0.7720289,0.7981034,0.7981496,0.8130492,0.8084995,0.820981,0.8044199,0.8121158,0.8255156,0.8254657,0.8105955,0.809677,0.8085675,0.7992981,0.7887537,0.81248367,0.80650383,0.79988724,0.79853666,0.7884692,0.7645799,0.78272146,0.8129047,0.8095762,0.78567463,0.7961128,0.7737034,0.8708513,0.8704175,0.8692509,0.8676286,0.8692465,0.8710972,0.8720596,0.868573,0.87084115,0.8715249,0.7855525,0.79297566,0.764984,0.7714424,0.77330685,0.76252484,0.77319396,0.780545,0.76301706,0.78475875,0.773106,0.7709828,0.7637907,0.77805895,0.7933452,0.80976146,0.80485153,0.8191103,0.802115,0.80851984,0.82271254,0.82303965,0.8093284,0.8071853,0.8030236,0.7943764,0.78266746,0.8066816,0.800314,0.7960618,0.79589975,0.7879267,0.7640021,0.7821698,0.8105408,0.8062412,0.7849623,0.79169464,0.7701305,0.86471206,0.8643086,0.86334646,0.862119,0.86347294,0.86488926,0.86578655,0.86310935,0.8650632,0.86555934,0.78127015,0.7925509,0.76217234,0.76662624,0.76955944,0.7582661,0.76686895,0.7804974,0.7598882,0.7827846,0.76927304,0.770327,0.7615999,0.7758604,0.79668975,0.7967931,0.8120047,0.8077482,0.82146484,0.8034164,0.8113244,0.8247525,0.8246972,0.811324,0.80938286,0.80779916,0.79935384,0.7884205,0.81204015,0.8057412,0.7988981,0.7980425,0.78774434,0.76308787,0.78180337,0.8121444,0.80889016,0.7845133,0.7955642,0.7714879,0.8708267,0.87081337,0.87014997,0.86811674,0.86968315,0.87139136,0.8723675,0.869117,0.8713268,0.87177825,0.78462315,0.79357433,0.7667086,0.77059513,0.7726255,0.76083374,0.7720536,0.77939814,0.7632171,0.7848162,0.77265096,0.77055883,0.76286554,0.776854,0.79603946,0.8110174,0.80716014,0.82033205,0.80333596,0.81119525,0.8246646,0.82461375,0.8103652,0.7769556,0.75943077,0.7824181,0.7702847,0.76936376,0.7615988,0.775125,0.8119378,0.8069881,0.82113737,0.8048075,0.8114313,0.8258921,0.82538676,0.8114064,0.81240267,0.8089334,0.7854944,0.7938069,0.77056193,0.78056794,0.7636744,0.7818407,0.7717923,0.7713758,0.7629265,0.7774526
TC-Home-001,0.8092234,0.80024385,0.8060282,0.78359354,0.78928363,0.7953639,0.7870702,0.834888,0.8296696,0.83579576,0.8300022,0.83645755,0.84020066,0.8414508,0.8375336,0.80796343,0.78663445,0.7884263,0.7834939,0.7729529,0.7743778,0.7950004,0.7859878,0.7977767,0.77148753,0.80861664,0.8120343,0.802238,0.8089726,0.7852962,0.79130054,0.80423504,0.7967578,0.79457825,0.79253316,0.79290724,0.79545665,0.7971707,0.79314,0.7971011,0.79775816,0.7590165,0.7804793,0.74512386,0.7497927,0.7583653,0.743024,0.7497552,0.76481634,0.75039697,0.7709354,0.7645049,0.7545924,0.7472291,0.765646,0.78877,0.8312595,0.82484484,0.8332107,0.8260246,0.83162916,0.835636,0.8381802,0.83325815,0.8050218,0.77829915,0.7802228,0.77451247,0.76539564,0.7665362,0.78875566,0.7830666,0.7941673,0.765782,0.805071,0.8078555,0.7980137,0.80661273,0.7800226,0.7881799,0.79834324,0.79020834,0.78833765,0.7868243,0.78684443,0.7889142,0.79040754,0.78727883,0.79085064,0.79121816,0.75352764,0.7768327,0.7401643,0.74413234,0.7532403,0.73754895,0.74009436,0.7625404,0.7446408,0.76664627,0.757791,0.75201416,0.7428129,0.76123726,0.7832949,0.79401016,0.8330819,0.8285725,0.83590305,0.82831675,0.8352902,0.83903956,0.84009945,0.83787197,0.8074248,0.7855314,0.78834075,0.78285855,0.7727115,0.77358747,0.79363006,0.7851805,0.79726136,0.77050054,0.8077662,0.81120443,0.8020367,0.8079126,0.7851467,0.7891888,0.8040559,0.7965195,0.7950401,0.79257846,0.79289174,0.7952264,0.7970519,0.79327494,0.79695964,0.79741234,0.7578224,0.7812884,0.7471783,0.74895585,0.7579783,0.74143225,0.748589,0.7635282,0.750581,0.7711624,0.7642622,0.75439644,0.74672437,0.764361,0.78502595,0.8346228,0.82951355,0.8363824,0.8286756,0.8357991,0.83993983,0.84224,0.83740795,0.7617769,0.7470536,0.7685115,0.7619736,0.75349265,0.7453736,0.76284444,0.8354256,0.8298368,0.83673537,0.8315406,0.83715105,0.84170675,0.8425684,0.8389491,0.81154335,0.80147386,0.80828357,0.7829736,0.7884375,0.7647621,0.7501602,0.76785326,0.762817,0.75469995,0.7463805,0.76441026
TC-Course-001,0.8045383,0.7905258,0.7960467,0.7765639,0.7792313,0.81442684,0.8267675,0.8409399,0.8420554,0.8461026,0.8268037,0.8158393,0.85566497,0.8571179,0.83633,0.7967087,0.7828934,0.78269094,0.7763525,0.7711679,0.7716512,0.78777075,0.7809903,0.79620457,0.7686749,0.80529106,0.8069441,0.7924647,0.79895556,0.77824193,0.78111243,0.80125034,0.79463434,0.7944089,0.79133403,0.7913016,0.79376554,0.7942047,0.7915241,0.7963992,0.7949773,0.80605924,0.82921976,0.79849684,0.8002993,0.8078484,0.79366064,0.8108272,0.7811695,0.77083373,0.7845775,0.78085077,0.7726172,0.75910693,0.7785306,0.8116306,0.8387704,0.8394017,0.8449983,0.8262475,0.8144626,0.8545537,0.856447,0.8361571,0.7945074,0.778981,0.78075314,0.77317715,0.7683743,0.76829207,0.7856128,0.7789778,0.7961691,0.7674583,0.80427074,0.80525875,0.790368,0.7984651,0.77583766,0.77910614,0.7989322,0.7926328,0.79243517,0.79015714,0.7898396,0.79191494,0.7924443,0.79021496,0.79464316,0.7931193,0.8017571,0.82715285,0.7955234,0.7965925,0.80451894,0.7901467,0.80433965,0.7825487,0.76932514,0.78347284,0.77763546,0.77350223,0.7583652,0.7776835,0.82817036,0.8136653,0.8405646,0.8421459,0.84816706,0.8266251,0.8158834,0.85629725,0.85812104,0.8384883,0.79677486,0.7836104,0.78447026,0.7774673,0.7726412,0.7724736,0.7881258,0.7806789,0.7957152,0.76788676,0.804691,0.8064692,0.79241335,0.7980895,0.7786248,0.7795304,0.8018153,0.7945938,0.7950118,0.79156387,0.79143953,0.79388094,0.7943766,0.79186314,0.7965307,0.79468906,0.805997,0.8303062,0.80061436,0.8002919,0.808415,0.79308796,0.810802,0.7806871,0.77191144,0.7850224,0.78117335,0.77290714,0.75892264,0.7775905,0.82566357,0.8394551,0.84163296,0.846164,0.8266864,0.8155163,0.8561059,0.8575015,0.8370094,0.77808046,0.7675951,0.78256935,0.778587,0.77139604,0.75762284,0.7762864,0.83944476,0.84137374,0.8465014,0.82727724,0.81513643,0.8567079,0.85770166,0.8371122,0.8059784,0.7909398,0.79825556,0.7756475,0.7784389,0.7810037,0.77121407,0.78232,0.77967405,0.77303976,0.7582133,0.7781136
TC-WeeklyReport-001,0.77524257,0.7831135,0.7550319,0.7688832,0.7450472,0.77057964,0.7832004,0.7991382,0.7961098,0.78784025,0.78446436,0.7803857,0.79583097,0.79230297,0.80215585,0.76048213,0.74858063,0.74230015,0.738508,0.7311957,0.73337394,0.7497411,0.7394144,0.7617084,0.735636,0.7978753,0.7772975,0.78485906,0.75767386,0.77035093,0.7470038,0.7527809,0.74707276,0.74615437,0.7469494,0.7469319,0.7476791,0.74983436,0.7460544,0.7498349,0.74791443,0.7616301,0.7709006,0.7473144,0.75616205,0.7619072,0.7438682,0.76691973,0.7613655,0.75338256,0.7773318,0.76383656,0.7756653,0.7590625,0.7826072,0.765035,0.7959051,0.7914946,0.785662,0.78155565,0.7766117,0.79286975,0.79012513,0.8004793,0.7573592,0.7417294,0.7371169,0.7322303,0.72586036,0.7273402,0.7449894,0.7358479,0.7601941,0.73157966,0.7937712,0.7748845,0.7807408,0.75566244,0.766425,0.74286664,0.748548,0.7417934,0.7409173,0.74174535,0.7413701,0.7420415,0.74405277,0.7409123,0.74434423,0.74267715,0.75662124,0.76823103,0.7437333,0.75095797,0.75628316,0.7391728,0.7590712,0.7609522,0.749691,0.77365947,0.75889236,0.7732431,0.75596523,0.77932394,0.77868605,0.7693169,0.79890877,0.7959579,0.78892255,0.7839086,0.78005266,0.7956518,0.79205835,0.8034357,0.7603465,0.74837756,0.74313873,0.7386073,0.73167706,0.7331506,0.7491841,0.73852575,0.76141703,0.73482966,0.7974901,0.7770444,0.7853252,0.75666654,0.77061915,0.74519217,0.7534689,0.74686223,0.74660337,0.7468733,0.74666387,0.74743855,0.74963194,0.7460668,0.74964106,0.7476118,0.7614571,0.7718725,0.7493316,0.7560893,0.7619946,0.74307686,0.7667016,0.7610198,0.75433064,0.77797544,0.7637405,0.7756984,0.7589049,0.7822754,0.78178656,0.7981149,0.7952628,0.78730905,0.78348696,0.7795428,0.79526746,0.79189515,0.8022896,0.7599977,0.751472,0.7762289,0.7625989,0.77482975,0.7578328,0.7806627,0.79990155,0.7965125,0.78884935,0.7862363,0.7812208,0.79777443,0.7936238,0.80427694,0.778063,0.78615415,0.7580981,0.76951575,0.7453717,0.762422,0.7552463,0.77618325,0.76478183,0.7773247,0.76004684,0.7833636
TC-Profile-001,0.85027516,0.84409314,0.80830514,0.8352367,0.7992438,0.7729011,0.77523625,0.80632305,0.79678726,0.8018381,0.7947424,0.80709136,0.80575323,0.8004396,0.80321574,0.7899724,0.7738801,0.77168787,0.7617818,0.7637318,0.7590466,0.77601504,0.77005285,0.7675549,0.74941134,0.79304194,0.8502965,0.8438245,0.80879545,0.8347099,0.7993984,0.78789496,0.78495884,0.78293085,0.7826564,0.7822018,0.78359705,0.7842657,0.7821689,0.7865422,0.78518957,0.7569205,0.7659933,0.7285142,0.74842584,0.75773066,0.74055636,0.74925524,0.76097596,0.7413274,0.7774538,0.7699524,0.76196194,0.7517649,0.77329624,0.7702481,0.80419624,0.7946478,0.8001609,0.792398,0.80324864,0.803519,0.7984258,0.8031337,0.78853524,0.7700994,0.7687328,0.75766957,0.7608558,0.7556009,0.77379334,0.76765066,0.7686672,0.7488771,0.79147875,0.8478285,0.8406578,0.8082073,0.83117354,0.796216,0.7855788,0.78151286,0.7798563,0.7799647,0.77939653,0.7804201,0.7811883,0.7795609,0.7833578,0.7822143,0.7527884,0.7651149,0.72626215,0.7445121,0.75436395,0.7373569,0.74368256,0.7621133,0.74016786,0.7761965,0.7670654,0.76245356,0.75162673,0.77271503,0.7752725,0.77170825,0.80563176,0.7964289,0.8026241,0.79377735,0.8065299,0.8048731,0.7997346,0.80379105,0.78990346,0.7740843,0.7723502,0.7618823,0.7636683,0.7585691,0.77531743,0.7697356,0.7669339,0.74810445,0.7922206,0.8505614,0.8443715,0.8084634,0.8354353,0.7983247,0.78776616,0.78457725,0.7833033,0.78261757,0.78217506,0.7834095,0.7842246,0.78225875,0.78628355,0.7850021,0.7563164,0.76657534,0.73031867,0.74810135,0.758001,0.7396877,0.7490115,0.7604292,0.74237823,0.77804613,0.7698306,0.76226723,0.751413,0.7729455,0.7734003,0.8055371,0.7962837,0.80172205,0.7938417,0.80694354,0.8055324,0.8001981,0.8035649,0.7581238,0.73821694,0.775501,0.76741004,0.760704,0.74953425,0.7705269,0.8071059,0.79717135,0.8028782,0.7962775,0.8075373,0.8074614,0.8015463,0.8052255,0.85178024,0.8448494,0.80958575,0.833912,0.79724634,0.7626815,0.7433988,0.7755952,0.7705233,0.7640062,0.7528527,0.7742612
TC-Authentication-001,0.8364148,0.82224923,0.8388488,0.8102011,0.8241772,0.79544806,0.79446256,0.8069668,0.79727435,0.80893165,0.79418707,0.81812704,0.81426346,0.81450516,0.7936682,0.8815019,0.87727654,0.8389421,0.84568554,0.8548065,0.86273766,0.8533349,0.8522061,0.7935308,0.7652054,0.7835139,0.83872986,0.8241372,0.84127796,0.8114842,0.8257568,0.81186426,0.8102176,0.809376,0.80746263,0.8091008,0.81024647,0.8105035,0.80761755,0.8129292,0.81047505,0.7571652,0.7634828,0.737194,0.7444489,0.75262254,0.73396176,0.750695,0.76408947,0.74658227,0.7737705,0.7684085,0.7552796,0.74665797,0.7632811,0.78789306,0.802115,0.79208255,0.8061017,0.7907627,0.8119937,0.81046176,0.81097287,0.79183376,0.87594926,0.8689295,0.82994586,0.8359713,0.8456099,0.85338044,0.8458377,0.8472072,0.78877664,0.759506,0.77961606,0.83388144,0.8188964,0.8382838,0.80433416,0.82161677,0.8055417,0.80234325,0.8015448,0.800011,0.8011646,0.8020934,0.8024128,0.80024683,0.8046831,0.80268353,0.7505094,0.7608365,0.73274046,0.73821557,0.7469423,0.72834766,0.74194574,0.7609043,0.740136,0.7702259,0.76116025,0.75137657,0.7425529,0.75836426,0.7893481,0.7944454,0.80575943,0.7963729,0.80956554,0.7931676,0.8174221,0.81344247,0.8138169,0.7942055,0.88172466,0.87706876,0.8392255,0.84533924,0.8549069,0.8621638,0.8524579,0.8516091,0.7929166,0.763911,0.78237534,0.8384223,0.82383466,0.84056646,0.8112266,0.82395184,0.81196105,0.8101227,0.8097056,0.8075088,0.80900013,0.8100652,0.81048065,0.80774754,0.8126934,0.8103558,0.7563666,0.7641982,0.7391162,0.7437413,0.7523638,0.73253196,0.74990326,0.76301897,0.7469157,0.7738961,0.76824135,0.7551738,0.74602044,0.7623562,0.79230076,0.8050011,0.7959313,0.80829024,0.7930695,0.817595,0.8136216,0.81367385,0.79369634,0.7605975,0.7427114,0.7712593,0.7655256,0.75357485,0.744598,0.76021105,0.80696094,0.7965337,0.80954844,0.79518914,0.8180474,0.8155886,0.81502694,0.79528093,0.839103,0.824649,0.841589,0.809478,0.82364124,0.764512,0.74700624,0.77097607,0.7674775,0.75606614,0.74620795,0.7628514
TC-Path-001,0.7845867,0.78658295,0.75422364,0.76381004,0.7338976,0.7881802,0.82197726,0.8034167,0.8003662,0.802001,0.79651177,0.7961007,0.8059815,0.8068787,0.8090607,0.77547646,0.7603045,0.7593434,0.75315857,0.7450069,0.7444521,0.7649065,0.7558664,0.77897054,0.7620729,0.79426455,0.7882384,0.78993285,0.758555,0.7667875,0.7371736,0.77628386,0.7686498,0.76744384,0.7651114,0.766471,0.76664084,0.76898444,0.7673254,0.7696561,0.77019143,0.7489885,0.7630033,0.72884303,0.7355299,0.75852907,0.7351024,0.7491475,0.756975,0.7355185,0.758985,0.7512658,0.7605686,0.7323552,0.7527921,0.7798786,0.79827166,0.79422635,0.79883623,0.7925974,0.7904022,0.8015228,0.8030685,0.80587804,0.7699423,0.7504008,0.74963963,0.74211633,0.735873,0.7347073,0.7569667,0.7498447,0.7736498,0.75541943,0.7890872,0.78256774,0.78425217,0.7552129,0.75896394,0.73188484,0.7699858,0.76020837,0.75909793,0.75734764,0.7580803,0.7582736,0.7603128,0.75896156,0.7612483,0.76141596,0.74131334,0.75783074,0.7222743,0.7285544,0.75128853,0.72840697,0.73847175,0.7535778,0.72847116,0.75365555,0.74313575,0.75573134,0.7277455,0.7473428,0.8154607,0.78726065,0.8019042,0.79947114,0.80262876,0.79533803,0.7949488,0.8051485,0.8059565,0.809668,0.7741026,0.7589008,0.75879055,0.75189126,0.74394226,0.7427988,0.7633357,0.7542181,0.77739996,0.7602266,0.79228467,0.78669393,0.7890573,0.7563034,0.76608163,0.73421377,0.77623916,0.76802754,0.7674837,0.76477796,0.76592433,0.7661052,0.7684756,0.7668725,0.7690344,0.769208,0.74791944,0.7628724,0.730355,0.7343557,0.7578926,0.7334898,0.74790776,0.7551844,0.7350253,0.7589487,0.7510074,0.7599567,0.7314912,0.7513377,0.8204442,0.8016058,0.7988987,0.8015449,0.79564315,0.7955853,0.8054782,0.8065156,0.8089973,0.75271976,0.73105896,0.7557666,0.7477831,0.75787574,0.72939855,0.74924296,0.8026587,0.7996857,0.80255044,0.7971766,0.79597867,0.80697733,0.80722994,0.8101603,0.78855854,0.78990227,0.75811297,0.76493853,0.7344302,0.757486,0.73598754,0.75744414,0.7510101,0.7610847,0.7327415,0.75260746
