report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,13,0.871588761989887,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,16,0.8268210515379906,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,17,0.873623697196736,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,12,0.8451452205578486,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,21,0.8738674606595721,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,12,0.8422024796406428,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,9,0.8252741230858697,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,16,0.8332791328430176,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,21,0.8193028228623527,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,11,0.8646204579960216,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,21,0.8280973264149257,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,17,0.8518727597068337,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,21,0.8453285041309538,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,15,0.8285597681999206,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,4,0.8423661291599274,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,17,0.8517127948648789,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,15,0.8629412730534871,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,15,0.8714677890141805,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,14,0.8540923467704228,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,11,0.8338719227097251,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,11,0.8386558023366061,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,9,0.8705977267689176,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,22,0.8964343070983887,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,10,0.7881097733974457,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,13,0.8481729076458857,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,15,0.8296361088752746,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,9,0.8535209894180298,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,19,0.8545600552307931,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,18,0.8638343347443475,47,0.8293850396541839
