report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,9,0.8176005681355795,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,20,0.8111503481864929,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,29,0.8470963609629664,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,25,0.8311919975280762,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,21,0.8692806192806789,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,23,0.8341483447862708,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,33,0.8316992954774336,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,19,0.824441975668857,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,23,0.8310414397198221,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,21,0.8558132194337391,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,22,0.8366316773674705,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,38,0.8107801581683912,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,24,0.8425351108113924,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,28,0.8197974179472242,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,26,0.8210002413162818,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,29,0.8086939824038538,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,26,0.8522687325110803,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,24,0.8460919708013535,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,30,0.8798958460489908,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,19,0.8295008100961384,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,20,0.8531025677919388,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,22,0.8452501188624989,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,29,0.8700645977053149,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,23,0.817990155323692,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,28,0.8261579083544868,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,30,0.7812101443608602,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,26,0.8411966653970572,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,26,0.8448066894824688,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,28,0.8111502485615867,47,0.8293850396541839
