,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-ExampleInstrumentedTest-001,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007
TC-Access-001,0.8364609,0.8225283,0.83396745,0.81042373,0.8181364,0.8093407,0.7975677,0.7966118,0.79016423,0.80019325,0.788136,0.8125346,0.8017731,0.80312425,0.7895024,0.87599003,0.8579692,0.8394451,0.84502065,0.8266075,0.8359134,0.8517773,0.8479754,0.8005727,0.772605,0.79837465,0.839967,0.8253112,0.83715725,0.8132359,0.8205606,0.8178543,0.81297594,0.81118286,0.80936205,0.8095251,0.81157076,0.8113985,0.8088581,0.8127955,0.81298816,0.7668591,0.77191,0.7335235,0.74644136,0.7545291,0.7347438,0.7455601,0.76611674,0.74531394,0.7694706,0.767008,0.7517347,0.74512494,0.758007,0.7995447,0.7904734,0.78346837,0.7962128,0.78314346,0.8054301,0.79623014,0.7979538,0.7854959,0.8698474,0.8463948,0.8278836,0.83305645,0.81591564,0.82518256,0.8430082,0.8424049,0.79289013,0.7641557,0.79262143,0.8329111,0.8186678,0.832914,0.8036772,0.815624,0.8100328,0.80350125,0.8019211,0.80052453,0.8004143,0.80204415,0.8020449,0.8001301,0.8035681,0.80368733,0.75911206,0.7672214,0.7277434,0.7387067,0.7477092,0.7277949,0.73470795,0.7611204,0.73730934,0.7640203,0.757906,0.74685365,0.7392551,0.751798,0.78919184,0.8077266,0.7938082,0.7880033,0.7992158,0.78570586,0.8103466,0.7996571,0.80067563,0.78877735,0.8748654,0.8554673,0.8377886,0.84271777,0.825005,0.83353084,0.8493959,0.84663695,0.79890585,0.7706447,0.7969406,0.838483,0.82436264,0.83558345,0.81178784,0.81776166,0.81699574,0.81217206,0.81088495,0.80872047,0.8088334,0.81072915,0.8107221,0.8083243,0.8119036,0.81218386,0.7652212,0.77191186,0.7350271,0.74503076,0.7534217,0.732625,0.74382293,0.764081,0.7449281,0.7686826,0.7657002,0.75102496,0.7435418,0.7563153,0.7934272,0.7935947,0.78765726,0.79841006,0.7854773,0.81014156,0.79951847,0.80098754,0.7880659,0.7616217,0.7406767,0.7660183,0.7631383,0.74936163,0.74203825,0.7539587,0.79546344,0.7884405,0.79982567,0.78829324,0.8115777,0.8019634,0.80239993,0.7898885,0.8381089,0.82396084,0.83583486,0.80921406,0.81705445,0.7647426,0.7444679,0.7651485,0.76420283,0.75089663,0.74292654,0.7557621
TC-Access-002,0.8317952,0.8223279,0.8352308,0.8078541,0.81884503,0.8037167,0.7886822,0.7930463,0.78967404,0.7984184,0.7870634,0.8108691,0.7989385,0.80148745,0.79018605,0.874204,0.85389423,0.8348616,0.8409625,0.8235678,0.83380944,0.8466593,0.84555936,0.79539347,0.7654717,0.7951169,0.8350822,0.8251129,0.8382882,0.8104725,0.82110906,0.81283724,0.81026787,0.8070387,0.8047699,0.8052219,0.8074958,0.8073235,0.8050874,0.80842805,0.8087113,0.756664,0.76953864,0.73356664,0.7448114,0.75160515,0.73100406,0.7435247,0.76108104,0.7500387,0.76726294,0.76572883,0.7527101,0.74631697,0.75851333,0.79448956,0.78733194,0.78313196,0.7946326,0.78232867,0.8040088,0.7936745,0.7965932,0.7862372,0.86803675,0.8422826,0.8235115,0.82929265,0.81282616,0.82306194,0.8379801,0.84012204,0.7883235,0.75725484,0.7897886,0.8283453,0.8184687,0.83397985,0.8012059,0.81643075,0.8051735,0.8005294,0.79785216,0.7960949,0.7961915,0.798013,0.7979971,0.7963531,0.799322,0.7994858,0.7491235,0.76472914,0.7280023,0.73733807,0.7450639,0.7243328,0.73283887,0.75631666,0.74182624,0.76178026,0.7566793,0.7477423,0.74013704,0.7520899,0.7810727,0.802243,0.7904779,0.7876618,0.79758286,0.7848246,0.80890405,0.7969885,0.7992687,0.78959805,0.873266,0.8515409,0.83331525,0.8387841,0.82225007,0.8316532,0.84440345,0.84424156,0.79381853,0.7633772,0.79353994,0.83356625,0.82373565,0.8366946,0.8091584,0.8183955,0.8120208,0.80931044,0.80672204,0.8041511,0.8045205,0.8066476,0.80663514,0.80453503,0.80755645,0.8079008,0.7549511,0.7694182,0.73508143,0.7434247,0.7504461,0.7288196,0.74172074,0.7591538,0.749359,0.76647127,0.76447695,0.75195163,0.74476683,0.7567153,0.78477514,0.7904928,0.78757477,0.7969765,0.78478676,0.8088337,0.7970921,0.7998538,0.7890554,0.757052,0.7458045,0.76414645,0.7623068,0.7506411,0.7435486,0.75485533,0.7924349,0.7886237,0.798396,0.7877476,0.81047213,0.79962015,0.8012589,0.79101163,0.83365035,0.82426625,0.8373673,0.80691844,0.8180168,0.7601143,0.7495096,0.7634917,0.7634619,0.7522229,0.7446033,0.75664496
TC-Access-003,0.8202542,0.8091955,0.82536364,0.8002784,0.8096059,0.787804,0.7876605,0.77279234,0.7671674,0.7785482,0.7643434,0.79030526,0.7739188,0.7789526,0.7624067,0.87999547,0.9037801,0.84182787,0.84699905,0.8738245,0.880649,0.85243374,0.8492979,0.78669316,0.77203244,0.77860576,0.8231635,0.81191766,0.8283986,0.80273247,0.81182057,0.79252756,0.7942562,0.7955834,0.7903929,0.79272413,0.79373056,0.793579,0.79197025,0.79514366,0.794302,0.73969626,0.7402613,0.7236114,0.72519207,0.7334918,0.71341217,0.7245479,0.74766785,0.7376503,0.75974953,0.75423694,0.74103427,0.7393803,0.747392,0.7786289,0.76759374,0.76134926,0.77522814,0.7605182,0.7839929,0.76959705,0.7748148,0.7595111,0.873674,0.8929036,0.8298909,0.8347475,0.8618861,0.8686055,0.8432555,0.8429976,0.7793466,0.7647732,0.77320325,0.8165495,0.80531996,0.8229579,0.7931547,0.8070392,0.78597134,0.7850441,0.7859615,0.78178936,0.7835314,0.7843816,0.78432405,0.7830961,0.7859022,0.7852525,0.73254514,0.7371042,0.71818703,0.71877396,0.7269059,0.70758915,0.7152627,0.7431252,0.72976685,0.7544848,0.74581313,0.7356372,0.7343178,0.7414508,0.77963704,0.7869197,0.7709145,0.76555485,0.7781638,0.76243824,0.7888728,0.77214885,0.7771784,0.761773,0.8796094,0.90165424,0.8402743,0.8450489,0.87184966,0.87832236,0.85023737,0.8480867,0.78527176,0.770004,0.7768172,0.82203037,0.8109622,0.8265895,0.80151516,0.809242,0.7922179,0.79373103,0.79526716,0.79012203,0.79224443,0.7931832,0.7931625,0.7916572,0.79450345,0.79385054,0.7385632,0.7403199,0.7247023,0.7241357,0.73245996,0.71157265,0.7230063,0.745973,0.73725384,0.7585698,0.75326395,0.74030584,0.7380262,0.7460885,0.7846603,0.77016187,0.7651467,0.77719253,0.7625195,0.7891598,0.7722529,0.7773428,0.76159424,0.74406123,0.7336211,0.756935,0.75093615,0.7389546,0.73669726,0.7439015,0.77244216,0.7660916,0.77877325,0.76484835,0.78989226,0.7746048,0.7788148,0.7633202,0.8225375,0.81161946,0.8278112,0.7996255,0.80898094,0.7472087,0.7375748,0.75615925,0.7525293,0.74088037,0.7380228,0.74603736
TC-Trip-001,0.8081008,0.8081206,0.8073226,0.79334414,0.7920021,0.7905195,0.7786771,0.8384162,0.82260185,0.839906,0.8136817,0.8159285,0.84798133,0.8428986,0.8215615,0.8022491,0.779987,0.7797722,0.770109,0.7687868,0.7654521,0.7868285,0.7826057,0.76513916,0.74603146,0.8008664,0.8098918,0.80994487,0.8095572,0.794702,0.7937037,0.77943116,0.7754841,0.77496266,0.7724556,0.7732976,0.7750636,0.77536064,0.7731487,0.77792877,0.77595764,0.7793237,0.79994226,0.783862,0.79037917,0.78510916,0.77399117,0.7828448,0.7678559,0.7541866,0.7680149,0.76384676,0.76257753,0.744443,0.7590275,0.79014117,0.83582044,0.82048833,0.8383256,0.8107157,0.81354105,0.8455694,0.8415898,0.82078487,0.8013395,0.7771149,0.778018,0.7673596,0.7666763,0.7630132,0.7856204,0.7815224,0.7692856,0.74824136,0.80041087,0.810611,0.80911833,0.8109318,0.7940453,0.79332554,0.7779213,0.77402616,0.77348167,0.77173114,0.7721015,0.77357906,0.77383167,0.7721032,0.7763762,0.77475035,0.77743393,0.79950064,0.78101397,0.7872575,0.78323805,0.77120966,0.7782401,0.7710396,0.75528026,0.76913214,0.7627878,0.76456696,0.7445699,0.7614047,0.7823185,0.7897736,0.83837974,0.8230208,0.8413766,0.8126911,0.81549895,0.8475183,0.84339494,0.82238847,0.8022985,0.7802328,0.7803807,0.7701975,0.7691024,0.7651768,0.78609496,0.7820216,0.7653685,0.7452699,0.8000891,0.8099836,0.81034416,0.80898833,0.79513747,0.7922558,0.7794043,0.77517295,0.77508754,0.7722753,0.7729578,0.77450716,0.7751354,0.7730048,0.77749443,0.775493,0.77875245,0.8008596,0.78558886,0.790173,0.7851089,0.7728868,0.7825555,0.7674143,0.7548661,0.76808727,0.763617,0.7625649,0.7437233,0.7580511,0.7765646,0.83840835,0.82263,0.8403145,0.81386876,0.81598544,0.8487687,0.8432605,0.82230395,0.76467603,0.750436,0.7653556,0.7607083,0.7602454,0.74188733,0.75594187,0.8380363,0.8223509,0.84047556,0.8145174,0.81535935,0.8488399,0.8432692,0.82250786,0.8094096,0.80881417,0.80917525,0.7921482,0.7908366,0.7682061,0.7548584,0.7650691,0.7624644,0.76264644,0.74360985,0.7583723
TC-Trip-002,0.7774934,0.7791471,0.7928021,0.76398265,0.7770931,0.77324975,0.7759151,0.80918205,0.8200606,0.81390357,0.80301845,0.79606277,0.8223245,0.8156049,0.8098279,0.77767885,0.77259105,0.77288,0.7673122,0.7592869,0.7591496,0.7813326,0.77260995,0.7538836,0.75569046,0.78629947,0.77926743,0.7811179,0.79512054,0.76557976,0.77845526,0.7532617,0.7515799,0.7506045,0.7489037,0.7486607,0.7511447,0.7505232,0.74775445,0.75221854,0.7512146,0.763389,0.78404343,0.78270304,0.7867111,0.7782881,0.7736409,0.7856384,0.7582549,0.7493011,0.7625657,0.7556418,0.753508,0.73511726,0.7552085,0.77534807,0.8093091,0.8189814,0.81410396,0.8015942,0.79551363,0.82218397,0.8162923,0.81021357,0.7777367,0.7718374,0.77453834,0.7680489,0.7603522,0.7598572,0.7821424,0.7725877,0.7598663,0.76000905,0.7873205,0.7810856,0.7811307,0.7964386,0.7665967,0.7792739,0.75264996,0.75093657,0.750046,0.7489553,0.74852365,0.75060254,0.75008404,0.74790686,0.7518724,0.7509492,0.76287395,0.7841841,0.781567,0.78535104,0.77730966,0.77246237,0.78257585,0.7617184,0.7518452,0.76399803,0.75589395,0.7563061,0.7358073,0.7578816,0.782506,0.772747,0.8094551,0.820651,0.8155458,0.80252653,0.7964635,0.8226268,0.8164239,0.8105906,0.77791184,0.77352214,0.7742728,0.7681303,0.7605518,0.75974727,0.7814177,0.77207476,0.7537481,0.7546328,0.7854345,0.77911764,0.78104687,0.7944254,0.7661477,0.7773535,0.7535936,0.7509192,0.7504312,0.7484925,0.74817157,0.75057256,0.7500138,0.7474692,0.75161433,0.75044954,0.7631657,0.7848451,0.7846451,0.78687596,0.77850914,0.7729664,0.78584075,0.7579846,0.7498595,0.7628457,0.7553548,0.75343823,0.7344959,0.75437045,0.77439034,0.8095081,0.8203415,0.8144094,0.80326116,0.796376,0.8233136,0.816224,0.8105302,0.75622934,0.74696314,0.76097953,0.75370324,0.752426,0.7334857,0.7530931,0.8100321,0.8214464,0.8151833,0.8045367,0.79670906,0.82410914,0.8170315,0.81166583,0.7800189,0.7811859,0.7956126,0.76414114,0.77686477,0.7592418,0.75061154,0.760759,0.75525963,0.7545133,0.73521924,0.75529623
TC-Trip-003,0.8100551,0.80942136,0.8092483,0.79506546,0.79137045,0.80279887,0.7962971,0.83009535,0.84025127,0.8374309,0.8239991,0.8152739,0.83877397,0.8363768,0.8284106,0.79951584,0.78156644,0.78115076,0.7732543,0.7746314,0.77413374,0.7867962,0.7817157,0.7736391,0.74971163,0.8005843,0.8116542,0.8110707,0.811654,0.7965589,0.7929095,0.78879595,0.78554493,0.7883323,0.78355,0.78416175,0.786234,0.78538895,0.78354746,0.78865945,0.78589845,0.79390717,0.8061217,0.801285,0.8034148,0.8059477,0.7966372,0.8206763,0.7824843,0.7748823,0.7900945,0.7808998,0.77967024,0.76458883,0.78168094,0.80557775,0.83059084,0.8403002,0.83804095,0.82354057,0.81556344,0.8396495,0.8374862,0.8297813,0.7999534,0.781897,0.7832024,0.77445793,0.7758124,0.77484006,0.7887009,0.78235614,0.78031486,0.75506437,0.80223584,0.81393737,0.81168425,0.8138206,0.79799855,0.79360205,0.78876954,0.7860132,0.7881087,0.78453827,0.78475624,0.78650534,0.78590477,0.7843645,0.788891,0.7865821,0.7938905,0.8069266,0.8005886,0.80236876,0.80545616,0.7957104,0.81818885,0.78689253,0.777874,0.7922716,0.78222394,0.7831379,0.76576275,0.7853467,0.80364203,0.8022463,0.8303616,0.8409196,0.8389224,0.8233131,0.8154385,0.83888614,0.83715534,0.8293488,0.7996082,0.78234357,0.7823522,0.77388716,0.7757357,0.7744692,0.7867554,0.78111684,0.77358145,0.74862194,0.79961026,0.8116182,0.8111118,0.8105085,0.79707915,0.79150593,0.7892021,0.7850939,0.78797054,0.7831946,0.78361607,0.7855581,0.78494346,0.7832221,0.7880223,0.7852022,0.793718,0.8070625,0.8027404,0.8033351,0.80612844,0.7957114,0.8208163,0.782297,0.7757882,0.7897079,0.7806922,0.7795792,0.7638243,0.7808433,0.79434395,0.829952,0.8404504,0.83762205,0.82450175,0.8157172,0.83948505,0.83671576,0.829408,0.78024673,0.7722869,0.78850037,0.7787019,0.7782397,0.7627752,0.77933896,0.8303343,0.8409902,0.83843315,0.8250293,0.81538653,0.8400901,0.8373586,0.8297975,0.8120208,0.81075454,0.81209654,0.79456604,0.7906357,0.783268,0.7763013,0.78780043,0.7803887,0.7806313,0.7644279,0.7819031
TC-Statistics-001,0.8020754,0.8136125,0.7814575,0.7947519,0.7671241,0.78277135,0.7998867,0.7890272,0.7882,0.7831402,0.7791206,0.78943443,0.78331655,0.78589725,0.79209006,0.77231795,0.7541898,0.76153374,0.7543975,0.73807526,0.7391654,0.76581097,0.75295836,0.7641479,0.7393186,0.7928407,0.8037536,0.8149073,0.78366065,0.7954667,0.76834786,0.7798343,0.7735709,0.7731357,0.7715554,0.7719078,0.7738619,0.77687573,0.7717098,0.77704513,0.7749911,0.76662415,0.7747683,0.75072694,0.75404954,0.7618169,0.74561226,0.7752058,0.81314933,0.8012327,0.82476187,0.80876565,0.82105017,0.80645776,0.8355204,0.77554953,0.78689027,0.7848199,0.78213495,0.7771364,0.78594154,0.78130364,0.78412163,0.7905866,0.7710538,0.7480762,0.756893,0.74891067,0.7336025,0.734165,0.7618171,0.751425,0.7623987,0.7343504,0.7885956,0.800991,0.8103955,0.7815394,0.7910788,0.7639536,0.7754769,0.76753557,0.76715267,0.7660747,0.7659841,0.767574,0.7702311,0.76609033,0.77069384,0.7687868,0.76123464,0.7719815,0.7469613,0.7483783,0.75623214,0.7406021,0.7667905,0.8088869,0.7932544,0.81763136,0.8005885,0.8157508,0.8002338,0.828028,0.7942182,0.7813733,0.7883565,0.7881283,0.78400254,0.7780583,0.7893729,0.7834989,0.78553724,0.7932566,0.7721586,0.7538979,0.7625877,0.7547355,0.73884475,0.739153,0.76527137,0.75223875,0.7640987,0.738708,0.79254067,0.80351996,0.8154135,0.7827605,0.79601467,0.76672196,0.7807666,0.7735623,0.773697,0.7717438,0.7719722,0.77389467,0.7768549,0.7720094,0.7771167,0.77486116,0.7663741,0.77619934,0.75294244,0.7539688,0.7619051,0.74471366,0.7747796,0.81321275,0.8025241,0.82534313,0.8086678,0.82162964,0.8064795,0.83545315,0.7984098,0.78775257,0.7874216,0.7825864,0.7779244,0.7888963,0.7825738,0.78558284,0.7921915,0.8151744,0.80356836,0.826787,0.81087124,0.82404304,0.8088472,0.83656,0.7889492,0.7882483,0.7839726,0.7799634,0.7897624,0.784798,0.78704643,0.7936822,0.8039659,0.814901,0.78360486,0.7946912,0.7663905,0.8133129,0.80202484,0.8233596,0.8085377,0.82191145,0.80661803,0.8353673
TC-Statistics-002,0.7658279,0.7897657,0.76119584,0.77494156,0.74946725,0.7462441,0.76364934,0.77142096,0.76556057,0.7745123,0.7572933,0.76984656,0.7717159,0.7729071,0.77616227,0.74906105,0.7339246,0.74220526,0.7399813,0.7181393,0.72399086,0.7491751,0.737512,0.7302108,0.72039676,0.7519512,0.76797915,0.7916641,0.76364386,0.77600586,0.7508785,0.76656264,0.76284707,0.760939,0.75980955,0.7596054,0.7618952,0.7660135,0.76013905,0.76462984,0.76396155,0.7274084,0.743495,0.72407866,0.7364733,0.73235524,0.7263123,0.73660386,0.8043435,0.79658175,0.81724143,0.8018223,0.817899,0.7958885,0.8271989,0.73936963,0.76883316,0.7618489,0.7729785,0.7555093,0.76596475,0.76905197,0.7703892,0.774417,0.74685735,0.72638863,0.73694074,0.73377234,0.7129372,0.7182821,0.74352074,0.7345872,0.72832584,0.71574295,0.7478322,0.7643714,0.78715247,0.76073176,0.77093947,0.74666023,0.76159596,0.75588167,0.75430685,0.75362587,0.75308293,0.75501114,0.7583633,0.7538371,0.7577743,0.7568506,0.7213826,0.73993254,0.7196263,0.7301518,0.72703344,0.7204377,0.7274798,0.79777026,0.786539,0.8081776,0.79160726,0.81054795,0.7879153,0.8174847,0.7588142,0.7450482,0.77058136,0.76520497,0.77541834,0.7564006,0.7693124,0.7712218,0.77251434,0.77683586,0.7485434,0.73318684,0.7427897,0.73986053,0.7182992,0.72341394,0.74850917,0.736397,0.7295111,0.7192948,0.750612,0.7666181,0.7910238,0.76210296,0.7761777,0.7488693,0.76672816,0.7625478,0.7612442,0.7597091,0.7595151,0.76177216,0.76571524,0.7602304,0.7645452,0.7635329,0.7264062,0.7443831,0.7257693,0.736045,0.73192,0.725098,0.7354277,0.80355316,0.7965142,0.8172064,0.8008907,0.8177812,0.7952636,0.8262242,0.7625998,0.7704571,0.76498455,0.77473813,0.7565112,0.76956046,0.7715149,0.7732067,0.77676046,0.80660456,0.8000027,0.8197142,0.80452335,0.82133245,0.7989526,0.828817,0.7714213,0.7657997,0.7755329,0.75842595,0.7699386,0.7732027,0.773898,0.7777725,0.7680335,0.79179543,0.76357216,0.77550054,0.7491188,0.8040577,0.7965301,0.81516725,0.8010647,0.81802833,0.7959648,0.8262304
TC-Profile-001,0.8473031,0.84000164,0.8096537,0.83006966,0.7958473,0.7487316,0.75189996,0.77278304,0.7687736,0.77196014,0.76258945,0.78241783,0.7721251,0.7688372,0.77145255,0.77453786,0.7540911,0.76188684,0.74823934,0.74508643,0.7379794,0.76478183,0.75806016,0.7304171,0.71207196,0.7594756,0.84619343,0.83850497,0.8089206,0.82914615,0.79482055,0.7643273,0.7655087,0.7644012,0.7636608,0.76412463,0.76555866,0.7663554,0.76424205,0.76720756,0.767239,0.73570466,0.7418004,0.71407855,0.73196876,0.7376369,0.72037214,0.7336564,0.7302614,0.7252162,0.7468801,0.73877937,0.7309661,0.7211926,0.74542093,0.7460098,0.7712112,0.7669538,0.77098906,0.76071787,0.77936876,0.770744,0.76732683,0.77156556,0.7735995,0.7505548,0.7592685,0.7447472,0.7422853,0.7350206,0.762347,0.7566872,0.7322648,0.71130544,0.7583964,0.84254944,0.8340871,0.80753076,0.8246547,0.7908129,0.7620744,0.76212215,0.7611197,0.76077676,0.760979,0.7620433,0.762878,0.7612233,0.76389074,0.7638116,0.7322608,0.740559,0.7117022,0.7278322,0.73354334,0.7168021,0.72812676,0.7312609,0.7229373,0.74594295,0.7359598,0.7310313,0.7206204,0.74408275,0.75172853,0.7474303,0.7717906,0.7685175,0.7725013,0.7609981,0.78161347,0.7714559,0.76819366,0.77176917,0.7749519,0.75368124,0.7624245,0.74827874,0.7452208,0.7376005,0.76405644,0.7575134,0.73002434,0.7108844,0.7589518,0.8463926,0.83892304,0.80848604,0.8297656,0.7939613,0.76435345,0.76505345,0.76434195,0.76329637,0.7637354,0.7650132,0.76594377,0.7639614,0.76672417,0.76671654,0.7350671,0.7428072,0.71615446,0.73165756,0.73751044,0.7192471,0.7333129,0.7297174,0.7263367,0.7471555,0.7387551,0.7311859,0.72078973,0.7450761,0.74999,0.7718253,0.76830536,0.77165216,0.7616293,0.7819121,0.7716532,0.76847756,0.77171695,0.72825986,0.72290564,0.7455135,0.7370717,0.73029375,0.7200433,0.74318856,0.7733599,0.76928365,0.77287775,0.764067,0.7829938,0.77347386,0.769807,0.7735503,0.8470923,0.838767,0.8097007,0.82800525,0.7924549,0.73142725,0.72724503,0.7451672,0.73908603,0.7328443,0.7220248,0.7461089
TC-Profile-002,0.84072924,0.8755872,0.81179094,0.8656368,0.79921967,0.7465278,0.75414544,0.77342546,0.7715428,0.7759454,0.7628773,0.78159523,0.77225643,0.7703197,0.78061,0.7774241,0.75847,0.76277477,0.7489968,0.7466329,0.74001455,0.7653123,0.761224,0.73196954,0.71496356,0.7433562,0.8394958,0.8740475,0.81095827,0.864554,0.798257,0.77166283,0.77437425,0.77223694,0.77159286,0.7717175,0.77340955,0.7735722,0.7721032,0.77449185,0.774186,0.7220384,0.7366857,0.70995253,0.73957044,0.7348733,0.7226851,0.7358265,0.72777647,0.7236357,0.7382583,0.73404175,0.76105607,0.7199189,0.7449503,0.74636996,0.77314687,0.77078575,0.77559716,0.76235044,0.78021234,0.77179587,0.76971805,0.78128797,0.7771137,0.75538653,0.7614233,0.7467232,0.74493825,0.7382418,0.7634385,0.7605078,0.7358266,0.71619654,0.7442436,0.8373324,0.8705765,0.810135,0.86095583,0.7953504,0.7707315,0.7718313,0.77001816,0.7697532,0.769677,0.77093613,0.77121854,0.77009577,0.77225864,0.7719917,0.7200784,0.7363638,0.70848274,0.73683333,0.732162,0.720309,0.7313658,0.72997004,0.7226314,0.7388007,0.733032,0.76148427,0.7210347,0.7450224,0.7564054,0.7457197,0.77269864,0.77149564,0.7766386,0.76137066,0.78096044,0.7715427,0.76994026,0.78069997,0.77784127,0.7581779,0.76342624,0.7491582,0.7469241,0.7398019,0.7645801,0.7604623,0.7317998,0.7138877,0.7427292,0.83970726,0.8744056,0.81050587,0.8654634,0.79744786,0.7714866,0.7737962,0.77204734,0.7711684,0.7712679,0.77278024,0.7731061,0.77172065,0.7739086,0.77363956,0.7213503,0.7375908,0.7119519,0.7394852,0.7348068,0.72163856,0.7355664,0.7273905,0.7244817,0.73827934,0.73386824,0.7614224,0.71937805,0.7445977,0.75284344,0.7729277,0.77144814,0.7760004,0.7621933,0.78132707,0.7719559,0.77021486,0.78103924,0.7260867,0.72162366,0.7369907,0.7324687,0.7598065,0.7188629,0.7430052,0.7745095,0.7725253,0.77721506,0.76481324,0.7826239,0.773921,0.77165467,0.78278965,0.8408339,0.87454855,0.8120059,0.8636647,0.79611444,0.7292437,0.7259005,0.73672056,0.7345383,0.7626241,0.7211358,0.7454685
