,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-ExampleUnitTest-1,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1
TC-PuntinaMappa-001,0.78158545,0.76121664,0.7353787,0.76518077,0.75584364,0.7543626,0.75474393,0.7555623,0.7566844,0.7776247,0.77490795,0.7906294,0.79275006,0.7212131,0.74078894,0.7846532,0.7802635,0.7716086,0.7532304,0.7746682,0.7860955,0.75013834,0.7721536,0.76535285,0.7836983,0.7585756,0.7035085,0.72479445,0.72014874,0.72968847,0.7852548,0.7838182,0.79900324,0.76453996,0.78062487,0.8146957,0.8008387,0.7908,0.7378823,0.76416194,0.7393099,0.74178874,0.7871862,0.79677224,0.7917378,0.79550254,0.76866865,0.74520135,0.7765547,0.765015,0.76380724,0.7643472,0.7648968,0.7660785,0.80417085,0.7334239,0.7517034,0.7953565,0.79084426,0.7823068,0.76362586,0.7789617,0.7946499,0.7550434,0.78995776,0.7775612,0.7935174,0.7782939,0.7195027,0.735274,0.7336972,0.74005353,0.7913168,0.7893481,0.8134155,0.77582276,0.7920083,0.82122564,0.8053905,0.7962384,0.7528585,0.77571344,0.75337195,0.7522772,0.80069005,0.80631435,0.7770283,0.77469873,0.7803742,0.7597796,0.7341217,0.764855,0.75464666,0.75343823,0.75388706,0.75471735,0.75571334,0.79042244,0.7196105,0.7400282,0.7839936,0.7796502,0.77109575,0.75384223,0.774194,0.785916,0.7499647,0.7715441,0.76464427,0.78392506,0.7579282,0.70037127,0.72299784,0.7194729,0.7276397,0.7841621,0.7836097,0.7997365,0.76391554,0.78027314,0.81482446,0.8003335,0.7905088,0.736398,0.7625251,0.73875785,0.7416185,0.7875884,0.7881723
TC-PuntinaMappa-002,0.7526082,0.77467483,0.733998,0.7453531,0.7527412,0.7524687,0.7526387,0.75402135,0.7531661,0.73366016,0.7353245,0.7524391,0.7691993,0.68956244,0.70491594,0.7458719,0.7469709,0.760861,0.72789913,0.7462215,0.7481752,0.73174816,0.7361231,0.7302035,0.75117797,0.7288959,0.66980904,0.7092076,0.70077205,0.7014991,0.7396886,0.73854536,0.75572383,0.72611636,0.7476565,0.7640809,0.745866,0.73680484,0.6998392,0.73541284,0.7228073,0.71766675,0.7529094,0.7518501,0.7529191,0.764364,0.77959347,0.7420614,0.7541397,0.76196885,0.76176345,0.7620564,0.7631853,0.7626818,0.77971,0.7028833,0.7167884,0.7583996,0.7591611,0.77163994,0.73576444,0.7513746,0.7574216,0.73719275,0.7526721,0.7421511,0.7595961,0.74790835,0.6884016,0.7194287,0.7135115,0.7130223,0.7443459,0.7427175,0.7699439,0.7377055,0.7584442,0.77156043,0.7514457,0.7424642,0.7156612,0.7471532,0.7378312,0.7280099,0.76622075,0.76774836,0.7328327,0.7352992,0.75200856,0.7737662,0.73301286,0.7452644,0.75183964,0.75173163,0.75204104,0.7533292,0.7524777,0.7680015,0.68822324,0.7045671,0.7455801,0.7465645,0.7604352,0.728597,0.74556583,0.74820036,0.7321624,0.73594904,0.7296961,0.7514405,0.7281565,0.6678823,0.70803416,0.700535,0.7001482,0.7387507,0.7381222,0.75670254,0.725903,0.74749,0.7646103,0.74561435,0.7364132,0.69845533,0.73430145,0.7225295,0.71757233,0.7534799,0.7513863
TC-Suggerimento-001,0.7916331,0.7717012,0.7565521,0.77462214,0.7609043,0.76060474,0.7623746,0.76040465,0.7617313,0.7885024,0.78190523,0.80029225,0.80237055,0.7478974,0.7597257,0.7849588,0.7885819,0.7763565,0.7744751,0.7671673,0.76870257,0.75787085,0.798224,0.7870812,0.774459,0.7730774,0.74246526,0.73466635,0.7279115,0.7427398,0.75873864,0.7553915,0.7938436,0.7690703,0.76008576,0.7936173,0.78000027,0.7738999,0.7642544,0.7882589,0.76120913,0.7810171,0.7934588,0.79814243,0.78954405,0.79824454,0.77371454,0.7637167,0.7814425,0.7647712,0.76433325,0.76611185,0.76438814,0.76570565,0.8073228,0.75272775,0.762409,0.7892485,0.7909335,0.77957314,0.77852064,0.7644411,0.7707071,0.7546533,0.8064276,0.7924094,0.77986836,0.7845291,0.74877924,0.7411386,0.7372,0.7471439,0.7602699,0.75644505,0.80112785,0.7752758,0.76568884,0.7958795,0.78113693,0.77591187,0.7727839,0.79149,0.7690441,0.7811039,0.79850364,0.81117535,0.7888552,0.7819346,0.7903425,0.77033895,0.75536907,0.77416486,0.7594851,0.7594651,0.7611984,0.7593567,0.76051927,0.79984707,0.74614346,0.75890815,0.78383625,0.787857,0.7756039,0.7749947,0.7667427,0.768371,0.7571142,0.7978083,0.7866657,0.7753922,0.77243775,0.73928225,0.73274434,0.72714907,0.7409543,0.7573683,0.7548529,0.7944876,0.7685313,0.75980496,0.7939383,0.7795915,0.77373064,0.7631636,0.7867072,0.76125515,0.78151953,0.7940732,0.79841524
TC-Suggerimento-002,0.7414689,0.77091694,0.73589075,0.73001564,0.73724854,0.7380762,0.73852795,0.73802596,0.7372736,0.7342368,0.73596317,0.75413966,0.76692516,0.7002565,0.7066608,0.7367032,0.7459972,0.7600912,0.7254044,0.72783786,0.7227586,0.73769593,0.7403512,0.72986466,0.7292022,0.72953427,0.6790986,0.6954333,0.68892926,0.6928026,0.7087674,0.70746285,0.7357536,0.7123235,0.71381915,0.73782325,0.7243152,0.7135298,0.7049899,0.7390373,0.7255978,0.7342649,0.74333334,0.748947,0.7502057,0.75229275,0.77457446,0.7449561,0.7387378,0.74540544,0.7460613,0.74666387,0.7462589,0.74576724,0.77450573,0.71033657,0.7138562,0.74697554,0.75373703,0.76697713,0.7312171,0.7298473,0.72952205,0.73792404,0.7524569,0.73880154,0.73606014,0.7458097,0.6940733,0.7065605,0.7020226,0.7030792,0.71153015,0.71004224,0.74738586,0.7220707,0.72254014,0.745168,0.7301135,0.71968186,0.71800727,0.7467474,0.73817337,0.7374129,0.75250685,0.76808006,0.73432547,0.7360993,0.7410456,0.770143,0.73510754,0.7298414,0.73607177,0.7371129,0.73762214,0.7370899,0.7363583,0.7654057,0.6986778,0.7059933,0.735989,0.74530166,0.7592529,0.72596097,0.7269923,0.7225467,0.737454,0.74013317,0.72940737,0.7299293,0.7286422,0.67698073,0.69418013,0.6886935,0.6914494,0.7074399,0.70662606,0.7361255,0.71191686,0.7133268,0.73862565,0.72437376,0.71333706,0.7034866,0.73773116,0.7258672,0.734588,0.74402595,0.7531848
TC-Activity-001,0.82304144,0.785252,0.78493506,0.81189734,0.7892661,0.78826,0.79091537,0.7883168,0.79104733,0.7976504,0.7807008,0.78717,0.8294461,0.779157,0.7868575,0.7931378,0.79614264,0.7873158,0.82573617,0.83905095,0.82968247,0.80632746,0.84962034,0.85055715,0.84314007,0.8412912,0.75742,0.7495638,0.744727,0.7588984,0.7545857,0.75307643,0.8361813,0.8307952,0.83794194,0.79205525,0.79200065,0.78122854,0.76740086,0.78695774,0.75094324,0.7637555,0.7977219,0.79075944,0.77219397,0.8102851,0.7756795,0.7775712,0.80202174,0.7788889,0.7779548,0.7800983,0.777863,0.78038293,0.8225164,0.7686528,0.7776115,0.7806125,0.78381693,0.7748138,0.8173976,0.82549655,0.8178642,0.7929947,0.84217227,0.84171194,0.83609986,0.8337734,0.7527021,0.74151844,0.74045306,0.7518661,0.74989796,0.74862933,0.82971144,0.8246821,0.8294241,0.78187793,0.7783903,0.76988584,0.7673587,0.7801082,0.749692,0.76307833,0.79202205,0.78674984,0.7967341,0.78026754,0.82248205,0.7852005,0.7850344,0.8122182,0.7884244,0.78762037,0.79017776,0.78778297,0.7902219,0.82953334,0.77851266,0.78655803,0.79260373,0.795851,0.78683746,0.826733,0.83931357,0.82980335,0.8058264,0.8485994,0.85093665,0.8437042,0.84110254,0.75548524,0.7481167,0.74385303,0.7582072,0.7526598,0.75189054,0.83702075,0.8302923,0.8369549,0.79055357,0.7905053,0.7803544,0.76580834,0.78603154,0.7501898,0.7637208,0.7982496,0.7849857
TC-Activity-002,0.80822504,0.764682,0.76612854,0.8179559,0.7959401,0.7938796,0.79611415,0.79366076,0.79545414,0.7893347,0.77872705,0.8002224,0.821247,0.7633777,0.78094614,0.80536425,0.80522114,0.7853569,0.7875737,0.83514494,0.80469275,0.8029865,0.85686815,0.84795016,0.8410615,0.8453801,0.760195,0.7626272,0.7374589,0.74905854,0.73109555,0.7296784,0.80871344,0.8004011,0.8221382,0.7837598,0.78827405,0.7769062,0.7682773,0.82433367,0.77615094,0.7621409,0.82895875,0.7763107,0.7645336,0.79224694,0.7517934,0.7559858,0.8039055,0.781045,0.7792764,0.78113204,0.77886534,0.780622,0.81075937,0.7493639,0.7674488,0.78753054,0.7875112,0.76810664,0.7768061,0.8178951,0.78962976,0.7871292,0.8428259,0.83479923,0.82885766,0.83145094,0.7504329,0.749444,0.72901154,0.7386526,0.72369766,0.7211873,0.79745924,0.79079616,0.8088704,0.7681047,0.76705015,0.75764537,0.7641973,0.81094205,0.7713468,0.75814533,0.8146624,0.7926207,0.7888242,0.778376,0.8078135,0.7648061,0.76622796,0.8182986,0.7953067,0.79344773,0.79563546,0.79334587,0.79487455,0.82152134,0.7630975,0.78117657,0.80551064,0.8052544,0.7852657,0.788752,0.8355082,0.80508566,0.80318063,0.8562013,0.8487681,0.8419497,0.84550095,0.75884897,0.7613569,0.7370136,0.7489908,0.7290576,0.7281403,0.80962265,0.8000175,0.8210933,0.78301775,0.7870425,0.77605313,0.7674775,0.8242057,0.7758175,0.76223725,0.8299564,0.7987603
TC-Sequence-001,0.89120233,0.8551539,0.859415,0.8731202,0.8502662,0.8490881,0.8520918,0.84997326,0.8522358,0.8237456,0.80821157,0.78962064,0.82830924,0.7967527,0.7818013,0.8273354,0.83018893,0.80486536,0.8609973,0.8149976,0.8091477,0.8099496,0.8182188,0.8170682,0.8073424,0.8083215,0.7629792,0.76674724,0.7674905,0.777772,0.7714307,0.7688325,0.80707765,0.7976531,0.7965782,0.78314817,0.7841518,0.7781081,0.77053463,0.7836251,0.75615263,0.76872516,0.80802536,0.8240939,0.8089112,0.8820063,0.84804773,0.85380244,0.86630607,0.84424883,0.8432348,0.84563935,0.84393716,0.84599435,0.8269844,0.7938667,0.7787527,0.821349,0.8239211,0.79979515,0.8551792,0.80717504,0.80529606,0.7999072,0.81958926,0.81528485,0.8068136,0.8110981,0.7657255,0.7645606,0.7673177,0.7757284,0.7691884,0.76583344,0.8071538,0.7972908,0.7936611,0.7780303,0.77577096,0.77187777,0.7735775,0.78183305,0.7594261,0.77100736,0.8082409,0.7927066,0.8232969,0.8076583,0.89109576,0.8550512,0.85930085,0.8735665,0.849616,0.8485438,0.8515973,0.8496231,0.8516449,0.82787955,0.79626286,0.7814169,0.8272809,0.8299559,0.80471337,0.8617616,0.8150659,0.809192,0.8097817,0.81757635,0.81632775,0.8074869,0.8084171,0.7607902,0.7656264,0.7669656,0.7770655,0.76939523,0.7667314,0.80719936,0.79689366,0.7949636,0.7810612,0.78205454,0.77660817,0.76764977,0.7820669,0.7547983,0.7674196,0.80777556,0.78616846
TC-Sequence-002,0.8690932,0.83613396,0.8297143,0.86098933,0.8376423,0.83638215,0.83979976,0.838264,0.8391527,0.8122465,0.79863864,0.78109235,0.8286342,0.7760533,0.777687,0.8197844,0.8196318,0.798303,0.8362458,0.822547,0.80263007,0.8046089,0.8214563,0.8202964,0.8129645,0.8114623,0.7582881,0.76704454,0.7662108,0.7780864,0.7634148,0.7599919,0.79994845,0.7882519,0.8017078,0.7761383,0.7803756,0.7704545,0.7661372,0.77943695,0.7562799,0.7634911,0.8013128,0.81612694,0.8017639,0.863936,0.8323585,0.8276988,0.857522,0.8345063,0.833421,0.83609736,0.8349109,0.83582467,0.8300489,0.7763225,0.77793884,0.81814075,0.8183259,0.7973036,0.83384955,0.81692326,0.8011739,0.7985277,0.8261052,0.82091796,0.8142431,0.81662405,0.76398015,0.76699924,0.7690793,0.77868056,0.76361144,0.7601404,0.80333817,0.7913085,0.80193925,0.77416337,0.77472275,0.76721627,0.7719543,0.7792405,0.7611369,0.7670323,0.8041303,0.788416,0.8118138,0.79851663,0.8690871,0.8361916,0.8295373,0.86151266,0.8373109,0.83617383,0.83959174,0.83817697,0.8388843,0.8286059,0.77565885,0.7773293,0.81987745,0.81962323,0.7983465,0.8373002,0.8227133,0.8029424,0.80484664,0.8213178,0.8197062,0.8131317,0.8116375,0.75679183,0.76619446,0.7660002,0.777689,0.7613411,0.7579036,0.80043054,0.7878119,0.80068177,0.77442145,0.77841574,0.7691481,0.7639631,0.7782006,0.75547516,0.7625222,0.8014773,0.7786549
TC-Sequence-003,0.86413854,0.8211968,0.80513346,0.82772905,0.8057499,0.80517495,0.8082795,0.8077283,0.80794,0.80665666,0.78911555,0.78235453,0.81485003,0.7879778,0.7888941,0.81609595,0.8120268,0.79367757,0.82691336,0.79124993,0.791981,0.81131196,0.8009334,0.8000154,0.7990748,0.81084406,0.77819103,0.7843625,0.7851906,0.7945502,0.7554078,0.7517065,0.7976943,0.77825075,0.77218497,0.7805339,0.78018355,0.7735701,0.8326981,0.8455374,0.8202615,0.8324317,0.8653445,0.8069781,0.7887068,0.85830677,0.8175963,0.80262804,0.8238615,0.80199975,0.80155075,0.80411613,0.8035523,0.8040557,0.8162192,0.7868842,0.78622675,0.8146641,0.8096685,0.7925446,0.8245894,0.7857442,0.7895908,0.8045887,0.8045467,0.80098987,0.80019414,0.8144949,0.77996397,0.7806934,0.7839404,0.7918403,0.7562499,0.75274956,0.79979897,0.7801143,0.77338624,0.7783565,0.77543664,0.7697183,0.83425736,0.841729,0.8213222,0.8339462,0.8622726,0.7899672,0.80678093,0.7893343,0.863888,0.8214178,0.8051106,0.8285623,0.8052758,0.80483496,0.807957,0.807485,0.807503,0.81504464,0.7875772,0.7883634,0.8158839,0.81185806,0.7935965,0.8281956,0.7912513,0.79217434,0.8114235,0.80128527,0.8004636,0.8001152,0.8111824,0.77654743,0.7829119,0.7847519,0.7942195,0.7544272,0.7511474,0.79900706,0.77821755,0.7717257,0.78037286,0.77956235,0.7731595,0.83255565,0.84534144,0.8207909,0.83340824,0.8666576,0.7806226
TC-Sequence-004,0.8478944,0.8041535,0.7936038,0.84524417,0.81389856,0.812726,0.81590027,0.8132758,0.8154682,0.7830385,0.7661067,0.78184885,0.80487585,0.7635026,0.7742537,0.8119375,0.80464447,0.7837186,0.8117566,0.8204462,0.7872055,0.81611043,0.8296029,0.82947886,0.82327795,0.8350152,0.7668002,0.77808416,0.76237893,0.7746956,0.73742384,0.73316735,0.7824356,0.7825881,0.80503064,0.7747445,0.7801447,0.7713183,0.7607647,0.80868256,0.76681155,0.75864553,0.81482565,0.7835696,0.76662195,0.841509,0.800247,0.7909266,0.8392302,0.8086318,0.8077042,0.81023496,0.8079552,0.809988,0.80512327,0.76289856,0.772529,0.808223,0.80255455,0.78192115,0.80894196,0.8149024,0.7845712,0.8103332,0.83074516,0.828784,0.82227784,0.8359883,0.76859784,0.7740981,0.76261383,0.77300155,0.7380473,0.73388124,0.78486794,0.78380066,0.80433077,0.77049106,0.77246904,0.7647244,0.76546466,0.8065004,0.7712327,0.7625054,0.8140094,0.78839296,0.78239405,0.7661054,0.84734637,0.80422604,0.7933222,0.8451866,0.8133675,0.81227565,0.81547856,0.8130134,0.8149017,0.80491126,0.76317984,0.77392125,0.81139034,0.80445725,0.7835667,0.8127916,0.8206408,0.78754234,0.8165305,0.8292501,0.83036005,0.8241788,0.83495635,0.7656089,0.77731985,0.76230216,0.7744118,0.7357681,0.7319637,0.7834735,0.7822877,0.8045497,0.7741689,0.7791869,0.7706651,0.7597883,0.8086272,0.76667744,0.7586893,0.81567425,0.7807972
