report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,26,0.8378721062953656,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,17,0.8622569091179791,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,25,0.8362033486366272,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,21,0.80647531577519,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,24,0.8610304594039917,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,25,0.8637160801887512,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,19,0.8088877483418113,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,23,0.8333386182785034,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,14,0.848536491394043,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,28,0.8278071752616337,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,23,0.8363378462584122,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,27,0.8477623506828591,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,26,0.8462135333281297,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,26,0.8108395659006559,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,19,0.846575821700849,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,27,0.8477037813928392,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,27,0.8281678954760233,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,10,0.856152331829071,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,25,0.8445071005821227,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,24,0.8460913151502609,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,23,0.8421329337617626,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,27,0.8370259956077293,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,29,0.8048535544296791,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,23,0.8171460887660151,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,28,0.8357040541512626,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,29,0.8091538034636399,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,30,0.8386823217074076,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,24,0.8339086721340815,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,8,0.8518839702010155,47,0.8293850396541839
