,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-ExampleInstrumentedTest-001,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-LoginActivity-001,TC-LoginActivity-002,TC-LoginActivity-003,TC-LoginActivity-004,TC-LoginActivity-005,TC-LoginActivity-006,TC-LoginActivity-007,TC-LoginActivity-008,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-RegistrationActivity-001,TC-RegistrationActivity-002,TC-RegistrationActivity-003,TC-RegistrationActivity-004,TC-RegistrationActivity-005,TC-RegistrationActivity-006,TC-RegistrationActivity-007,TC-RegistrationActivity-008,TC-RegistrationActivity-009,TC-RegistrationActivity-010,TC-Speedometer-001,TC-Speedometer-002,TC-Speedometer-003,TC-Speedometer-004,TC-Speedometer-005,TC-Speedometer-006,TC-Speedometer-007,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-ExampleUnitTest-1,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007,TC-HomeFragment-001,TC-HomeFragment-002,TC-HomeFragment-003,TC-HomeFragment-004,TC-HomeFragment-005,TC-HomeFragment-006,TC-HomeFragment-007,TC-HomeFragment-008,TC-ProfileFragment-001,TC-ProfileFragment-002,TC-ProfileFragment-003,TC-ProfileFragment-004,TC-ProfileFragment-005,TC-StatisticsFragment-001,TC-StatisticsFragment-002,TC-StatisticsFragment-003,TC-StatisticsFragment-004,TC-StatisticsFragment-005,TC-StatisticsFragment-006,TC-StatisticsFragment-007
TC-Registration-001,0.8275918,0.8205465,0.810808,0.8146931,0.8022933,0.78338075,0.7871849,0.7836655,0.785453,0.7906674,0.7858114,0.79963326,0.78894997,0.7950425,0.78367174,0.85626674,0.8428715,0.8323163,0.83068734,0.8315466,0.8332756,0.84035504,0.8357489,0.7776996,0.73793805,0.7735376,0.8282838,0.820403,0.81179637,0.8143021,0.8028047,0.87283504,0.87221444,0.8704777,0.86936826,0.87106645,0.8720443,0.8729985,0.87054336,0.8713645,0.87291014,0.74936986,0.7609652,0.7266237,0.737159,0.7464849,0.7262817,0.740013,0.75439864,0.7368446,0.76238525,0.7594449,0.74680436,0.74156874,0.75567985,0.77720106,0.7813135,0.78242767,0.78952193,0.7835702,0.7961476,0.7869157,0.7932316,0.78221035,0.85531086,0.83903325,0.826825,0.82490337,0.826325,0.8281544,0.8373233,0.83444935,0.77723116,0.7366553,0.7730237,0.8258447,0.81675756,0.8111405,0.80974865,0.8006203,0.8678456,0.8662844,0.8648257,0.86400455,0.8653836,0.8661114,0.8670651,0.8652457,0.86603755,0.8672457,0.74547255,0.7610221,0.72413397,0.73345995,0.74302846,0.7228354,0.7342856,0.75429046,0.73326325,0.7602111,0.75480425,0.7459221,0.7398079,0.7532363,0.78578913,0.78233325,0.78324467,0.7853754,0.7916769,0.7849004,0.7997463,0.7888048,0.79476345,0.7847919,0.8561089,0.8436476,0.8333688,0.8312143,0.83205605,0.8333389,0.83983123,0.8354981,0.7771648,0.7365446,0.7727869,0.8285327,0.8210181,0.8113245,0.81470895,0.8011726,0.873419,0.8733685,0.87217563,0.8706896,0.87228775,0.8731463,0.8742117,0.8719272,0.8726938,0.87408173,0.7486934,0.7619488,0.7288599,0.7366513,0.7464463,0.7248253,0.73947376,0.7538468,0.7380608,0.76271045,0.7594704,0.7472863,0.7411818,0.7553452,0.7860662,0.78275263,0.7851062,0.7906475,0.7852267,0.7998483,0.7889998,0.7951558,0.7842903,0.75185084,0.7339064,0.7607055,0.75749123,0.7461197,0.74039423,0.75347775,0.7832362,0.78438014,0.7914188,0.78646886,0.79947567,0.790205,0.79563,0.7849672,0.82908475,0.82019496,0.812244,0.8127196,0.7999006,0.75561094,0.7378569,0.75925756,0.7582202,0.7479179,0.7409302,0.75557995
TC-Login-002,0.8245546,0.81319356,0.8318534,0.8106729,0.8264088,0.77358127,0.7721297,0.78346807,0.7856965,0.785356,0.784209,0.80389565,0.78649133,0.7905239,0.7818796,0.87917054,0.86651796,0.8450433,0.8492196,0.8440629,0.8508456,0.85810375,0.8547649,0.7730656,0.7378579,0.7741605,0.8258078,0.8139421,0.83334494,0.81077605,0.8270854,0.83386356,0.8326051,0.82937807,0.8281868,0.8295115,0.8307677,0.83132863,0.8289622,0.83084774,0.832278,0.7316894,0.74792445,0.712868,0.7231486,0.7339265,0.714058,0.7237115,0.74385273,0.73068213,0.7531761,0.7545124,0.7374319,0.7316229,0.7464557,0.76630735,0.78067744,0.7815144,0.78365844,0.78140444,0.799302,0.7837667,0.7879266,0.77987266,0.8764148,0.8603016,0.8374047,0.8415266,0.83695674,0.8439063,0.8527572,0.85171604,0.77012813,0.7336185,0.7711658,0.82187366,0.8095378,0.8307414,0.8047179,0.82471555,0.8283218,0.8247021,0.8220873,0.82122314,0.82219017,0.8231584,0.8237803,0.82203436,0.8237274,0.82477945,0.7267133,0.7459276,0.709392,0.7184733,0.729697,0.70972663,0.71666795,0.74182457,0.7251401,0.7502475,0.7485091,0.7351012,0.72869027,0.7424388,0.7689295,0.77269787,0.78264326,0.78514737,0.78612345,0.7832368,0.80371535,0.78588897,0.7897814,0.78250015,0.8792083,0.8672943,0.84581965,0.8494935,0.8446567,0.85093284,0.8575139,0.85436285,0.77251005,0.736447,0.7730135,0.8261225,0.814271,0.8331492,0.8112049,0.82580775,0.834293,0.83299065,0.8304494,0.8289809,0.83020025,0.8313339,0.83205056,0.829836,0.8315081,0.8328444,0.73104656,0.7488663,0.7152373,0.72287107,0.73406065,0.71291226,0.7231895,0.7432192,0.731486,0.7534058,0.7543965,0.7378714,0.7311592,0.7459183,0.77043605,0.78305197,0.7855306,0.78561884,0.78345144,0.80409086,0.78665864,0.7908713,0.7823986,0.7417786,0.7280536,0.7516723,0.7529456,0.73699754,0.73070204,0.74450517,0.7834828,0.7851523,0.78621566,0.7850296,0.80391246,0.78793603,0.791258,0.7832684,0.8263569,0.8139505,0.8335431,0.80894196,0.8247945,0.744782,0.7312116,0.749884,0.7531035,0.7382767,0.73093104,0.74608743
TC-Logout-003,0.79066575,0.7844969,0.8961208,0.77735317,0.88731396,0.749318,0.761725,0.7637385,0.7626235,0.77037776,0.75293696,0.76688236,0.7665918,0.77083653,0.7556987,0.8285964,0.8166224,0.8110957,0.80886936,0.78872865,0.7920777,0.8208368,0.81002355,0.7547952,0.7404582,0.76498693,0.79189825,0.78525865,0.8972747,0.77813053,0.8874636,0.77771074,0.77179325,0.77239144,0.76876193,0.77010846,0.770941,0.77235734,0.7698508,0.77165914,0.7735758,0.70861626,0.7259798,0.7307042,0.72922295,0.72296244,0.72376263,0.7094161,0.72284496,0.74482757,0.73083925,0.72339004,0.7208577,0.70700336,0.7238029,0.744166,0.76308477,0.76055485,0.7696626,0.75121224,0.7641074,0.7655426,0.7695851,0.75568616,0.8260305,0.8106105,0.8058439,0.80325896,0.78382665,0.7872089,0.81659144,0.8079637,0.75342995,0.7374222,0.76097584,0.787137,0.78119224,0.8906926,0.7728224,0.884828,0.7722321,0.765466,0.76581484,0.76305044,0.7639177,0.7646537,0.76586616,0.7640211,0.7657519,0.76700073,0.70386785,0.7232322,0.7262971,0.7240908,0.7186749,0.7187592,0.7021824,0.7210499,0.74020916,0.7273556,0.7187661,0.71938336,0.7040828,0.7201662,0.7596467,0.7486582,0.7634385,0.76277506,0.7714979,0.75201416,0.7670995,0.7663567,0.77077484,0.75654507,0.8287426,0.8167566,0.8119254,0.8091376,0.7893337,0.79202235,0.8202956,0.8093137,0.75479245,0.7397087,0.7635846,0.7920076,0.7858263,0.89729613,0.77862084,0.8867508,0.7779478,0.77196544,0.77281547,0.7690588,0.7702836,0.77108234,0.7726087,0.770241,0.7719302,0.77343047,0.7080016,0.72698796,0.7326255,0.7292063,0.7231828,0.7229391,0.7089875,0.72237134,0.7458668,0.7303734,0.7231689,0.72126627,0.70654565,0.72305936,0.7602869,0.76369435,0.76267815,0.77068734,0.75259495,0.7676763,0.76693213,0.77132964,0.75665927,0.7216971,0.74320376,0.7297552,0.722429,0.7212107,0.706658,0.72265077,0.76286376,0.761394,0.77095735,0.7529966,0.7661028,0.7669983,0.7712729,0.75631124,0.7911047,0.78333324,0.8968704,0.7749756,0.88530666,0.7226082,0.74418396,0.72622484,0.7204843,0.72061,0.70462644,0.722404
TC-ProfileEdit-004,0.84050643,0.8798624,0.8242055,0.87836206,0.8161731,0.7460486,0.76322836,0.7517266,0.7502535,0.7623741,0.7494098,0.7684496,0.7484076,0.75826067,0.76100636,0.7909982,0.77731335,0.7824351,0.7731933,0.7661053,0.7602355,0.7876146,0.77837205,0.72872746,0.7083877,0.739316,0.83847,0.8773544,0.8226479,0.8768991,0.81459224,0.77760565,0.77978164,0.7777772,0.7800242,0.7779713,0.77865434,0.7797326,0.7775806,0.77901304,0.7804041,0.698751,0.7112753,0.68385863,0.71983194,0.7057012,0.69480664,0.70900637,0.72944784,0.7244831,0.73779917,0.72822976,0.7544563,0.72966003,0.7422149,0.74356145,0.75065625,0.74912786,0.76202446,0.74883056,0.7664602,0.747467,0.7571122,0.76024956,0.7908804,0.7745095,0.7785209,0.7683239,0.7629226,0.7570945,0.7850363,0.77738786,0.73117054,0.7084502,0.73970765,0.83478504,0.8729781,0.8200754,0.8702662,0.8111695,0.77528465,0.77548724,0.7737343,0.77574974,0.7739066,0.7744163,0.7755616,0.7737866,0.7753609,0.7762444,0.696192,0.71104586,0.6819209,0.71675223,0.70284384,0.69243115,0.70363086,0.7306243,0.72207856,0.7364838,0.72555315,0.7540897,0.7295804,0.74116206,0.7636429,0.7454577,0.7508037,0.7501255,0.7628538,0.7479516,0.7680139,0.7475693,0.75769925,0.7612333,0.7908516,0.7774135,0.7831148,0.77330756,0.76619333,0.7599589,0.7870847,0.77763826,0.72813416,0.7072071,0.7383063,0.8384986,0.87797284,0.8221884,0.8775821,0.8137305,0.7775702,0.77952904,0.7781073,0.77979815,0.7778152,0.7784355,0.77964437,0.77761644,0.7788252,0.780149,0.6981926,0.71235067,0.6861048,0.7195544,0.7057882,0.6937729,0.70876443,0.72904146,0.7256287,0.73803973,0.72768223,0.75499815,0.7292113,0.7419391,0.7623286,0.75032246,0.74936146,0.76181567,0.7481679,0.76784545,0.7473575,0.75768137,0.76079834,0.7277375,0.72227424,0.73620313,0.7266261,0.7532397,0.7284889,0.74031174,0.7520964,0.7503412,0.76340055,0.7507712,0.76903313,0.74984956,0.75936675,0.76248956,0.83919984,0.87681645,0.8229501,0.87519187,0.8118837,0.7308675,0.7262071,0.7357744,0.72799313,0.7558751,0.73030627,0.74263066
TC-DistanceCalculation-005,0.74540603,0.74931544,0.7280537,0.7478783,0.7296996,0.7528437,0.76390827,0.75116944,0.7494952,0.7591437,0.75500786,0.7516589,0.76187605,0.76660144,0.7568883,0.73179466,0.72631884,0.7275386,0.72485787,0.7181426,0.71833426,0.7319553,0.71619695,0.7330971,0.71002734,0.7527679,0.74801695,0.7515463,0.73128426,0.749629,0.73223484,0.75598913,0.75279975,0.75346243,0.7516519,0.7545586,0.7542559,0.75242966,0.7494221,0.75337857,0.7561701,0.74453974,0.7694228,0.7544213,0.7757301,0.76741314,0.7429159,0.7939845,0.7284146,0.7171018,0.7352786,0.73000824,0.7341043,0.72272015,0.73942816,0.7469805,0.7493065,0.74747396,0.75792515,0.7534214,0.7496896,0.76066196,0.76501024,0.755479,0.7305353,0.72210675,0.7240553,0.7201903,0.7142888,0.7140018,0.7289972,0.7156253,0.7326226,0.7074417,0.75106597,0.7460946,0.7477299,0.7306153,0.7460515,0.73014617,0.75264645,0.7477156,0.748203,0.7468225,0.74884164,0.7487744,0.7473787,0.744914,0.7485981,0.75016445,0.7397784,0.7674542,0.74916965,0.7722149,0.7626661,0.7397282,0.7879607,0.7279099,0.71422666,0.73270845,0.72517884,0.7314979,0.7198324,0.73646337,0.76233405,0.7519337,0.7509229,0.7501657,0.7600396,0.7543084,0.7520474,0.76289594,0.76703763,0.7586363,0.7308927,0.7274455,0.7291972,0.7257939,0.71958375,0.7190518,0.73194575,0.71553326,0.73282874,0.7090947,0.7520963,0.7474852,0.75184953,0.7301192,0.7500172,0.7302979,0.75684977,0.7531823,0.7541591,0.7519827,0.7545633,0.7544578,0.752918,0.7500423,0.75378084,0.7557685,0.7444223,0.77124417,0.7562774,0.7753803,0.76726747,0.7417389,0.7944796,0.7274696,0.71764725,0.73518896,0.7296818,0.73404014,0.7220981,0.7389714,0.7634443,0.7507175,0.7493359,0.7595594,0.7555234,0.75223184,0.7625329,0.76755816,0.7581053,0.72601986,0.7147957,0.73349965,0.7281276,0.73315597,0.7212801,0.7372199,0.7504973,0.7490215,0.7598084,0.75624776,0.7518146,0.7632897,0.76760954,0.7580223,0.747232,0.75042176,0.7304049,0.74798054,0.7296032,0.72820306,0.71715724,0.73293924,0.72881746,0.7343786,0.7219726,0.73888767
TC-EmissionsCalculation-006,0.74931574,0.7459223,0.736452,0.7451973,0.7330847,0.749917,0.76755667,0.74136066,0.7867816,0.7503687,0.77706414,0.73928034,0.74578667,0.7474016,0.77144694,0.7274046,0.7205584,0.7211352,0.7150073,0.7170489,0.71851534,0.72488195,0.71262175,0.7401451,0.7165273,0.74227166,0.750353,0.7464724,0.7383166,0.7461951,0.7342564,0.75817156,0.75253206,0.75388646,0.75262153,0.7522092,0.75684005,0.7527362,0.74937755,0.75403154,0.75324744,0.7574178,0.7676829,0.7622403,0.77330875,0.7802886,0.7667887,0.8032172,0.73792535,0.7337023,0.74048686,0.74111074,0.7386373,0.7281014,0.74781746,0.752861,0.7448283,0.7880159,0.75304997,0.7785275,0.74248004,0.75004077,0.7506504,0.7736547,0.7297532,0.7233628,0.72504663,0.7181469,0.71980196,0.7207451,0.7284756,0.71547794,0.74613076,0.7214564,0.74592656,0.75136465,0.7468841,0.73980224,0.7474486,0.73539245,0.7590886,0.7537316,0.7548322,0.75402004,0.7534492,0.7574282,0.7541919,0.7514374,0.75553405,0.7545054,0.7568145,0.7686549,0.76216865,0.7728521,0.77992964,0.7666894,0.8024787,0.7405267,0.73545575,0.74279386,0.7425603,0.7411592,0.72888076,0.74956894,0.7765267,0.7494785,0.7424411,0.7883283,0.75192726,0.77758515,0.74086785,0.74771786,0.7486045,0.77360916,0.72729015,0.722888,0.72370183,0.7168172,0.7196491,0.7202412,0.72569263,0.712448,0.74051833,0.71595347,0.7418317,0.7506996,0.7473476,0.73777175,0.74700904,0.7334836,0.7591363,0.752985,0.75448143,0.7529214,0.752376,0.7568954,0.7530901,0.7499186,0.75439036,0.75308335,0.7578962,0.7698452,0.76471037,0.77373415,0.78131664,0.76631093,0.80440784,0.7382222,0.73564196,0.7409525,0.7415697,0.73935676,0.7276207,0.7478579,0.7675516,0.741519,0.7876673,0.7507298,0.7779895,0.7403141,0.74680805,0.74805105,0.7729086,0.73702174,0.73269105,0.7396486,0.74010754,0.7384986,0.7270967,0.7463107,0.7404605,0.78687686,0.7507713,0.7772589,0.7389566,0.74662614,0.7477379,0.77175707,0.74968576,0.74455595,0.73789465,0.7431771,0.7310748,0.7382597,0.734147,0.7370763,0.739331,0.73894083,0.7265681,0.7472607
TC-EmissionsReport-007,0.79454046,0.79075617,0.7771506,0.78748477,0.77286595,0.7821033,0.8013636,0.78257686,0.8203252,0.791088,0.8003407,0.7804451,0.78268003,0.79077137,0.80181813,0.7692976,0.75790054,0.75458026,0.7474301,0.7415748,0.74243903,0.7615682,0.74614936,0.77102655,0.7463031,0.77988195,0.79592925,0.7915921,0.7794103,0.78808695,0.77392316,0.79137754,0.77984774,0.7786767,0.777747,0.77726746,0.77822864,0.78520036,0.7767418,0.7806507,0.77942216,0.75200284,0.77268875,0.7562398,0.74131805,0.7602484,0.7430495,0.7629289,0.7817327,0.7649323,0.7809471,0.7786397,0.77669024,0.7600104,0.7929231,0.7830573,0.7850901,0.82062113,0.7933015,0.8017161,0.7819165,0.78513956,0.7935166,0.8030415,0.7713467,0.7593207,0.7565695,0.7485887,0.7435472,0.7440183,0.76380044,0.7479804,0.7747071,0.7483702,0.7815051,0.7964803,0.79258883,0.7808357,0.7883792,0.7753252,0.79220253,0.7802401,0.7792462,0.77877843,0.7781836,0.7789235,0.78492767,0.7779654,0.7814904,0.7802955,0.7527463,0.77342844,0.7568238,0.7418807,0.760589,0.74384063,0.7604368,0.783216,0.7653296,0.7815883,0.7788782,0.7794517,0.7615391,0.79313505,0.807024,0.78111213,0.7822895,0.82086384,0.79297906,0.8000269,0.78097576,0.7836934,0.79114246,0.80349946,0.7686244,0.75835943,0.7562309,0.7482037,0.74259645,0.74283457,0.7610978,0.74538636,0.77037,0.744999,0.7787334,0.7958541,0.7922379,0.77847695,0.78881395,0.7728849,0.7919959,0.7798598,0.77937007,0.7780893,0.7774937,0.7784972,0.7850766,0.77720547,0.7808611,0.7793675,0.7517332,0.77360463,0.7586228,0.74124014,0.7609145,0.74252826,0.76209044,0.7817699,0.76656777,0.781842,0.778913,0.7774992,0.7600678,0.7919807,0.8003954,0.78187543,0.8204889,0.7915319,0.8001699,0.78096485,0.78308403,0.79142773,0.8027923,0.78102255,0.76381695,0.7803714,0.77792484,0.7767626,0.7595788,0.79173493,0.7825529,0.821256,0.7928071,0.8012786,0.78097236,0.7845753,0.79280615,0.80343497,0.79735386,0.791956,0.7802785,0.7869109,0.7720165,0.7834536,0.76660657,0.779517,0.77867806,0.7784959,0.76068765,0.79358006
TC-HistoricalData-008,0.81050014,0.81088173,0.7538169,0.78970104,0.74015486,0.7797841,0.78931594,0.7798936,0.7841438,0.7892838,0.7802801,0.77750796,0.7730318,0.78048676,0.78983146,0.762007,0.7497418,0.7481883,0.74096704,0.7428671,0.7424877,0.75095224,0.7398518,0.7577554,0.7295185,0.7747394,0.81173164,0.8116121,0.7557162,0.79000366,0.74158,0.7731513,0.7707117,0.7703115,0.76893246,0.7704663,0.7711098,0.7717715,0.774753,0.7746367,0.7704507,0.75794446,0.7679602,0.75339985,0.7447891,0.7657459,0.7469554,0.75168645,0.764638,0.754591,0.7691885,0.7866875,0.7784864,0.7657193,0.7867577,0.7732469,0.77733,0.7802071,0.7874675,0.7775396,0.7734399,0.7704247,0.7784409,0.7872944,0.7606214,0.7431685,0.74271536,0.7347383,0.7373371,0.7364946,0.74727744,0.7372143,0.75475276,0.7245005,0.77203596,0.8076525,0.80775523,0.753703,0.7847153,0.7384396,0.76900446,0.7640593,0.76369077,0.7626055,0.76362175,0.76416177,0.76483226,0.7671709,0.7673894,0.7640663,0.75340885,0.76530296,0.7499279,0.74006164,0.7606516,0.74277234,0.74436665,0.7622094,0.7501374,0.76533496,0.78035545,0.77514166,0.7617802,0.7833147,0.7851636,0.778549,0.77921253,0.78382844,0.79001975,0.7790617,0.7768909,0.7724837,0.7793193,0.790575,0.7607408,0.7485584,0.7483114,0.7402437,0.7424076,0.7413633,0.7494728,0.7381427,0.7566615,0.7279621,0.7734966,0.8112893,0.81184137,0.75411963,0.7898921,0.73897314,0.77357256,0.7705702,0.77077484,0.76897424,0.7703078,0.77100515,0.7717394,0.77444994,0.77442074,0.7702351,0.75737256,0.76870894,0.7552687,0.74455684,0.76569295,0.7459448,0.7512506,0.76353157,0.75549823,0.7690625,0.78667617,0.77847004,0.76498735,0.78641844,0.78744626,0.77936226,0.7837161,0.78968,0.77986133,0.77798814,0.77310264,0.78099144,0.79092145,0.76196104,0.75126076,0.76717365,0.78410023,0.7763615,0.7631688,0.7836714,0.77912194,0.78325087,0.7898017,0.78050953,0.77692187,0.77351874,0.7808566,0.7907753,0.8117023,0.8108457,0.75529134,0.7882735,0.73849064,0.76490533,0.75520223,0.7669757,0.7857344,0.77890754,0.7652987,0.7864363
TC-StartJourney-009,0.8116699,0.8044977,0.79132265,0.80244124,0.7874531,0.78174335,0.78196794,0.77811384,0.7725847,0.7811129,0.77256584,0.7807425,0.7895258,0.784158,0.78039074,0.7973774,0.7758793,0.7749553,0.76885366,0.75812644,0.75676316,0.7822499,0.77288574,0.77676827,0.75407434,0.8014155,0.8139915,0.8063952,0.79432327,0.80398685,0.7893479,0.798018,0.789744,0.78835344,0.7875113,0.78758734,0.7893485,0.79032207,0.78763074,0.79379034,0.7922169,0.75861835,0.7989586,0.7544036,0.75503325,0.76236457,0.7390153,0.7514287,0.7498734,0.7243979,0.7564616,0.7568611,0.74967396,0.7309038,0.74675107,0.7756469,0.773687,0.7678775,0.77917886,0.76818687,0.7750662,0.785434,0.7815741,0.7770099,0.7954069,0.7690681,0.7688524,0.7616041,0.75250965,0.7507211,0.77779156,0.77082217,0.77502835,0.7496161,0.7986084,0.8106996,0.8024477,0.79287434,0.7976932,0.7864827,0.7919339,0.78335214,0.7821892,0.7817652,0.7815896,0.78303796,0.7839784,0.78188515,0.7870764,0.785663,0.75431305,0.7957356,0.7500553,0.75041467,0.75829875,0.7349484,0.74329084,0.74856687,0.7215568,0.7522645,0.7492134,0.74764585,0.72584385,0.74341136,0.77984494,0.7809835,0.7767085,0.77204484,0.7818453,0.7710004,0.7800072,0.789798,0.78355455,0.78134614,0.79676265,0.7758763,0.77552825,0.76867175,0.7584219,0.75626945,0.7813819,0.7721121,0.77657413,0.7534778,0.80070436,0.8135018,0.8067724,0.7932848,0.8038262,0.78772724,0.798252,0.78972757,0.78899467,0.787744,0.7877809,0.7894751,0.7905161,0.787939,0.79372513,0.7919195,0.7584125,0.8003523,0.75664294,0.7546465,0.7624906,0.7380607,0.7510307,0.74864036,0.725016,0.75653213,0.75647056,0.74968493,0.7302433,0.74567306,0.77966917,0.77669364,0.7715154,0.7808088,0.77187246,0.78038484,0.7897958,0.78387856,0.78076965,0.746774,0.72123283,0.75413257,0.7541412,0.74796104,0.7289362,0.74398816,0.777001,0.7714504,0.7814713,0.77302194,0.78017545,0.7906198,0.78418034,0.7812666,0.81340134,0.8057746,0.79342425,0.8011281,0.7864789,0.7498654,0.72481996,0.7531097,0.75521547,0.7497162,0.72983307,0.7457215
TC-EndJourney-010,0.7886677,0.7869889,0.79050297,0.7827567,0.7883205,0.7757884,0.7748209,0.7640731,0.76050115,0.77184355,0.76013595,0.7654644,0.77133447,0.7826078,0.7698004,0.7751032,0.7570401,0.7603935,0.75652575,0.7452145,0.74703455,0.76410395,0.7570936,0.7518166,0.73057425,0.7884647,0.79104257,0.78928024,0.79329216,0.7851253,0.7901436,0.7760869,0.7687157,0.76775837,0.7664807,0.7664045,0.7680821,0.7688719,0.76834345,0.769531,0.7728399,0.74435693,0.77307993,0.7713935,0.75656646,0.7587142,0.7474117,0.7528653,0.73652065,0.73737407,0.74025524,0.74350226,0.7448125,0.7238431,0.74198896,0.77210295,0.7620787,0.758151,0.7717767,0.7576779,0.76208425,0.76940084,0.7813911,0.7684239,0.77467525,0.7531709,0.75791544,0.7526909,0.7425031,0.7437494,0.76331794,0.75714517,0.75289875,0.7295848,0.7866504,0.78892666,0.78610146,0.7924093,0.78043914,0.78846717,0.7723311,0.7652683,0.76444185,0.76366365,0.7633766,0.7647344,0.765479,0.7650229,0.7664389,0.76863164,0.7418443,0.77078164,0.76808465,0.75320315,0.7556505,0.7445408,0.746334,0.7366886,0.73590696,0.7385125,0.73841,0.7438835,0.72044194,0.74019116,0.77605504,0.77529114,0.763055,0.7605679,0.7725831,0.758485,0.76508677,0.7716425,0.78247744,0.77070284,0.7745275,0.75668216,0.76121414,0.75656736,0.7453926,0.746487,0.76345253,0.756238,0.75172365,0.7299533,0.7877154,0.7907329,0.7894374,0.79262316,0.7849044,0.788921,0.7763692,0.7686572,0.7682674,0.7665769,0.76646775,0.76807386,0.76894903,0.76840377,0.7694917,0.77224886,0.74414724,0.7744317,0.7737552,0.7563591,0.75911075,0.7466149,0.75268877,0.73583996,0.73800033,0.7402874,0.7431848,0.7448978,0.7232981,0.7408989,0.7728187,0.7628027,0.75942075,0.77160203,0.7594328,0.76506984,0.7712338,0.7827932,0.7702112,0.7344703,0.7350707,0.73873913,0.741691,0.74397427,0.7226608,0.7401447,0.76291615,0.75925905,0.7723174,0.76055336,0.7650899,0.7722585,0.78299665,0.7708572,0.79033446,0.7884583,0.792825,0.78196883,0.7877579,0.73647213,0.738007,0.7369606,0.7422059,0.7450546,0.723043,0.7411584
