test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result,run_id,project,unit,file,file_output_dir
TC-ExampleInstrumentedTest-001,Verify app context is correct,ExampleInstrumentedTest,"[""app/src/androidTest/java/com/example/shareshelf/ExampleInstrumentedTest.java""]","[""useAppContext""]","[""The app is installed and running""]","[""The app context""]","[""Verify the app context is correct""]","[""The app context is correct""]",,Code_File12,example_01,app/src/androidTest/java/com/example/shareshelf/ExampleInstrumentedTest.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_01__ExampleInstrumentedTest_001
TC-AdapterCard-001,AdapterCard constructor,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""AdapterCard""]","[""AdapterCard constructor is called with valid arguments""]","[""FirestoreRecyclerOptions<Noticeboard> options"", ""RecyclerViewClickListener listener""]","[""AdapterCard constructor is called with valid arguments""]","[""AdapterCard instance is created""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-002,AdapterCard onCreateViewHolder,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onCreateViewHolder""]","[""AdapterCard instance is created""]","[""ViewGroup parent"", ""int viewType""]","[""AdapterCard.onCreateViewHolder is called with valid arguments""]","[""ViewHolder instance is created""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-003,AdapterCard onBindViewHolder,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onBindViewHolder""]","[""AdapterCard instance is created"", ""ViewHolder instance is created""]","[""ViewHolder holder"", ""int position"", ""Noticeboard model""]","[""AdapterCard.onBindViewHolder is called with valid arguments""]","[""ViewHolder instance is updated with data from Noticeboard model""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-004,AdapterCard ViewHolder onClick,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onClick""]","[""AdapterCard instance is created"", ""ViewHolder instance is created""]","[""View view""]","[""ViewHolder.onClick is called with valid arguments""]","[""RecyclerViewClickListener.onClick is called with valid arguments""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-005,AdapterCard ViewHolder onClick,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onClick""]","[""AdapterCard instance is created"", ""ViewHolder instance is created""]","[""View view""]","[""ViewHolder.onClick is called with valid arguments""]","[""RecyclerViewClickListener.onClick is called with valid arguments""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-006,AdapterCard ViewHolder onClick,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onClick""]","[""AdapterCard instance is created"", ""ViewHolder instance is created""]","[""View view""]","[""ViewHolder.onClick is called with valid arguments""]","[""RecyclerViewClickListener.onClick is called with valid arguments""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-007,AdapterCard ViewHolder onClick,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onClick""]","[""AdapterCard instance is created"", ""ViewHolder instance is created""]","[""View view""]","[""ViewHolder.onClick is called with valid arguments""]","[""RecyclerViewClickListener.onClick is called with valid arguments""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-008,AdapterCard ViewHolder onClick,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onClick""]","[""AdapterCard instance is created"", ""ViewHolder instance is created""]","[""View view""]","[""ViewHolder.onClick is called with valid arguments""]","[""RecyclerViewClickListener.onClick is called with valid arguments""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
TC-AdapterCard-009,AdapterCard ViewHolder onClick,AdapterCard,"[""app/src/main/java/com/example/shareshelf/AdapterCard.java""]","[""onClick""]","[""AdapterCard instance is created"", ""ViewHolder instance is created""]","[""View view""]","[""ViewHolder.onClick is called with valid arguments""]","[""RecyclerViewClickListener.onClick is called with valid arguments""]",,Code_File12,example_02,app/src/main/java/com/example/shareshelf/AdapterCard.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File12/example_02__AdapterCard_001
