,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-ExampleUnitTest-1,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1,TC-ExampleInstrumentedTest-001,TC-ExampleInstrumentedTest-002,TC-AirQualityActivity-001,TC-AirQualityActivity-002,TC-AirQualityActivity-003,TC-AirQualityActivity-004,TC-AirQualityActivity-005,TC-AirQualityActivity-006,TC-AirQualityActivity-007,TC-AirQualityActivity-008,TC-AirQualityActivity-009,TC-MainActivity-001,TC-MainActivity-002,TC-MainActivity-003,TC-MainActivity-004,TC-MainActivity-005,TC-MainActivity-006,TC-MainActivity-007,TC-MainActivity-008,TC-MainActivity-009,TC-MainActivity-010,TC-MapActivity-001,TC-MapActivity-002,TC-MapActivity-003,TC-MapActivity-004,`TC-NotificationReceiver-001`,`TC-NotificationReceiver-002`,`TC-NotificationReceiver-003`,`TC-NotificationReceiver-004`,TC-TipsActivity-001,TC-TipsActivity-002,TC-TipsActivity-003,TC-TipsActivity-004,TC-TipsActivity-005,TC-Tips-001,TC-Tips-002,TC-Tips-003,TC-WidgetProvider-001,TC-WidgetProvider-002,TC-WidgetProvider-003,TC-WidgetProvider-004,TC-WidgetProvider-005,TC-ExampleUnitTest-1
TC-MapInteraction-001,0.8324505,0.80355096,0.8119569,0.8383766,0.8237146,0.8233081,0.8256099,0.8263042,0.82495034,0.8121016,0.8060708,0.764398,0.8243957,0.7939974,0.7980458,0.8192873,0.8217077,0.8043393,0.83465403,0.8710518,0.82223403,0.7989033,0.856266,0.8677808,0.84733987,0.8500027,0.79319715,0.78287137,0.7763095,0.7843242,0.7256137,0.724036,0.7929299,0.80893326,0.8345022,0.7446208,0.7480316,0.73926187,0.75933766,0.7865829,0.7564478,0.764421,0.7988485,0.80331504,0.7960336,0.8170599,0.7930348,0.8030464,0.8262154,0.8124634,0.81204873,0.81397814,0.8145107,0.81363,0.81653273,0.78191483,0.78739405,0.8033844,0.80554664,0.78804195,0.823177,0.85386723,0.8093934,0.78276145,0.8468551,0.8546171,0.83680713,0.8405219,0.7867622,0.77387476,0.76925033,0.7742789,0.7187335,0.71673334,0.78452563,0.80031896,0.82271963,0.73324,0.73309493,0.7257835,0.75748956,0.777871,0.75249887,0.7590494,0.7911817,0.75885487,0.81186426,0.8053152,0.8325756,0.8036711,0.812452,0.8391838,0.82300764,0.82273114,0.8250044,0.8257668,0.824311,0.82443106,0.79378676,0.79817915,0.8191344,0.8217939,0.8040054,0.83560747,0.8709221,0.8223347,0.7984368,0.8559871,0.86722225,0.8474803,0.84995955,0.7920339,0.7822401,0.7756799,0.7838465,0.72275144,0.72099555,0.79209864,0.8077643,0.8322542,0.7410495,0.7448298,0.7368728,0.75615835,0.7853216,0.75496906,0.7627033,0.798592,0.75915337
TC-MapInteraction-002,0.80903846,0.7789887,0.8018874,0.83873963,0.82496154,0.82399786,0.8258671,0.82382905,0.8251413,0.77834547,0.7735963,0.76462543,0.8031211,0.75736,0.76069134,0.7848785,0.78554654,0.76845384,0.8041142,0.8328333,0.79092175,0.76979125,0.82368374,0.8273381,0.826196,0.8221036,0.75479877,0.75479877,0.7480483,0.7578907,0.73751485,0.7340802,0.77269834,0.76840234,0.8059443,0.7619649,0.7767099,0.75672776,0.7353995,0.7665038,0.73985285,0.7454808,0.7760065,0.7877799,0.780553,0.8116894,0.78103966,0.8054228,0.8402975,0.82641685,0.8257238,0.8272229,0.82570004,0.8268801,0.8067563,0.76082873,0.7635369,0.78707755,0.7874679,0.7703487,0.80721587,0.83119553,0.7928302,0.76841027,0.83198845,0.830096,0.8291056,0.8288816,0.7620971,0.7589873,0.75515497,0.7609955,0.7409471,0.73760873,0.7789432,0.7746604,0.8087568,0.76381075,0.774876,0.75687146,0.744256,0.76820654,0.7469136,0.7486317,0.78188694,0.77454877,0.77822006,0.7733624,0.8090141,0.7787991,0.8021022,0.83915377,0.8242029,0.8235072,0.82535136,0.82342017,0.8246032,0.8024921,0.7562696,0.7599298,0.7841956,0.78490615,0.76778436,0.80526286,0.83269954,0.7911184,0.7689538,0.82369363,0.8268684,0.826875,0.8219651,0.7532462,0.75369704,0.74748087,0.75704277,0.73532784,0.7321576,0.77263194,0.76791114,0.80507475,0.76084995,0.77549064,0.75601506,0.73343945,0.76534,0.73928416,0.7449821,0.7765622,0.7621086
TC-MapInteraction-003,0.7855879,0.75878006,0.77252805,0.8084725,0.78768224,0.7861403,0.78665495,0.78684324,0.7866802,0.7547441,0.7499473,0.7426913,0.7681564,0.7368486,0.7461302,0.75782144,0.75909615,0.740516,0.77081466,0.8015621,0.7512781,0.79586273,0.78090924,0.7900142,0.78878677,0.7871939,0.73587686,0.7774422,0.7722718,0.7745861,0.7511149,0.7500214,0.7539829,0.7515996,0.79406035,0.7279415,0.72844505,0.7227833,0.72787285,0.76683867,0.7293508,0.74276644,0.77161425,0.75831264,0.7509618,0.7844442,0.75959194,0.7737583,0.80740434,0.7868787,0.7856951,0.7861214,0.7864258,0.7863804,0.7708169,0.7392992,0.74677956,0.75878847,0.75910896,0.7417338,0.7729521,0.7984994,0.75230193,0.78994817,0.78592885,0.7918583,0.7896344,0.791244,0.7406516,0.77567554,0.77309364,0.7737351,0.75145924,0.7511512,0.75689644,0.7548988,0.7927876,0.72703046,0.7261137,0.72085416,0.7338644,0.76616377,0.73464584,0.7459873,0.77353144,0.7498216,0.7547452,0.7498133,0.7856147,0.7590531,0.773065,0.8094167,0.78702784,0.78578466,0.78629184,0.78654516,0.7862874,0.76826286,0.73629576,0.7456,0.7573602,0.7584916,0.74007356,0.7720947,0.8012221,0.7514692,0.79578704,0.7809926,0.78967327,0.7894329,0.7872509,0.73477507,0.77657634,0.7718484,0.7741208,0.75033647,0.7493763,0.7549827,0.7518442,0.7937829,0.7272552,0.72765654,0.72228324,0.7265549,0.7665565,0.7290705,0.7430147,0.77253574,0.74056345
TC-DataIntegration-004,0.8420862,0.80765057,0.80376786,0.8457891,0.8279407,0.8257691,0.8267373,0.8259232,0.8276104,0.7639267,0.764249,0.7115097,0.7642462,0.7464512,0.752721,0.7797035,0.77224886,0.75405174,0.8056546,0.7676706,0.7437793,0.7971147,0.75221574,0.7692047,0.76153845,0.7617979,0.75117224,0.79162294,0.7874392,0.7911705,0.72364,0.7206851,0.7369559,0.7411649,0.7522221,0.70429766,0.7159027,0.70861644,0.71254015,0.75152516,0.7119587,0.72473466,0.758515,0.77253056,0.77215934,0.8428712,0.8099619,0.80746615,0.8467413,0.8307293,0.829088,0.8298235,0.82920074,0.8306074,0.76989067,0.75236773,0.7582284,0.78355956,0.7763977,0.75874305,0.8084269,0.7690301,0.7480775,0.7938945,0.7643461,0.77506584,0.76745665,0.77190846,0.7608334,0.7940235,0.7920486,0.793612,0.7271917,0.72531474,0.7449069,0.7472267,0.7577289,0.7090508,0.71867394,0.71217895,0.72308993,0.7563698,0.7223251,0.7320401,0.76723355,0.7249127,0.7640816,0.764578,0.84216607,0.80789393,0.80404395,0.84648424,0.8277364,0.82577705,0.82681847,0.82602286,0.827479,0.76450217,0.74584466,0.75234175,0.77893084,0.7717253,0.7539239,0.80706203,0.7675719,0.7436725,0.7972454,0.7526672,0.7684954,0.7615749,0.7613249,0.75016344,0.79105,0.78737694,0.79053664,0.72220266,0.71903664,0.73745495,0.7407318,0.7512105,0.70295626,0.7144457,0.7074839,0.71047354,0.75096023,0.7114789,0.72391003,0.75888336,0.7080717
TC-DataIntegration-005,0.8293773,0.79135835,0.78533053,0.8253282,0.80854553,0.80616957,0.8063158,0.80537045,0.8080312,0.7956822,0.7961767,0.75901103,0.79599494,0.78578514,0.7941251,0.8260994,0.8176703,0.79960895,0.8043623,0.82023114,0.78255314,0.7704946,0.801059,0.82040226,0.8039565,0.7988832,0.7814531,0.7719519,0.76520014,0.7748546,0.69658744,0.69442856,0.7477366,0.7657876,0.7912916,0.73260766,0.7470789,0.7393271,0.75921077,0.79239726,0.7563046,0.7601303,0.80085945,0.7949401,0.7942064,0.8225364,0.78656954,0.78219974,0.819524,0.80322856,0.8013313,0.8016869,0.8006066,0.80305976,0.7941773,0.77907395,0.7893746,0.8178613,0.80812716,0.79163975,0.8006221,0.80988437,0.77700186,0.7630707,0.80244654,0.81670374,0.8011038,0.7988384,0.78072333,0.76761156,0.76249933,0.7701285,0.6969638,0.69460565,0.7484587,0.764806,0.7882825,0.728805,0.73786545,0.73171574,0.7615851,0.7879174,0.7579222,0.75873053,0.7976554,0.75933075,0.79663897,0.79648,0.82962614,0.7915648,0.7859309,0.8265557,0.8082326,0.8062159,0.80639476,0.8054955,0.80795324,0.7955713,0.78570664,0.79438156,0.82659113,0.8178276,0.8000937,0.805998,0.8205937,0.7829298,0.7705648,0.80230826,0.8200679,0.8047794,0.7994311,0.78065825,0.7714122,0.76516974,0.77489316,0.6947007,0.6923126,0.74797297,0.76528823,0.7898577,0.7308217,0.74513483,0.7380613,0.7568403,0.79202294,0.755977,0.75942075,0.8014864,0.754516
TC-Compatibility-006,0.83072096,0.81669647,0.7935022,0.80826294,0.78395385,0.7866677,0.78418255,0.7933073,0.78620887,0.84187746,0.82212836,0.78936136,0.8219421,0.8036573,0.80919707,0.83116466,0.8377527,0.8362466,0.8367625,0.8408791,0.82704484,0.80100834,0.8387228,0.83356273,0.8010108,0.81096494,0.7882062,0.77669066,0.77086157,0.78221637,0.7417276,0.7453236,0.8091474,0.80427164,0.7916846,0.7550256,0.7547101,0.74509746,0.77988094,0.81257635,0.76922005,0.7952194,0.83237636,0.8244461,0.803974,0.80761003,0.79786634,0.77787566,0.7896625,0.7649572,0.7671192,0.765255,0.77259886,0.7669445,0.80659515,0.78135985,0.78789735,0.8046717,0.8103228,0.8080593,0.81851226,0.8139192,0.8052614,0.7774368,0.81957734,0.8153195,0.78576016,0.7963845,0.77234876,0.7589506,0.7544522,0.7634127,0.72837543,0.7308643,0.7916882,0.7886965,0.773708,0.7351486,0.7297887,0.72342896,0.773351,0.7956787,0.7584748,0.78493,0.8127995,0.77390295,0.84164596,0.8214464,0.8303373,0.81665516,0.7935879,0.8087976,0.78252554,0.78538287,0.78300613,0.79183996,0.7848847,0.8211417,0.8030034,0.8091104,0.8310125,0.8377863,0.8356093,0.8374716,0.839615,0.82618695,0.79980344,0.8373462,0.8325758,0.80041677,0.8105263,0.7862377,0.77512103,0.7700234,0.7815524,0.7382941,0.7418198,0.8080878,0.8018677,0.7878177,0.7507999,0.750912,0.7419512,0.77587664,0.81040204,0.76696455,0.79310066,0.831523,0.78301793
TC-Notifications-007,0.80950016,0.7935576,0.792249,0.8199989,0.79149115,0.7932749,0.79721946,0.7929654,0.79267097,0.80193484,0.7920214,0.7281344,0.7733793,0.8333618,0.843063,0.7891685,0.7918438,0.77603114,0.80229473,0.7633915,0.7660574,0.7958532,0.76810056,0.77780294,0.77177525,0.7583039,0.84344363,0.8527378,0.8508183,0.8585843,0.7325732,0.7332078,0.7743311,0.7735313,0.7652811,0.7172223,0.723561,0.7114858,0.7513617,0.7833667,0.75099325,0.75537425,0.78212905,0.8011532,0.7910402,0.8039391,0.78988457,0.7900507,0.8158401,0.78831244,0.78964686,0.7928955,0.78950495,0.78936595,0.77333283,0.8297247,0.8370242,0.7840674,0.78578526,0.7716025,0.7996762,0.7584459,0.76353437,0.7862753,0.7715389,0.7774475,0.77096826,0.7614289,0.8412255,0.84650683,0.8467318,0.8506255,0.73017704,0.7308874,0.7736357,0.772252,0.7616161,0.7158277,0.7208844,0.7093396,0.7535043,0.7807597,0.7539123,0.755356,0.78047216,0.73311555,0.80242896,0.79226786,0.8094767,0.7937493,0.7923771,0.8205837,0.790869,0.79276145,0.79651576,0.7925665,0.7920671,0.7733013,0.83306515,0.8430251,0.78864723,0.7917458,0.7756779,0.8033227,0.76336455,0.76624846,0.7956414,0.7686835,0.7777255,0.7719141,0.75792825,0.8428211,0.85221416,0.8504993,0.858178,0.7302866,0.7313465,0.7750459,0.7729749,0.7641708,0.71534145,0.7220135,0.7103137,0.74950016,0.7827393,0.75068694,0.7550192,0.78256696,0.72434765
TC-NotificationSystem-008,0.79826677,0.78789955,0.804141,0.8082844,0.77689904,0.77732897,0.7777296,0.78395873,0.7782024,0.7744677,0.7606931,0.72612417,0.7606148,0.85267335,0.8359431,0.78714097,0.7904687,0.7778884,0.79202545,0.75716496,0.76053405,0.817105,0.74258167,0.7579609,0.75886804,0.7452188,0.83275,0.8762418,0.8783773,0.88021684,0.76730716,0.7694899,0.7705591,0.77083397,0.7639094,0.71762323,0.7196028,0.70994675,0.7389912,0.77935666,0.73359513,0.75468534,0.77702117,0.7756916,0.760959,0.79425347,0.78583753,0.8021214,0.804029,0.773821,0.7741357,0.7746021,0.7798485,0.77509326,0.76088506,0.849962,0.8315866,0.7836341,0.7849924,0.7747898,0.7907353,0.7519586,0.75918376,0.8061036,0.7480289,0.7589658,0.75872195,0.7501523,0.8316425,0.86884844,0.87195927,0.871454,0.7632671,0.7649327,0.77102387,0.7700478,0.76090837,0.7170824,0.71776575,0.708526,0.7430315,0.77833784,0.7373389,0.7552848,0.7764197,0.731631,0.7750968,0.7605323,0.7985308,0.78812003,0.8046946,0.8091825,0.7762825,0.7768709,0.7772889,0.7833729,0.7776788,0.76081795,0.8524186,0.8360348,0.78638387,0.79006624,0.77729857,0.79341793,0.7565093,0.7605145,0.8171198,0.74287343,0.7574186,0.75898397,0.7447432,0.8323826,0.87591386,0.87833333,0.8799255,0.76648176,0.7685988,0.77179575,0.7709074,0.76348335,0.71638185,0.71851337,0.7092219,0.73721313,0.77886295,0.73327684,0.7544104,0.7776525,0.7228088
TC-NotificationSystem-009,0.7684088,0.7557309,0.76012385,0.78629076,0.7779819,0.77233803,0.7721867,0.77215123,0.7746307,0.7725549,0.77259,0.7343554,0.7514943,0.8224669,0.8224553,0.77872103,0.78994256,0.7702124,0.7502751,0.7493844,0.75358546,0.75388306,0.7529918,0.75760233,0.7598625,0.7448375,0.81035674,0.80709225,0.80497867,0.8100298,0.70810837,0.7130424,0.7464898,0.7450899,0.7465714,0.717847,0.7224158,0.7093421,0.7285768,0.78045845,0.7410439,0.74244523,0.77674043,0.7627388,0.7626765,0.75692505,0.74616146,0.75248164,0.77614015,0.76676446,0.76220655,0.76220816,0.7619479,0.7641716,0.7460355,0.80931365,0.80993617,0.7645585,0.7724125,0.75645924,0.74380517,0.73624766,0.74240893,0.7401302,0.7479855,0.7505921,0.7524456,0.73982537,0.8006261,0.7954016,0.7952846,0.7977028,0.70116806,0.70547557,0.73884547,0.7381446,0.737741,0.7086639,0.70970553,0.6970513,0.72685194,0.7703997,0.7381456,0.73797446,0.7663158,0.7297652,0.7735342,0.77318347,0.7691957,0.7565053,0.76132673,0.7877849,0.7776027,0.7724965,0.7723072,0.77228194,0.77460086,0.7519101,0.82235605,0.8231372,0.7786894,0.7895234,0.7702419,0.752049,0.74957067,0.75411344,0.7540761,0.7540078,0.75774676,0.76058924,0.745015,0.8102946,0.80688703,0.80532444,0.81068385,0.7068772,0.7119486,0.74763155,0.74507576,0.7455219,0.71695656,0.7216097,0.7086667,0.72737056,0.7804091,0.74084955,0.7423939,0.7779208,0.7316382
TC-PracticalTips-010,0.7941122,0.7655307,0.7517166,0.7779768,0.75755817,0.7580776,0.7598104,0.75623393,0.7599945,0.8025092,0.79035234,0.78842914,0.7894724,0.77073514,0.78013086,0.7953631,0.7870357,0.78312564,0.7896729,0.7732356,0.82738507,0.7729547,0.7881056,0.77912396,0.80874443,0.7641892,0.7537036,0.7472785,0.73953104,0.7523241,0.7984364,0.7990094,0.8282196,0.7967673,0.78187525,0.8180555,0.812996,0.80787396,0.7485018,0.77479565,0.7468294,0.75486743,0.7916719,0.80038077,0.78633225,0.788563,0.76076484,0.7498107,0.77371764,0.7520925,0.75250375,0.7540065,0.7509549,0.75430894,0.7849668,0.76431614,0.772398,0.7861469,0.7772556,0.77450776,0.78502446,0.763842,0.8194308,0.7612637,0.78774995,0.7767974,0.8068967,0.7668894,0.75209284,0.74308366,0.7387448,0.74830586,0.7924447,0.7932466,0.8241732,0.7928255,0.7755762,0.8098881,0.80320644,0.7996881,0.7495407,0.7692343,0.7468215,0.7517855,0.786672,0.787616,0.80283976,0.7906865,0.7932964,0.76495206,0.75140077,0.7780876,0.756268,0.75704515,0.75855917,0.75524634,0.7587253,0.7878406,0.76963484,0.7792468,0.7945833,0.78666514,0.7823972,0.79019105,0.77308077,0.8272331,0.7718301,0.78720963,0.7784757,0.8085271,0.76390713,0.75090104,0.7454829,0.7385658,0.7509153,0.7961413,0.79720306,0.8270638,0.79478157,0.77916014,0.8156481,0.8110448,0.8064226,0.74531484,0.77272165,0.7457128,0.7535171,0.7915886,0.784269
