test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result,run_id,project,unit,file,file_output_dir
TC-Utilities-001,Get chat list,Utilities,"[""`app/src/main/java/Utilities/UserData.java`""]","[""`getChat()`""]","[""User is logged in and has a chat list""]","[""None""]","[""Call `getChat()`"", ""Verify that the returned list is not null"", ""Verify that the list contains at least one chat""]","[""The list of chats is returned and is not null"", ""`getFridge()`:""]",,Code_File31,Utilities_19,`app/src/main/java/Utilities/UserData.java`,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/Utilities_19__UserData_001
TC-Utilities-002,Get fridge list,Utilities,"[""`app/src/main/java/Utilities/UserData.java`""]","[""`getFridge()`""]","[""User is logged in and has a fridge list""]","[""None""]","[""Call `getFridge()`"", ""Verify that the returned list is not null"", ""Verify that the list contains at least one item""]","[""The list of items in the fridge is returned and is not null"", ""`getUserId()`:""]",,Code_File31,Utilities_19,`app/src/main/java/Utilities/UserData.java`,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/Utilities_19__UserData_001
TC-Utilities-003,Get user ID,Utilities,"[""`app/src/main/java/Utilities/UserData.java`""]","[""`getUserId()`""]","[""User is logged in""]","[""None""]","[""Call `getUserId()`"", ""Verify that the returned user ID is not null"", ""Verify that the user ID is the same as the one in the Firebase authentication""]","[""The user ID is returned and is not null, and it matches the one in the Firebase authentication"", ""`load()`:""]",,Code_File31,Utilities_19,`app/src/main/java/Utilities/UserData.java`,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/Utilities_19__UserData_001
TC-Utilities-004,Load user data,Utilities,"[""`app/src/main/java/Utilities/UserData.java`""]","[""`load()`""]","[""User is logged in""]","[""None""]","[""Call `load()`"", ""Verify that the user data is loaded successfully"", ""Verify that the user ID is the same as the one in the Firebase authentication""]","[""The user data is loaded successfully, and the user ID is the same as the one in the Firebase authentication"", ""`reloadChat()`:""]",,Code_File31,Utilities_19,`app/src/main/java/Utilities/UserData.java`,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/Utilities_19__UserData_001
TC-Utilities-005,Reload chat list,Utilities,"[""`app/src/main/java/Utilities/UserData.java`""]","[""`reloadChat()`""]","[""User is logged in and has a chat list""]","[""None""]","[""Call `reloadChat()`"", ""Verify that the chat list is reloaded successfully"", ""Verify that the list contains at least one chat""]","[""The chat list is reloaded successfully, and the list contains at least one chat"", ""`reloadFridge()`:""]",,Code_File31,Utilities_19,`app/src/main/java/Utilities/UserData.java`,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/Utilities_19__UserData_001
TC-Utilities-006,Reload fridge list,Utilities,"[""`app/src/main/java/Utilities/UserData.java`""]","[""`reloadFridge()`""]","[""User is logged in and has a fridge list""]","[""None""]","[""Call `reloadFridge()`"", ""Verify that the fridge list is reloaded successfully"", ""Verify that the list contains at least one item""]","[""The fridge list is reloaded successfully, and the list contains at least one item""]",,Code_File31,Utilities_19,`app/src/main/java/Utilities/UserData.java`,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/Utilities_19__UserData_001
TC-AddressActivity-001,Test unlockInterface method,AddressActivity,"[""app/src/main/java/com/myfood/mobile/AddressActivity.java""]","[""unlockInterface""]","[""lock is true""]","[""lock is set to true""]","[""call unlockInterface()""]","[""lock is set to false""]",,Code_File31,app_01,app/src/main/java/com/myfood/mobile/AddressActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/app_01__AddressActivity_004
TC-AddressActivity-002,Test isUnlock method,AddressActivity,"[""app/src/main/java/com/myfood/mobile/AddressActivity.java""]","[""isUnlock""]","[""lock is true""]","[""lock is set to true""]","[""call isUnlock()""]","[""isUnlock() returns true""]",,Code_File31,app_01,app/src/main/java/com/myfood/mobile/AddressActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/app_01__AddressActivity_004
TC-AddressActivity-003,Test onBackPressed method,AddressActivity,"[""app/src/main/java/com/myfood/mobile/AddressActivity.java""]","[""onBackPressed""]","[""lock is true""]","[""lock is set to true""]","[""call onBackPressed()""]","[""lock is set to false""]",,Code_File31,app_01,app/src/main/java/com/myfood/mobile/AddressActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/app_01__AddressActivity_004
TC-AddressActivity-004,Test onCreate method,AddressActivity,"[""app/src/main/java/com/myfood/mobile/AddressActivity.java""]","[""onCreate""]","[""lock is true""]","[""lock is set to true""]","[""call onCreate()""]","[""lock is set to false""]",,Code_File31,app_01,app/src/main/java/com/myfood/mobile/AddressActivity.java,/content/drive/MyDrive/CodeFiles_TestCase/codellama/Code_File31/app_01__AddressActivity_004
