run_id,project,project_path,unit,unit_path,file,file_output_dir,methods,ui,tests,api_map,raw,csv,seconds
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/build.gradle.kts,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__build.gradle_001,0,0,0,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__build.gradle_001/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__build.gradle_001/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__build.gradle_001/testcases.csv,0.58
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/androidTest/java/com/example/ecodriving/ExampleInstrumentedTest.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleInstrumentedTest_002,1,0,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleInstrumentedTest_002/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleInstrumentedTest_002/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleInstrumentedTest_002/testcases.csv,6.1
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/main/java/com/example/ecodriving/LoginActivity.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__LoginActivity_003,4,5,7,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__LoginActivity_003/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__LoginActivity_003/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__LoginActivity_003/testcases.csv,66.05
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/main/java/com/example/ecodriving/MainActivity.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__MainActivity_004,1,1,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__MainActivity_004/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__MainActivity_004/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__MainActivity_004/testcases.csv,11.13
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/main/java/com/example/ecodriving/RegistrationActivity.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__RegistrationActivity_005,4,9,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__RegistrationActivity_005/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__RegistrationActivity_005/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__RegistrationActivity_005/testcases.csv,71.68
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/main/java/com/example/ecodriving/Speedometer.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__Speedometer_006,12,0,14,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__Speedometer_006/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__Speedometer_006/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__Speedometer_006/testcases.csv,117.8
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/main/java/com/example/ecodriving/ui/Profile/ProfileFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ProfileFragment_007,5,2,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ProfileFragment_007/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ProfileFragment_007/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ProfileFragment_007/testcases.csv,84.63
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/main/java/com/example/ecodriving/ui/home/HomeFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__HomeFragment_008,12,6,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__HomeFragment_008/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__HomeFragment_008/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__HomeFragment_008/testcases.csv,135.6
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__StatisticsFragment_009,10,0,10,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__StatisticsFragment_009/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__StatisticsFragment_009/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__StatisticsFragment_009/testcases.csv,106.23
1,Code_File2,/content/drive/MyDrive/All_Code_Files_1/Code_File2,app_01,/content/drive/MyDrive/All_Code_Files_1/Code_File2/Ecodriving/app,Ecodriving/app/src/test/java/com/example/ecodriving/ExampleUnitTest.java,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleUnitTest_010,1,0,1,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleUnitTest_010/api_map.json,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleUnitTest_010/testcases_raw.txt,/content/drive/MyDrive/PHASE3_File1_TestCases/Qwen__Qwen2.5-Coder-7B-Instruct/run_1/CODE_TESTCASES_FILEWISE/Code_File2/app_01__ExampleUnitTest_010/testcases.csv,5.02
