report_folder,model_name,uml_txt_file,testcase_csv_file,num_testcases,num_concepts,num_flows,num_validations,concept_coverage,flow_coverage,validation_coverage,semantic_coverage,validation_status
Report_10_uml_pages,BAAI/bge-large-en-v1.5,Report_10_uml_pages.txt,Report_10_uml_pages_testcases.csv,25,30,43,15,0.7597344160079956,0.7898889599844466,0.7624811967213948,0.7707015242379457,computed_from_txt_validations
Report_12_uml_pages,BAAI/bge-large-en-v1.5,Report_12_uml_pages.txt,Report_12_uml_pages_testcases.csv,25,50,145,24,0.7420162212848663,0.7781250665927756,0.7740308344364166,0.7647240407713528,computed_from_txt_validations
Report_13_uml_pages,BAAI/bge-large-en-v1.5,Report_13_uml_pages.txt,Report_13_uml_pages_testcases.csv,20,10,27,0,0.704166704416275,0.7451770967907376,1.0,0.8164479337356708,no_validations_in_txt_assumed_100_percent
Report_14_uml_pages,BAAI/bge-large-en-v1.5,Report_14_uml_pages.txt,Report_14_uml_pages_testcases.csv,10,60,56,13,0.7393961091836293,0.7811219511287553,0.7592570506609403,0.7599250369911082,computed_from_txt_validations
Report_15_uml_pages,BAAI/bge-large-en-v1.5,Report_15_uml_pages.txt,Report_15_uml_pages_testcases.csv,29,24,47,3,0.7758153676986694,0.810370072405389,0.7713376879692078,0.7858410426910888,computed_from_txt_validations
Report_16_uml_pages,BAAI/bge-large-en-v1.5,Report_16_uml_pages.txt,Report_16_uml_pages_testcases.csv,25,43,8,0,0.7543239094490228,0.7901545837521553,1.0,0.8481594977337261,no_validations_in_txt_assumed_100_percent
Report_19_uml_pages,BAAI/bge-large-en-v1.5,Report_19_uml_pages.txt,Report_19_uml_pages_testcases.csv,20,10,27,0,0.704166704416275,0.7451770967907376,1.0,0.8164479337356708,no_validations_in_txt_assumed_100_percent
Report_1_uml_pages,BAAI/bge-large-en-v1.5,Report_1_uml_pages.txt,Report_1_uml_pages_testcases.csv,26,14,45,4,0.7370075498308454,0.7705014573203193,0.7352082431316376,0.7475724167609341,computed_from_txt_validations
Report_21_uml_pages,BAAI/bge-large-en-v1.5,Report_21_uml_pages.txt,Report_21_uml_pages_testcases.csv,28,29,87,12,0.7604787370254253,0.7767962683206318,0.7839246292908987,0.773733211545652,computed_from_txt_validations
Report_22_uml_pages,BAAI/bge-large-en-v1.5,Report_22_uml_pages.txt,Report_22_uml_pages_testcases.csv,20,20,36,4,0.7386497855186462,0.7601523432466719,0.7747750729322433,0.7578590672325204,computed_from_txt_validations
Report_23_uml_pages,BAAI/bge-large-en-v1.5,Report_23_uml_pages.txt,Report_23_uml_pages_testcases.csv,27,34,48,3,0.7276380535434274,0.7587365532914797,0.7864456375439962,0.757606748126301,computed_from_txt_validations
Report_24_uml_pages,BAAI/bge-large-en-v1.5,Report_24_uml_pages.txt,Report_24_uml_pages_testcases.csv,18,18,33,9,0.7238723701900907,0.7801903901678143,0.7488150265481737,0.7509592623020263,computed_from_txt_validations
Report_25_uml_pages,BAAI/bge-large-en-v1.5,Report_25_uml_pages.txt,Report_25_uml_pages_testcases.csv,10,22,51,11,0.7441055151549253,0.771776507882511,0.7511923096396707,0.7556914442257024,computed_from_txt_validations
Report_26_uml_pages,BAAI/bge-large-en-v1.5,Report_26_uml_pages.txt,Report_26_uml_pages_testcases.csv,19,40,181,35,0.7354392021894455,0.7831131150709332,0.7559636201177324,0.7581719791260371,computed_from_txt_validations
Report_27_uml_pages,BAAI/bge-large-en-v1.5,Report_27_uml_pages.txt,Report_27_uml_pages_testcases.csv,27,21,21,5,0.7937612618718829,0.7977860229355949,0.7910884380340576,0.7942119076138452,computed_from_txt_validations
Report_28_uml_pages,BAAI/bge-large-en-v1.5,Report_28_uml_pages.txt,Report_28_uml_pages_testcases.csv,23,14,35,9,0.7676152416637966,0.761303266457149,0.7528056303660074,0.7605747128289844,computed_from_txt_validations
Report_29_uml_pages,BAAI/bge-large-en-v1.5,Report_29_uml_pages.txt,Report_29_uml_pages_testcases.csv,9,19,45,10,0.7307324597710058,0.7811709390746222,0.7401157736778259,0.750673057507818,computed_from_txt_validations
Report_2_uml_pages,BAAI/bge-large-en-v1.5,Report_2_uml_pages.txt,Report_2_uml_pages_testcases.csv,24,20,56,10,0.721273010969162,0.7700476156813758,0.7530168712139129,0.7481124992881503,computed_from_txt_validations
Report_30_uml_pages,BAAI/bge-large-en-v1.5,Report_30_uml_pages.txt,Report_30_uml_pages_testcases.csv,29,19,33,5,0.7793250836824116,0.827023567575397,0.8289994120597839,0.8117826877725308,computed_from_txt_validations
Report_31_uml_pages,BAAI/bge-large-en-v1.5,Report_31_uml_pages.txt,Report_31_uml_pages_testcases.csv,22,17,26,2,0.7356978023753447,0.7864988721334017,0.7454324960708618,0.7558763901932027,computed_from_txt_validations
Report_32_uml_pages,BAAI/bge-large-en-v1.5,Report_32_uml_pages.txt,Report_32_uml_pages_testcases.csv,24,35,77,12,0.7180606399263655,0.7425788331341434,0.7182944516340891,0.7263113082315327,computed_from_txt_validations
Report_33_uml_pages,BAAI/bge-large-en-v1.5,Report_33_uml_pages.txt,Report_33_uml_pages_testcases.csv,17,56,91,4,0.7727935750569616,0.8060508697897524,0.7727642208337784,0.7838695552268308,computed_from_txt_validations
Report_3_uml_pages,BAAI/bge-large-en-v1.5,Report_3_uml_pages.txt,Report_3_uml_pages_testcases.csv,28,17,54,4,0.7381747750674977,0.7666369919423703,0.7181454747915268,0.7409857472671316,computed_from_txt_validations
Report_4_uml_pages,BAAI/bge-large-en-v1.5,Report_4_uml_pages.txt,Report_4_uml_pages_testcases.csv,26,20,67,9,0.7437794059514999,0.7492233594851707,0.7755367027388679,0.7561798227251795,computed_from_txt_validations
Report_5_uml_pages,BAAI/bge-large-en-v1.5,Report_5_uml_pages.txt,Report_5_uml_pages_testcases.csv,14,12,49,11,0.7920645972092947,0.7939463403760171,0.7687089334834706,0.7849066236895941,computed_from_txt_validations
Report_6_uml_pages,BAAI/bge-large-en-v1.5,Report_6_uml_pages.txt,Report_6_uml_pages_testcases.csv,23,18,40,7,0.707958310842514,0.7493421822786331,0.7300143497330802,0.7291049476180756,computed_from_txt_validations
Report_7_uml_pages,BAAI/bge-large-en-v1.5,Report_7_uml_pages.txt,Report_7_uml_pages_testcases.csv,32,20,85,29,0.7233378082513809,0.7621883504530963,0.7695497130525524,0.7516919572523433,computed_from_txt_validations
Report_8_uml_pages,BAAI/bge-large-en-v1.5,Report_8_uml_pages.txt,Report_8_uml_pages_testcases.csv,19,20,32,6,0.7463180989027023,0.774028442800045,0.7687548696994781,0.7630338038007419,computed_from_txt_validations
Report_9_uml_pages,BAAI/bge-large-en-v1.5,Report_9_uml_pages.txt,Report_9_uml_pages_testcases.csv,24,38,92,20,0.7401600605563113,0.7640493317790653,0.7497402846813201,0.7513165590055655,computed_from_txt_validations
