report_folder,model_name,uml_txt_file,testcase_csv_file,num_testcases,num_concepts,num_flows,num_validations,concept_coverage,flow_coverage,validation_coverage,semantic_coverage,validation_status
Report_10_uml_pages,BAAI/bge-large-en-v1.5,Report_10_uml_pages.txt,Report_10_uml_pages_testcases.csv,22,24,54,8,0.7971718509991964,0.809994903979478,0.7933057025074959,0.8001574858287235,computed_from_txt_validations
Report_12_uml_pages,BAAI/bge-large-en-v1.5,Report_12_uml_pages.txt,Report_12_uml_pages_testcases.csv,19,52,230,26,0.7026968220105538,0.7393228536066802,0.6998150165264423,0.7139448973812254,computed_from_txt_validations
Report_13_uml_pages,BAAI/bge-large-en-v1.5,Report_13_uml_pages.txt,Report_13_uml_pages_testcases.csv,30,12,23,0,0.7789680560429891,0.8132206745769667,1.0,0.8640629102066519,no_validations_in_txt_assumed_100_percent
Report_14_uml_pages,BAAI/bge-large-en-v1.5,Report_14_uml_pages.txt,Report_14_uml_pages_testcases.csv,21,39,96,18,0.7585252171907669,0.7820594099660715,0.7500308056672415,0.7635384776080266,computed_from_txt_validations
Report_15_uml_pages,BAAI/bge-large-en-v1.5,Report_15_uml_pages.txt,Report_15_uml_pages_testcases.csv,28,20,70,1,0.7626820504665375,0.7899444120270865,0.722902774810791,0.7585097457681383,computed_from_txt_validations
Report_16_uml_pages,BAAI/bge-large-en-v1.5,Report_16_uml_pages.txt,Report_16_uml_pages_testcases.csv,18,3,9,0,0.7689626216888428,0.7990570333268907,1.0,0.8560065516719112,no_validations_in_txt_assumed_100_percent
Report_19_uml_pages,BAAI/bge-large-en-v1.5,Report_19_uml_pages.txt,Report_19_uml_pages_testcases.csv,30,12,23,0,0.7749022791783015,0.8118193719698035,1.0,0.8622405503827016,no_validations_in_txt_assumed_100_percent
Report_1_uml_pages,BAAI/bge-large-en-v1.5,Report_1_uml_pages.txt,Report_1_uml_pages_testcases.csv,19,8,58,3,0.7611910104751587,0.7964178426512356,0.7702181935310364,0.7759423488858103,computed_from_txt_validations
Report_21_uml_pages,BAAI/bge-large-en-v1.5,Report_21_uml_pages.txt,Report_21_uml_pages_testcases.csv,23,24,163,8,0.7514971991380056,0.7892695061999596,0.7769283652305603,0.772565023522842,computed_from_txt_validations
Report_22_uml_pages,BAAI/bge-large-en-v1.5,Report_22_uml_pages.txt,Report_22_uml_pages_testcases.csv,25,16,41,6,0.7755232155323029,0.8039020169072035,0.7750713229179382,0.7848321851191482,computed_from_txt_validations
